  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739599.783629                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.3092e-07   0.0000e+00
5.0000e-02   7.1602e-05   6.9830e+02
1.0000e-01   1.4334e-04   6.9764e+02
1.5000e-01   2.1488e-04   6.9806e+02
2.0000e-01   2.8620e-04   6.9881e+02
2.5000e-01   3.5758e-04   6.9914e+02
3.0000e-01   4.2888e-04   6.9950e+02
3.5000e-01   5.0018e-04   6.9975e+02
4.0000e-01   5.7204e-04   6.9925e+02
4.5000e-01   6.4364e-04   6.9915e+02
5.0000e-01   7.1400e-04   7.0028e+02
5.5000e-01   7.8534e-04   7.0033e+02
6.0000e-01   8.5580e-04   7.0110e+02
6.5000e-01   9.3078e-04   6.9834e+02
7.0000e-01   1.0010e-03   6.9933e+02
7.5000e-01   1.0746e-03   6.9795e+02
8.0000e-01   1.1476e-03   6.9709e+02
8.5000e-01   1.2376e-03   6.8681e+02
9.0000e-01   1.3108e-03   6.8660e+02
9.5000e-01   1.3846e-03   6.8612e+02
1.0000e+00   1.4614e-03   6.8428e+02
1.0000e+00   1.4646e-03   6.8278e+02
9.5000e-01   1.3998e-03   6.7867e+02
9.0000e-01   1.3298e-03   6.7679e+02
8.5000e-01   1.2586e-03   6.7535e+02
8.0000e-01   1.1872e-03   6.7385e+02
7.5000e-01   1.1152e-03   6.7253e+02
7.0000e-01   1.0422e-03   6.7166e+02
6.5000e-01   9.6836e-04   6.7124e+02
6.0000e-01   8.9528e-04   6.7018e+02
5.5000e-01   8.2178e-04   6.6928e+02
5.0000e-01   7.4796e-04   6.6848e+02
4.5000e-01   6.7344e-04   6.6821e+02
4.0000e-01   5.9982e-04   6.6687e+02
3.5000e-01   5.2538e-04   6.6618e+02
3.0000e-01   4.5060e-04   6.6578e+02
2.5000e-01   3.7576e-04   6.6532e+02
2.0000e-01   3.0074e-04   6.6503e+02
1.5000e-01   2.2586e-04   6.6413e+02
1.0000e-01   1.5068e-04   6.6366e+02
5.0000e-02   7.5330e-05   6.6375e+02
0.0000e+00   1.3472e-07   0.0000e+00
0.0000e+00   9.1962e-07   0.0000e+00
-5.0000e-02   -7.5602e-05   6.6136e+02
-1.0000e-01   -1.5110e-04   6.6181e+02
-1.5000e-01   -2.2658e-04   6.6202e+02
-2.0000e-01   -3.0222e-04   6.6177e+02
-2.5000e-01   -3.7760e-04   6.6208e+02
-3.0000e-01   -4.5288e-04   6.6243e+02
-3.5000e-01   -5.2820e-04   6.6263e+02
-4.0000e-01   -6.0352e-04   6.6278e+02
-4.5000e-01   -6.7820e-04   6.6352e+02
-5.0000e-01   -7.5272e-04   6.6426e+02
-5.5000e-01   -8.2716e-04   6.6493e+02
-6.0000e-01   -9.0152e-04   6.6554e+02
-6.5000e-01   -9.7564e-04   6.6623e+02
-7.0000e-01   -1.0493e-03   6.6709e+02
-7.5000e-01   -1.1238e-03   6.6737e+02
-8.0000e-01   -1.2016e-03   6.6578e+02
-8.5000e-01   -1.2754e-03   6.6646e+02
-9.0000e-01   -1.3504e-03   6.6647e+02
-9.5000e-01   -1.4240e-03   6.6713e+02
-1.0000e+00   -1.4998e-03   6.6676e+02
-1.0000e+00   -1.5004e-03   6.6649e+02
-9.5000e-01   -1.4300e-03   6.6434e+02
-9.0000e-01   -1.3568e-03   6.6333e+02
-8.5000e-01   -1.2834e-03   6.6230e+02
-8.0000e-01   -1.2094e-03   6.6149e+02
-7.5000e-01   -1.1382e-03   6.5894e+02
-7.0000e-01   -1.0634e-03   6.5827e+02
-6.5000e-01   -9.8962e-04   6.5682e+02
-6.0000e-01   -9.1482e-04   6.5587e+02
-5.5000e-01   -8.4002e-04   6.5475e+02
-5.0000e-01   -7.6484e-04   6.5373e+02
-4.5000e-01   -6.8960e-04   6.5255e+02
-4.0000e-01   -6.1348e-04   6.5202e+02
-3.5000e-01   -5.3722e-04   6.5150e+02
-3.0000e-01   -4.6086e-04   6.5096e+02
-2.5000e-01   -3.8408e-04   6.5091e+02
-2.0000e-01   -3.0728e-04   6.5087e+02
-1.5000e-01   -2.3048e-04   6.5082e+02
-1.0000e-01   -1.5334e-04   6.5215e+02
-5.0000e-02   -7.6680e-05   6.5206e+02
0.0000e+00   1.5262e-07   0.0000e+00
