  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739599.790963                    0

         MeasureMode                Bias1                Bias2
                   2                    4                   -4

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 164

        Bias        Current     Resistance
0.0000e+00   4.1056e-08   0.0000e+00
1.0000e-01   1.6536e-05   6.0474e+03
2.0000e-01   3.3124e-05   6.0379e+03
3.0000e-01   4.9948e-05   6.0062e+03
4.0000e-01   6.6988e-05   5.9712e+03
5.0000e-01   8.4236e-05   5.9357e+03
6.0000e-01   1.0177e-04   5.8955e+03
7.0000e-01   1.1966e-04   5.8499e+03
8.0000e-01   1.3770e-04   5.8097e+03
9.0000e-01   1.5600e-04   5.7692e+03
1.0000e+00   1.7454e-04   5.7293e+03
1.1000e+00   1.9340e-04   5.6877e+03
1.2000e+00   2.1260e-04   5.6444e+03
1.3000e+00   2.3210e-04   5.6010e+03
1.4000e+00   2.5172e-04   5.5617e+03
1.5000e+00   2.7210e-04   5.5127e+03
1.6000e+00   2.9220e-04   5.4757e+03
1.7000e+00   3.1292e-04   5.4327e+03
1.8000e+00   3.3396e-04   5.3899e+03
1.9000e+00   3.5578e-04   5.3404e+03
2.0000e+00   3.7674e-04   5.3087e+03
2.1000e+00   3.9890e-04   5.2645e+03
2.2000e+00   4.2066e-04   5.2299e+03
2.3000e+00   4.4384e-04   5.1820e+03
2.4000e+00   4.6624e-04   5.1476e+03
2.5000e+00   4.9012e-04   5.1008e+03
2.6000e+00   5.1290e-04   5.0692e+03
2.7000e+00   5.3868e-04   5.0123e+03
2.8000e+00   5.6256e-04   4.9772e+03
2.9000e+00   5.8816e-04   4.9306e+03
3.0000e+00   6.1396e-04   4.8863e+03
3.1000e+00   6.4086e-04   4.8372e+03
3.2000e+00   6.6808e-04   4.7898e+03
3.3000e+00   6.9528e-04   4.7463e+03
3.4000e+00   7.2324e-04   4.7011e+03
3.5000e+00   7.5216e-04   4.6533e+03
3.6000e+00   7.8178e-04   4.6049e+03
3.7000e+00   8.1296e-04   4.5513e+03
3.8000e+00   8.4330e-04   4.5061e+03
3.9000e+00   8.8274e-04   4.4181e+03
4.0000e+00   9.1638e-04   4.3650e+03
4.0000e+00   9.1616e-04   4.3660e+03
3.9000e+00   8.8242e-04   4.4197e+03
3.8000e+00   8.4900e-04   4.4759e+03
3.7000e+00   8.1762e-04   4.5253e+03
3.6000e+00   7.8430e-04   4.5901e+03
3.5000e+00   7.5082e-04   4.6616e+03
3.4000e+00   7.2192e-04   4.7097e+03
3.3000e+00   6.9368e-04   4.7572e+03
3.2000e+00   6.6642e-04   4.8018e+03
3.1000e+00   6.3908e-04   4.8507e+03
3.0000e+00   6.1284e-04   4.8952e+03
2.9000e+00   5.8726e-04   4.9382e+03
2.8000e+00   5.6188e-04   4.9833e+03
2.7000e+00   5.3700e-04   5.0279e+03
2.6000e+00   5.1326e-04   5.0657e+03
2.5000e+00   4.8914e-04   5.1110e+03
2.4000e+00   4.6638e-04   5.1460e+03
2.3000e+00   4.4346e-04   5.1865e+03
2.2000e+00   4.2066e-04   5.2299e+03
2.1000e+00   3.9780e-04   5.2790e+03
2.0000e+00   3.7634e-04   5.3143e+03
1.9000e+00   3.5552e-04   5.3443e+03
1.8000e+00   3.3356e-04   5.3963e+03
1.7000e+00   3.1320e-04   5.4278e+03
1.6000e+00   2.9342e-04   5.4529e+03
1.5000e+00   2.7322e-04   5.4901e+03
1.4000e+00   2.5340e-04   5.5249e+03
1.3000e+00   2.3292e-04   5.5813e+03
1.2000e+00   2.1316e-04   5.6296e+03
1.1000e+00   1.9402e-04   5.6695e+03
1.0000e+00   1.7510e-04   5.7110e+03
9.0000e-01   1.5658e-04   5.7479e+03
8.0000e-01   1.3822e-04   5.7879e+03
7.0000e-01   1.2008e-04   5.8294e+03
6.0000e-01   1.0218e-04   5.8720e+03
5.0000e-01   8.4488e-05   5.9180e+03
4.0000e-01   6.7178e-05   5.9543e+03
3.0000e-01   5.0066e-05   5.9921e+03
2.0000e-01   3.3216e-05   6.0212e+03
1.0000e-01   1.6594e-05   6.0263e+03
0.0000e+00   3.8575e-08   0.0000e+00
0.0000e+00   4.0291e-08   0.0000e+00
-1.0000e-01   -1.6328e-05   6.1244e+03
-2.0000e-01   -3.2834e-05   6.0912e+03
-3.0000e-01   -4.9638e-05   6.0438e+03
-4.0000e-01   -6.6472e-05   6.0176e+03
-5.0000e-01   -8.3668e-05   5.9760e+03
-6.0000e-01   -1.0176e-04   5.8960e+03
-7.0000e-01   -1.1988e-04   5.8392e+03
-8.0000e-01   -1.3716e-04   5.8326e+03
-9.0000e-01   -1.5694e-04   5.7347e+03
-1.0000e+00   -1.7236e-04   5.8018e+03
-1.1000e+00   -1.9136e-04   5.7483e+03
-1.2000e+00   -2.1048e-04   5.7013e+03
-1.3000e+00   -2.2954e-04   5.6635e+03
-1.4000e+00   -2.4866e-04   5.6302e+03
-1.5000e+00   -2.6914e-04   5.5733e+03
-1.6000e+00   -2.8840e-04   5.5479e+03
-1.7000e+00   -3.0842e-04   5.5120e+03
-1.8000e+00   -3.2864e-04   5.4771e+03
-1.9000e+00   -3.4974e-04   5.4326e+03
-2.0000e+00   -3.7056e-04   5.3972e+03
-2.1000e+00   -3.9134e-04   5.3662e+03
-2.2000e+00   -4.1336e-04   5.3222e+03
-2.3000e+00   -4.3536e-04   5.2830e+03
-2.4000e+00   -4.5812e-04   5.2388e+03
-2.5000e+00   -4.8090e-04   5.1986e+03
-2.6000e+00   -5.0458e-04   5.1528e+03
-2.7000e+00   -5.2862e-04   5.1076e+03
-2.8000e+00   -5.5282e-04   5.0649e+03
-2.9000e+00   -5.7700e-04   5.0260e+03
-3.0000e+00   -6.0212e-04   4.9824e+03
-3.1000e+00   -6.2756e-04   4.9398e+03
-3.2000e+00   -6.5368e-04   4.8954e+03
-3.3000e+00   -6.8028e-04   4.8509e+03
-3.4000e+00   -7.0746e-04   4.8059e+03
-3.5000e+00   -7.3582e-04   4.7566e+03
-3.6000e+00   -7.6472e-04   4.7076e+03
-3.7000e+00   -7.9374e-04   4.6615e+03
-3.8000e+00   -8.2378e-04   4.6129e+03
-3.9000e+00   -8.5508e-04   4.5610e+03
-4.0000e+00   -8.9452e-04   4.4717e+03
-4.0000e+00   -8.9398e-04   4.4744e+03
-3.9000e+00   -8.6134e-04   4.5278e+03
-3.8000e+00   -8.3046e-04   4.5758e+03
-3.7000e+00   -7.9932e-04   4.6289e+03
-3.6000e+00   -7.6392e-04   4.7125e+03
-3.5000e+00   -7.3546e-04   4.7589e+03
-3.4000e+00   -7.0724e-04   4.8074e+03
-3.3000e+00   -6.8032e-04   4.8507e+03
-3.2000e+00   -6.5322e-04   4.8988e+03
-3.1000e+00   -6.2714e-04   4.9431e+03
-3.0000e+00   -6.0162e-04   4.9865e+03
-2.9000e+00   -5.7678e-04   5.0279e+03
-2.8000e+00   -5.5202e-04   5.0723e+03
-2.7000e+00   -5.2792e-04   5.1144e+03
-2.6000e+00   -5.0404e-04   5.1583e+03
-2.5000e+00   -4.8106e-04   5.1969e+03
-2.4000e+00   -4.5760e-04   5.2448e+03
-2.3000e+00   -4.3516e-04   5.2854e+03
-2.2000e+00   -4.1294e-04   5.3277e+03
-2.1000e+00   -3.9140e-04   5.3654e+03
