  Measurement Number     Measurement type
                  13                DC IV

      Measurement ID             SeriesID
       739599.793378                    0

         MeasureMode                Bias1                Bias2
                   2                    4                   -4

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 164

        Bias        Current     Resistance
0.0000e+00   2.2121e-08   0.0000e+00
1.0000e-01   9.1449e-06   1.0935e+04
2.0000e-01   1.8298e-05   1.0930e+04
3.0000e-01   2.7520e-05   1.0901e+04
4.0000e-01   3.6806e-05   1.0868e+04
5.0000e-01   4.6186e-05   1.0826e+04
6.0000e-01   5.5710e-05   1.0770e+04
7.0000e-01   6.5356e-05   1.0711e+04
8.0000e-01   7.5112e-05   1.0651e+04
9.0000e-01   8.4958e-05   1.0593e+04
1.0000e+00   9.5192e-05   1.0505e+04
1.1000e+00   1.0532e-04   1.0445e+04
1.2000e+00   1.1610e-04   1.0336e+04
1.3000e+00   1.2732e-04   1.0210e+04
1.4000e+00   1.4678e-04   9.5381e+03
1.5000e+00   1.5912e-04   9.4268e+03
1.6000e+00   1.7134e-04   9.3382e+03
1.7000e+00   1.8360e-04   9.2593e+03
1.8000e+00   1.9586e-04   9.1902e+03
1.9000e+00   2.0828e-04   9.1223e+03
2.0000e+00   2.2070e-04   9.0621e+03
2.1000e+00   2.3352e-04   8.9928e+03
2.2000e+00   2.4698e-04   8.9076e+03
2.3000e+00   2.6068e-04   8.8231e+03
2.4000e+00   2.7350e-04   8.7751e+03
2.5000e+00   2.8738e-04   8.6993e+03
2.6000e+00   3.0088e-04   8.6413e+03
2.7000e+00   3.1474e-04   8.5785e+03
2.8000e+00   3.2918e-04   8.5060e+03
2.9000e+00   3.4332e-04   8.4469e+03
3.0000e+00   3.5880e-04   8.3612e+03
3.1000e+00   3.7328e-04   8.3048e+03
3.2000e+00   3.8854e-04   8.2360e+03
3.3000e+00   4.0452e-04   8.1578e+03
3.4000e+00   4.2014e-04   8.0925e+03
3.5000e+00   4.3782e-04   7.9942e+03
3.6000e+00   4.5524e-04   7.9079e+03
3.7000e+00   4.7302e-04   7.8221e+03
3.8000e+00   4.9176e-04   7.7273e+03
3.9000e+00   5.1366e-04   7.5926e+03
4.0000e+00   5.3306e-04   7.5038e+03
4.0000e+00   5.3456e-04   7.4828e+03
3.9000e+00   5.1562e-04   7.5637e+03
3.8000e+00   4.9670e-04   7.6505e+03
3.7000e+00   4.7688e-04   7.7588e+03
3.6000e+00   4.5888e-04   7.8452e+03
3.5000e+00   4.4108e-04   7.9351e+03
3.4000e+00   4.2434e-04   8.0124e+03
3.3000e+00   4.0786e-04   8.0910e+03
3.2000e+00   3.9182e-04   8.1670e+03
3.1000e+00   3.7676e-04   8.2280e+03
3.0000e+00   3.6150e-04   8.2988e+03
2.9000e+00   3.4604e-04   8.3805e+03
2.8000e+00   3.3148e-04   8.4470e+03
2.7000e+00   3.1614e-04   8.5405e+03
2.6000e+00   3.0236e-04   8.5990e+03
2.5000e+00   2.8838e-04   8.6691e+03
2.4000e+00   2.7510e-04   8.7241e+03
2.3000e+00   2.6166e-04   8.7900e+03
2.2000e+00   2.4826e-04   8.8617e+03
2.1000e+00   2.3516e-04   8.9301e+03
2.0000e+00   2.2250e-04   8.9888e+03
1.9000e+00   2.1008e-04   9.0442e+03
1.8000e+00   1.9742e-04   9.1176e+03
1.7000e+00   1.8466e-04   9.2061e+03
1.6000e+00   1.7280e-04   9.2593e+03
1.5000e+00   1.6048e-04   9.3470e+03
1.4000e+00   1.4814e-04   9.4505e+03
1.3000e+00   1.3628e-04   9.5392e+03
1.2000e+00   1.2330e-04   9.7324e+03
1.1000e+00   1.1168e-04   9.8496e+03
1.0000e+00   9.5346e-05   1.0488e+04
9.0000e-01   8.5120e-05   1.0573e+04
8.0000e-01   7.5268e-05   1.0629e+04
7.0000e-01   6.5420e-05   1.0700e+04
6.0000e-01   5.5882e-05   1.0737e+04
5.0000e-01   4.6296e-05   1.0800e+04
4.0000e-01   3.6884e-05   1.0845e+04
3.0000e-01   2.7596e-05   1.0871e+04
2.0000e-01   1.8324e-05   1.0915e+04
1.0000e-01   9.1725e-06   1.0902e+04
0.0000e+00   2.2784e-08   0.0000e+00
0.0000e+00   2.1867e-08   0.0000e+00
-1.0000e-01   -9.0120e-06   1.1096e+04
-2.0000e-01   -1.8108e-05   1.1045e+04
-3.0000e-01   -2.7252e-05   1.1008e+04
-4.0000e-01   -3.6496e-05   1.0960e+04
-5.0000e-01   -4.5826e-05   1.0911e+04
-6.0000e-01   -5.5280e-05   1.0854e+04
-7.0000e-01   -6.4756e-05   1.0810e+04
-8.0000e-01   -7.4442e-05   1.0747e+04
-9.0000e-01   -8.4214e-05   1.0687e+04
-1.0000e+00   -9.4260e-05   1.0609e+04
-1.1000e+00   -1.0451e-04   1.0525e+04
-1.2000e+00   -1.1492e-04   1.0442e+04
-1.3000e+00   -1.2552e-04   1.0357e+04
-1.4000e+00   -1.4532e-04   9.6339e+03
-1.5000e+00   -1.5706e-04   9.5505e+03
-1.6000e+00   -1.6918e-04   9.4574e+03
-1.7000e+00   -1.8170e-04   9.3561e+03
-1.8000e+00   -1.9378e-04   9.2889e+03
-1.9000e+00   -2.0608e-04   9.2197e+03
-2.0000e+00   -2.1846e-04   9.1550e+03
-2.1000e+00   -2.3132e-04   9.0783e+03
-2.2000e+00   -2.4386e-04   9.0216e+03
-2.3000e+00   -2.5764e-04   8.9272e+03
-2.4000e+00   -2.7112e-04   8.8522e+03
-2.5000e+00   -2.8446e-04   8.7886e+03
-2.6000e+00   -2.9798e-04   8.7254e+03
-2.7000e+00   -3.1118e-04   8.6767e+03
-2.8000e+00   -3.2556e-04   8.6006e+03
-2.9000e+00   -3.3968e-04   8.5374e+03
-3.0000e+00   -3.5496e-04   8.4517e+03
-3.1000e+00   -3.7008e-04   8.3766e+03
-3.2000e+00   -3.8526e-04   8.3061e+03
-3.3000e+00   -4.0114e-04   8.2266e+03
-3.4000e+00   -4.1688e-04   8.1558e+03
-3.5000e+00   -4.3336e-04   8.0764e+03
-3.6000e+00   -4.5186e-04   7.9671e+03
-3.7000e+00   -4.6818e-04   7.9029e+03
-3.8000e+00   -4.8816e-04   7.7843e+03
-3.9000e+00   -5.1096e-04   7.6327e+03
-4.0000e+00   -5.2966e-04   7.5520e+03
-4.0000e+00   -5.3218e-04   7.5163e+03
-3.9000e+00   -5.1234e-04   7.6121e+03
-3.8000e+00   -4.9306e-04   7.7070e+03
-3.7000e+00   -4.7482e-04   7.7924e+03
-3.6000e+00   -4.5786e-04   7.8627e+03
-3.5000e+00   -4.3984e-04   7.9574e+03
-3.4000e+00   -4.2282e-04   8.0412e+03
-3.3000e+00   -4.0488e-04   8.1506e+03
-3.2000e+00   -3.8846e-04   8.2377e+03
-3.1000e+00   -3.7306e-04   8.3097e+03
-3.0000e+00   -3.5756e-04   8.3902e+03
-2.9000e+00   -3.4246e-04   8.4681e+03
-2.8000e+00   -3.2718e-04   8.5580e+03
-2.7000e+00   -3.1292e-04   8.6284e+03
-2.6000e+00   -2.9914e-04   8.6916e+03
-2.5000e+00   -2.8536e-04   8.7609e+03
-2.4000e+00   -2.7200e-04   8.8235e+03
-2.3000e+00   -2.5862e-04   8.8934e+03
-2.2000e+00   -2.4524e-04   8.9708e+03
-2.1000e+00   -2.3242e-04   9.0354e+03
