  Measurement Number     Measurement type
                  22                DC IV

      Measurement ID             SeriesID
       739599.794308                   64

         MeasureMode                Bias1                Bias2
                   2                    5                   -5

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   2.6660e-08   0.0000e+00
1.0000e-01   1.0466e-05   9.5547e+03
2.0000e-01   2.0930e-05   9.5557e+03
3.0000e-01   3.1478e-05   9.5305e+03
4.0000e-01   4.2106e-05   9.4998e+03
5.0000e-01   5.2836e-05   9.4632e+03
6.0000e-01   6.3688e-05   9.4209e+03
7.0000e-01   7.4722e-05   9.3681e+03
8.0000e-01   8.5910e-05   9.3121e+03
9.0000e-01   9.7290e-05   9.2507e+03
1.0000e+00   1.0889e-04   9.1832e+03
1.1000e+00   1.2096e-04   9.0939e+03
1.2000e+00   1.3338e-04   8.9969e+03
1.3000e+00   1.5662e-04   8.3003e+03
1.4000e+00   1.7056e-04   8.2083e+03
1.5000e+00   1.8460e-04   8.1257e+03
1.6000e+00   1.9850e-04   8.0605e+03
1.7000e+00   2.1244e-04   8.0023e+03
1.8000e+00   2.2642e-04   7.9498e+03
1.9000e+00   2.4034e-04   7.9055e+03
2.0000e+00   2.5468e-04   7.8530e+03
2.1000e+00   2.7036e-04   7.7674e+03
2.2000e+00   2.8544e-04   7.7074e+03
2.3000e+00   3.0066e-04   7.6498e+03
2.4000e+00   3.1622e-04   7.5897e+03
2.5000e+00   3.3262e-04   7.5161e+03
2.6000e+00   3.4884e-04   7.4533e+03
2.7000e+00   3.6594e-04   7.3783e+03
2.8000e+00   3.8324e-04   7.3061e+03
2.9000e+00   4.0784e-04   7.1106e+03
3.0000e+00   4.3830e-04   6.8446e+03
3.1000e+00   3.7312e-03   8.3083e+02
3.2000e+00   3.8792e-03   8.2491e+02
3.3000e+00   4.0328e-03   8.1829e+02
3.4000e+00   4.1774e-03   8.1390e+02
3.5000e+00   4.3192e-03   8.1034e+02
3.6000e+00   4.4602e-03   8.0714e+02
3.7000e+00   4.5824e-03   8.0744e+02
3.8000e+00   4.7010e-03   8.0834e+02
3.9000e+00   4.7344e-03   8.2376e+02
4.0000e+00   4.8320e-03   8.2781e+02
4.1000e+00   4.9066e-03   8.3561e+02
4.2000e+00   4.9750e-03   8.4422e+02
4.3000e+00   4.9960e-03   8.6069e+02
4.4000e+00   5.0966e-03   8.6332e+02
4.5000e+00   5.2112e-03   8.6352e+02
4.6000e+00   5.6170e-03   8.1894e+02
4.7000e+00   5.8894e-03   7.9804e+02
4.8000e+00   6.0836e-03   7.8901e+02
4.9000e+00   6.2086e-03   7.8923e+02
5.0000e+00   6.3758e-03   7.8422e+02
5.0000e+00   6.3724e-03   7.8463e+02
4.9000e+00   6.2718e-03   7.8127e+02
4.8000e+00   6.1112e-03   7.8544e+02
4.7000e+00   6.0078e-03   7.8232e+02
4.6000e+00   5.8562e-03   7.8549e+02
4.5000e+00   5.6974e-03   7.8983e+02
4.4000e+00   5.5418e-03   7.9397e+02
4.3000e+00   5.3872e-03   7.9819e+02
4.2000e+00   5.2134e-03   8.0562e+02
4.1000e+00   5.0060e-03   8.1902e+02
4.0000e+00   4.8546e-03   8.2396e+02
3.9000e+00   4.6334e-03   8.4171e+02
3.8000e+00   1.8862e-03   2.0146e+03
3.7000e+00   1.8218e-03   2.0310e+03
3.6000e+00   1.7632e-03   2.0417e+03
3.5000e+00   1.7042e-03   2.0537e+03
3.4000e+00   1.6442e-03   2.0679e+03
3.3000e+00   1.5804e-03   2.0881e+03
3.2000e+00   1.5142e-03   2.1133e+03
3.1000e+00   1.4412e-03   2.1510e+03
3.0000e+00   1.3674e-03   2.1939e+03
2.9000e+00   1.2906e-03   2.2470e+03
2.8000e+00   1.2004e-03   2.3326e+03
2.7000e+00   1.0752e-03   2.5112e+03
2.6000e+00   9.8692e-04   2.6345e+03
2.5000e+00   8.4928e-04   2.9437e+03
2.4000e+00   3.2692e-04   7.3412e+03
2.3000e+00   3.1040e-04   7.4098e+03
2.2000e+00   2.9346e-04   7.4968e+03
2.1000e+00   2.7700e-04   7.5812e+03
2.0000e+00   2.6112e-04   7.6593e+03
1.9000e+00   2.4550e-04   7.7393e+03
1.8000e+00   2.3048e-04   7.8098e+03
1.7000e+00   2.1550e-04   7.8886e+03
1.6000e+00   2.0078e-04   7.9689e+03
1.5000e+00   1.8622e-04   8.0550e+03
1.4000e+00   1.7078e-04   8.1977e+03
1.3000e+00   1.5686e-04   8.2876e+03
1.2000e+00   1.4328e-04   8.3752e+03
1.1000e+00   1.2970e-04   8.4811e+03
1.0000e+00   1.1534e-04   8.6700e+03
9.0000e-01   1.0130e-04   8.8845e+03
8.0000e-01   8.1384e-05   9.8299e+03
7.0000e-01   7.0468e-05   9.9336e+03
6.0000e-01   5.9898e-05   1.0017e+04
5.0000e-01   4.9448e-05   1.0112e+04
4.0000e-01   3.9328e-05   1.0171e+04
3.0000e-01   2.9344e-05   1.0224e+04
2.0000e-01   1.9446e-05   1.0285e+04
1.0000e-01   9.6771e-06   1.0334e+04
0.0000e+00   2.4278e-08   0.0000e+00
0.0000e+00   2.3363e-08   0.0000e+00
-1.0000e-01   -9.6041e-06   1.0412e+04
-2.0000e-01   -1.9314e-05   1.0355e+04
-3.0000e-01   -2.9150e-05   1.0292e+04
-4.0000e-01   -3.9136e-05   1.0221e+04
-5.0000e-01   -4.9342e-05   1.0133e+04
-6.0000e-01   -5.9742e-05   1.0043e+04
-7.0000e-01   -7.0434e-05   9.9384e+03
-8.0000e-01   -8.1312e-05   9.8386e+03
-9.0000e-01   -9.2624e-05   9.7167e+03
-1.0000e+00   -1.0413e-04   9.6030e+03
-1.1000e+00   -1.2792e-04   8.5991e+03
-1.2000e+00   -1.4216e-04   8.4412e+03
-1.3000e+00   -1.5604e-04   8.3312e+03
-1.4000e+00   -1.7008e-04   8.2314e+03
-1.5000e+00   -1.8416e-04   8.1451e+03
-1.6000e+00   -1.9838e-04   8.0653e+03
-1.7000e+00   -2.1242e-04   8.0030e+03
-1.8000e+00   -2.2638e-04   7.9512e+03
-1.9000e+00   -2.4218e-04   7.8454e+03
-2.0000e+00   -2.5782e-04   7.7574e+03
-2.1000e+00   -2.7300e-04   7.6923e+03
-2.2000e+00   -2.8930e-04   7.6046e+03
-2.3000e+00   -3.0600e-04   7.5163e+03
-2.4000e+00   -3.2276e-04   7.4359e+03
-2.5000e+00   -3.3872e-04   7.3807e+03
-2.6000e+00   -3.5704e-04   7.2821e+03
-2.7000e+00   -3.7712e-04   7.1595e+03
-2.8000e+00   -3.9510e-04   7.0868e+03
-2.9000e+00   -4.1588e-04   6.9732e+03
-3.0000e+00   -4.3512e-04   6.8946e+03
-3.1000e+00   -4.5692e-04   6.7846e+03
-3.2000e+00   -5.2120e-04   6.1397e+03
-3.3000e+00   -5.3432e-04   6.1761e+03
-3.4000e+00   -5.4756e-04   6.2094e+03
-3.5000e+00   -1.6480e-03   2.1238e+03
-3.6000e+00   -1.7028e-03   2.1142e+03
-3.7000e+00   -4.1292e-03   8.9606e+02
-3.8000e+00   -4.2382e-03   8.9661e+02
-3.9000e+00   -4.3490e-03   8.9676e+02
-4.0000e+00   -4.4594e-03   8.9698e+02
-4.1000e+00   -4.5770e-03   8.9578e+02
-4.2000e+00   -4.6890e-03   8.9571e+02
-4.3000e+00   -4.8076e-03   8.9442e+02
-4.4000e+00   -4.9336e-03   8.9184e+02
-4.5000e+00   -5.0586e-03   8.8957e+02
-4.6000e+00   -5.1746e-03   8.8896e+02
-4.7000e+00   -5.2818e-03   8.8985e+02
-4.8000e+00   -5.4518e-03   8.8044e+02
-4.9000e+00   -5.5706e-03   8.7962e+02
-5.0000e+00   -5.7018e-03   8.7692e+02
-5.0000e+00   -5.6940e-03   8.7812e+02
-4.9000e+00   -5.5724e-03   8.7933e+02
-4.8000e+00   -5.4604e-03   8.7906e+02
-4.7000e+00   -5.3474e-03   8.7893e+02
-4.6000e+00   -5.2304e-03   8.7947e+02
-4.5000e+00   -5.1192e-03   8.7904e+02
-4.4000e+00   -5.0028e-03   8.7951e+02
-4.3000e+00   -4.8832e-03   8.8057e+02
-4.2000e+00   -4.7632e-03   8.8176e+02
-4.1000e+00   -4.6438e-03   8.8290e+02
-4.0000e+00   -4.5270e-03   8.8359e+02
-3.9000e+00   -4.4124e-03   8.8387e+02
-3.8000e+00   -4.3004e-03   8.8364e+02
-3.7000e+00   -4.1848e-03   8.8415e+02
-3.6000e+00   -4.0722e-03   8.8404e+02
-3.5000e+00   -3.9622e-03   8.8335e+02
-3.4000e+00   -3.8502e-03   8.8307e+02
-3.3000e+00   -3.7348e-03   8.8358e+02
-3.2000e+00   -3.6142e-03   8.8540e+02
-3.1000e+00   -3.4928e-03   8.8754e+02
-3.0000e+00   -3.3696e-03   8.9031e+02
-2.9000e+00   -3.2408e-03   8.9484e+02
-2.8000e+00   -3.1080e-03   9.0090e+02
-2.7000e+00   -2.9694e-03   9.0927e+02
-2.6000e+00   -2.8422e-03   9.1478e+02
-2.5000e+00   -2.7024e-03   9.2510e+02
-2.4000e+00   -2.5462e-03   9.4258e+02
-2.3000e+00   -2.4080e-03   9.5515e+02
-2.2000e+00   -2.2372e-03   9.8337e+02
-2.1000e+00   -2.1020e-03   9.9905e+02
-2.0000e+00   -1.9562e-03   1.0224e+03
-1.9000e+00   -1.6234e-03   1.1704e+03
-1.8000e+00   -1.5016e-03   1.1987e+03
-1.7000e+00   -1.3796e-03   1.2322e+03
-1.6000e+00   -1.2540e-03   1.2759e+03
-1.5000e+00   -1.1146e-03   1.3458e+03
-1.4000e+00   -9.8748e-04   1.4178e+03
-1.3000e+00   -7.8236e-04   1.6616e+03
-1.2000e+00   -1.4754e-04   8.1334e+03
-1.1000e+00   -1.3378e-04   8.2225e+03
-1.0000e+00   -1.2002e-04   8.3319e+03
-9.0000e-01   -1.0062e-04   8.9445e+03
-8.0000e-01   -8.8958e-05   8.9930e+03
