  Measurement Number     Measurement type
                  20                DC IV

      Measurement ID             SeriesID
       739599.803014                   28

         MeasureMode                Bias1                Bias2
                   2                   20                  -20

                Step  Positive compliance  Negative compliance
                 0.2                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
0.0000e+00   5.7129e-08   0.0000e+00
2.0000e-01   9.8189e-06   2.0369e+04
4.0000e-01   1.9640e-05   2.0367e+04
6.0000e-01   3.0090e-05   1.9940e+04
8.0000e-01   4.0618e-05   1.9696e+04
1.0000e+00   5.1340e-05   1.9478e+04
1.2000e+00   6.2362e-05   1.9242e+04
1.4000e+00   7.3744e-05   1.8985e+04
1.6000e+00   8.4680e-05   1.8895e+04
1.8000e+00   9.6742e-05   1.8606e+04
2.0000e+00   1.0929e-04   1.8300e+04
2.2000e+00   1.2024e-04   1.8297e+04
2.4000e+00   1.3226e-04   1.8146e+04
2.6000e+00   1.4436e-04   1.8011e+04
2.8000e+00   1.5620e-04   1.7926e+04
3.0000e+00   1.6810e-04   1.7847e+04
3.2000e+00   1.7974e-04   1.7803e+04
3.4000e+00   1.9236e-04   1.7675e+04
3.6000e+00   2.0464e-04   1.7592e+04
3.8000e+00   2.1680e-04   1.7528e+04
4.0000e+00   2.2982e-04   1.7405e+04
4.2000e+00   2.4226e-04   1.7337e+04
4.4000e+00   2.5478e-04   1.7270e+04
4.6000e+00   2.6454e-04   1.7389e+04
4.8000e+00   2.7880e-04   1.7217e+04
5.0000e+00   2.9290e-04   1.7071e+04
5.2000e+00   3.0748e-04   1.6912e+04
5.4000e+00   3.1874e-04   1.6942e+04
5.6000e+00   3.3066e-04   1.6936e+04
5.8000e+00   3.4422e-04   1.6850e+04
6.0000e+00   3.5794e-04   1.6763e+04
6.2000e+00   3.7110e-04   1.6707e+04
6.4000e+00   3.8638e-04   1.6564e+04
6.6000e+00   4.0120e-04   1.6451e+04
6.8000e+00   4.1530e-04   1.6374e+04
7.0000e+00   4.3094e-04   1.6244e+04
7.2000e+00   4.4614e-04   1.6138e+04
7.4000e+00   4.6380e-04   1.5955e+04
7.6000e+00   4.7800e-04   1.5900e+04
7.8000e+00   4.9398e-04   1.5790e+04
8.0000e+00   5.0980e-04   1.5692e+04
8.2000e+00   5.2542e-04   1.5607e+04
8.4000e+00   5.4294e-04   1.5471e+04
8.6000e+00   5.5800e-04   1.5412e+04
8.8000e+00   5.7358e-04   1.5342e+04
9.0000e+00   5.8814e-04   1.5302e+04
9.2000e+00   6.0436e-04   1.5223e+04
9.4000e+00   6.2036e-04   1.5152e+04
9.6000e+00   6.3724e-04   1.5065e+04
9.8000e+00   6.6016e-04   1.4845e+04
1.0000e+01   6.7762e-04   1.4758e+04
1.0200e+01   6.9558e-04   1.4664e+04
1.0400e+01   7.1468e-04   1.4552e+04
1.0600e+01   7.3132e-04   1.4494e+04
1.0800e+01   7.4946e-04   1.4410e+04
1.1000e+01   7.6518e-04   1.4376e+04
1.1200e+01   7.8062e-04   1.4348e+04
1.1400e+01   7.9880e-04   1.4271e+04
1.1600e+01   8.1824e-04   1.4177e+04
1.1800e+01   8.3474e-04   1.4136e+04
1.2000e+01   8.5168e-04   1.4090e+04
1.2200e+01   8.7082e-04   1.4010e+04
1.2400e+01   8.8892e-04   1.3950e+04
1.2600e+01   9.0698e-04   1.3892e+04
1.2800e+01   9.2680e-04   1.3811e+04
1.3000e+01   9.4572e-04   1.3746e+04
1.3200e+01   9.6590e-04   1.3666e+04
1.3400e+01   9.8498e-04   1.3604e+04
1.3600e+01   1.0206e-03   1.3325e+04
1.3800e+01   1.0394e-03   1.3277e+04
1.4000e+01   1.0692e-03   1.3094e+04
1.4200e+01   1.0886e-03   1.3044e+04
1.4400e+01   1.1125e-03   1.2944e+04
1.4600e+01   2.3486e-03   6.2165e+03
1.4800e+01   2.4132e-03   6.1329e+03
1.5000e+01   2.4640e-03   6.0877e+03
1.5200e+01   2.5140e-03   6.0461e+03
1.5400e+01   2.5600e-03   6.0156e+03
1.5600e+01   2.6124e-03   5.9715e+03
1.5800e+01   2.6596e-03   5.9407e+03
1.6000e+01   2.7082e-03   5.9080e+03
1.6200e+01   2.7550e-03   5.8802e+03
1.6400e+01   2.8044e-03   5.8480e+03
1.6600e+01   2.8688e-03   5.7864e+03
1.6800e+01   2.9292e-03   5.7354e+03
1.7000e+01   2.9944e-03   5.6773e+03
1.7200e+01   3.0578e-03   5.6250e+03
1.7400e+01   2.6946e-03   6.4574e+03
1.7600e+01   2.7244e-03   6.4601e+03
1.7800e+01   2.7590e-03   6.4516e+03
1.8000e+01   2.8268e-03   6.3676e+03
1.8200e+01   2.8632e-03   6.3565e+03
1.8400e+01   2.9004e-03   6.3440e+03
1.8600e+01   2.9376e-03   6.3317e+03
1.8800e+01   2.9744e-03   6.3206e+03
1.9000e+01   3.0120e-03   6.3081e+03
1.9200e+01   3.0498e-03   6.2955e+03
1.9400e+01   3.1014e-03   6.2552e+03
1.9600e+01   3.1392e-03   6.2436e+03
1.9800e+01   3.1834e-03   6.2198e+03
2.0000e+01   3.2246e-03   6.2023e+03
2.0000e+01   3.2258e-03   6.2000e+03
1.9800e+01   3.1888e-03   6.2092e+03
1.9600e+01   3.1512e-03   6.2199e+03
1.9400e+01   3.1120e-03   6.2339e+03
1.9200e+01   3.0742e-03   6.2455e+03
1.9000e+01   3.0342e-03   6.2619e+03
1.8800e+01   2.9954e-03   6.2763e+03
1.8600e+01   2.9558e-03   6.2927e+03
1.8400e+01   2.9172e-03   6.3074e+03
1.8200e+01   2.8790e-03   6.3216e+03
1.8000e+01   2.8402e-03   6.3376e+03
1.7800e+01   2.8014e-03   6.3540e+03
1.7600e+01   2.7634e-03   6.3690e+03
1.7400e+01   2.7254e-03   6.3844e+03
1.7200e+01   2.6872e-03   6.4007e+03
1.7000e+01   2.6480e-03   6.4199e+03
1.6800e+01   2.6094e-03   6.4383e+03
1.6600e+01   2.5708e-03   6.4571e+03
1.6400e+01   2.5296e-03   6.4832e+03
1.6200e+01   2.4912e-03   6.5029e+03
1.6000e+01   2.4524e-03   6.5242e+03
1.5800e+01   2.4138e-03   6.5457e+03
1.5600e+01   2.3744e-03   6.5701e+03
1.5400e+01   2.3352e-03   6.5947e+03
1.5200e+01   2.2958e-03   6.6208e+03
1.5000e+01   2.2560e-03   6.6489e+03
1.4800e+01   2.2168e-03   6.6763e+03
1.4600e+01   2.1768e-03   6.7071e+03
1.4400e+01   2.1368e-03   6.7390e+03
1.4200e+01   2.0956e-03   6.7761e+03
1.4000e+01   2.0554e-03   6.8113e+03
1.3800e+01   2.0146e-03   6.8500e+03
1.3600e+01   1.9704e-03   6.9022e+03
1.3400e+01   1.9252e-03   6.9603e+03
1.3200e+01   1.8846e-03   7.0041e+03
1.3000e+01   1.8446e-03   7.0476e+03
1.2800e+01   1.7948e-03   7.1317e+03
1.2600e+01   1.7522e-03   7.1910e+03
1.2400e+01   1.7116e-03   7.2447e+03
1.2200e+01   1.6700e-03   7.3054e+03
1.2000e+01   1.6284e-03   7.3692e+03
1.1800e+01   1.5866e-03   7.4373e+03
1.1600e+01   1.5456e-03   7.5052e+03
1.1400e+01   1.5020e-03   7.5899e+03
1.1200e+01   1.4592e-03   7.6754e+03
1.1000e+01   1.4170e-03   7.7629e+03
1.0800e+01   1.3676e-03   7.8970e+03
1.0600e+01   1.3266e-03   7.9904e+03
1.0400e+01   1.2828e-03   8.1073e+03
1.0200e+01   1.2326e-03   8.2752e+03
1.0000e+01   1.1672e-03   8.5675e+03
9.8000e+00   7.0130e-04   1.3974e+04
9.6000e+00   6.8570e-04   1.4000e+04
9.4000e+00   6.7030e-04   1.4024e+04
