  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739599.801341                   10

         MeasureMode                Bias1                Bias2
                   2                   20                  -20

                Step  Positive compliance  Negative compliance
                 0.2                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
0.0000e+00   7.4257e-08   0.0000e+00
2.0000e-01   1.2662e-05   1.5795e+04
4.0000e-01   2.5270e-05   1.5829e+04
6.0000e-01   3.7962e-05   1.5805e+04
8.0000e-01   5.0678e-05   1.5786e+04
1.0000e+00   6.3402e-05   1.5772e+04
1.2000e+00   7.6260e-05   1.5736e+04
1.4000e+00   8.9116e-05   1.5710e+04
1.6000e+00   1.0208e-04   1.5673e+04
1.8000e+00   1.1526e-04   1.5617e+04
2.0000e+00   1.2828e-04   1.5591e+04
2.2000e+00   1.4154e-04   1.5543e+04
2.4000e+00   1.5452e-04   1.5532e+04
2.6000e+00   1.6770e-04   1.5504e+04
2.8000e+00   1.8116e-04   1.5456e+04
3.0000e+00   1.9440e-04   1.5432e+04
3.2000e+00   2.0776e-04   1.5402e+04
3.4000e+00   2.2124e-04   1.5368e+04
3.6000e+00   2.3476e-04   1.5335e+04
3.8000e+00   2.4846e-04   1.5294e+04
4.0000e+00   2.6178e-04   1.5280e+04
4.2000e+00   2.7578e-04   1.5230e+04
4.4000e+00   2.8940e-04   1.5204e+04
4.6000e+00   3.0310e-04   1.5177e+04
4.8000e+00   3.1686e-04   1.5149e+04
5.0000e+00   3.3078e-04   1.5116e+04
5.2000e+00   3.4486e-04   1.5079e+04
5.4000e+00   3.5838e-04   1.5068e+04
5.6000e+00   3.7268e-04   1.5026e+04
5.8000e+00   3.8680e-04   1.4995e+04
6.0000e+00   4.0110e-04   1.4959e+04
6.2000e+00   4.1530e-04   1.4929e+04
6.4000e+00   4.2910e-04   1.4915e+04
6.6000e+00   4.4364e-04   1.4877e+04
6.8000e+00   4.5802e-04   1.4847e+04
7.0000e+00   4.7250e-04   1.4815e+04
7.2000e+00   4.8738e-04   1.4773e+04
7.4000e+00   5.0206e-04   1.4739e+04
7.6000e+00   5.1718e-04   1.4695e+04
7.8000e+00   5.3116e-04   1.4685e+04
8.0000e+00   5.4650e-04   1.4639e+04
8.2000e+00   5.6122e-04   1.4611e+04
8.4000e+00   5.7612e-04   1.4580e+04
8.6000e+00   5.9140e-04   1.4542e+04
8.8000e+00   6.0672e-04   1.4504e+04
9.0000e+00   6.2240e-04   1.4460e+04
9.2000e+00   6.3760e-04   1.4429e+04
9.4000e+00   6.5312e-04   1.4392e+04
9.6000e+00   6.6898e-04   1.4350e+04
9.8000e+00   6.8470e-04   1.4313e+04
1.0000e+01   7.3106e-04   1.3679e+04
1.0200e+01   7.5660e-04   1.3481e+04
1.0400e+01   7.9344e-04   1.3107e+04
1.0600e+01   8.2436e-04   1.2858e+04
1.0800e+01   8.4800e-04   1.2736e+04
1.1000e+01   8.8452e-04   1.2436e+04
1.1200e+01   9.1918e-04   1.2185e+04
1.1400e+01   9.4396e-04   1.2077e+04
1.1600e+01   9.7052e-04   1.1952e+04
1.1800e+01   1.0009e-03   1.1790e+04
1.2000e+01   1.0327e-03   1.1620e+04
1.2200e+01   1.0812e-03   1.1284e+04
1.2400e+01   1.1250e-03   1.1022e+04
1.2600e+01   1.1610e-03   1.0853e+04
1.2800e+01   1.1974e-03   1.0690e+04
1.3000e+01   1.2340e-03   1.0535e+04
1.3200e+01   1.2694e-03   1.0399e+04
1.3400e+01   1.3068e-03   1.0254e+04
1.3600e+01   1.3412e-03   1.0140e+04
1.3800e+01   1.6070e-03   8.5874e+03
1.4000e+01   1.6964e-03   8.2528e+03
1.4200e+01   1.7452e-03   8.1366e+03
1.4400e+01   1.7938e-03   8.0277e+03
1.4600e+01   1.8688e-03   7.8125e+03
1.4800e+01   1.9162e-03   7.7236e+03
1.5000e+01   1.9608e-03   7.6499e+03
1.5200e+01   1.9986e-03   7.6053e+03
1.5400e+01   2.0428e-03   7.5387e+03
1.5600e+01   2.0866e-03   7.4763e+03
1.5800e+01   2.1356e-03   7.3984e+03
1.6000e+01   2.1738e-03   7.3604e+03
1.6200e+01   2.2178e-03   7.3045e+03
1.6400e+01   2.2632e-03   7.2464e+03
1.6600e+01   2.3070e-03   7.1955e+03
1.6800e+01   2.3588e-03   7.1223e+03
1.7000e+01   2.4064e-03   7.0645e+03
1.7200e+01   2.4530e-03   7.0118e+03
1.7400e+01   2.4954e-03   6.9728e+03
1.7600e+01   2.5398e-03   6.9297e+03
1.7800e+01   2.6206e-03   6.7923e+03
1.8000e+01   2.6668e-03   6.7497e+03
1.8200e+01   2.7144e-03   6.7050e+03
1.8400e+01   2.7672e-03   6.6493e+03
1.8600e+01   2.8198e-03   6.5962e+03
1.8800e+01   2.8706e-03   6.5492e+03
1.9000e+01   2.9212e-03   6.5042e+03
1.9200e+01   2.9738e-03   6.4564e+03
1.9400e+01   3.0444e-03   6.3724e+03
1.9600e+01   3.1004e-03   6.3218e+03
1.9800e+01   3.1608e-03   6.2642e+03
2.0000e+01   3.2166e-03   6.2177e+03
2.0000e+01   3.2274e-03   6.1969e+03
1.9800e+01   3.1872e-03   6.2123e+03
1.9600e+01   3.1430e-03   6.2361e+03
1.9400e+01   3.0944e-03   6.2694e+03
1.9200e+01   3.0476e-03   6.3000e+03
1.9000e+01   3.0028e-03   6.3274e+03
1.8800e+01   2.9560e-03   6.3599e+03
1.8600e+01   2.9084e-03   6.3953e+03
1.8400e+01   2.8628e-03   6.4273e+03
1.8200e+01   2.8166e-03   6.4617e+03
1.8000e+01   2.7724e-03   6.4926e+03
1.7800e+01   2.7274e-03   6.5264e+03
1.7600e+01   2.6822e-03   6.5618e+03
1.7400e+01   2.6378e-03   6.5964e+03
1.7200e+01   2.5934e-03   6.6322e+03
1.7000e+01   2.5486e-03   6.6703e+03
1.6800e+01   2.5032e-03   6.7114e+03
1.6600e+01   2.4606e-03   6.7463e+03
1.6400e+01   2.4162e-03   6.7875e+03
1.6200e+01   2.3744e-03   6.8228e+03
1.6000e+01   2.3296e-03   6.8681e+03
1.5800e+01   2.2854e-03   6.9135e+03
1.5600e+01   2.2416e-03   6.9593e+03
1.5400e+01   2.1996e-03   7.0013e+03
1.5200e+01   2.1586e-03   7.0416e+03
1.5000e+01   2.1138e-03   7.0962e+03
1.4800e+01   2.0708e-03   7.1470e+03
1.4600e+01   2.0290e-03   7.1957e+03
1.4400e+01   1.9790e-03   7.2764e+03
1.4200e+01   1.9362e-03   7.3340e+03
1.4000e+01   1.8750e-03   7.4667e+03
1.3800e+01   1.8336e-03   7.5262e+03
1.3600e+01   1.7936e-03   7.5825e+03
1.3400e+01   1.7518e-03   7.6493e+03
1.3200e+01   1.7066e-03   7.7347e+03
1.3000e+01   1.6652e-03   7.8069e+03
1.2800e+01   1.6254e-03   7.8750e+03
1.2600e+01   1.5830e-03   7.9596e+03
1.2400e+01   1.5414e-03   8.0446e+03
1.2200e+01   1.4988e-03   8.1398e+03
1.2000e+01   1.4510e-03   8.2702e+03
1.1800e+01   1.4094e-03   8.3724e+03
1.1600e+01   1.3690e-03   8.4733e+03
1.1400e+01   1.3280e-03   8.5843e+03
1.1200e+01   1.2882e-03   8.6943e+03
1.1000e+01   1.2392e-03   8.8767e+03
1.0800e+01   1.1668e-03   9.2561e+03
1.0600e+01   1.1140e-03   9.5153e+03
1.0400e+01   1.0702e-03   9.7178e+03
1.0200e+01   1.0044e-03   1.0155e+04
1.0000e+01   8.5016e-04   1.1762e+04
9.8000e+00   8.1690e-04   1.1997e+04
9.6000e+00   7.1598e-04   1.3408e+04
9.4000e+00   6.9840e-04   1.3459e+04
