  Measurement Number     Measurement type
                  15                DC IV

      Measurement ID             SeriesID
       739599.797474                    0

         MeasureMode                Bias1                Bias2
                   2                   18                  -18

                Step  Positive compliance  Negative compliance
                 0.2                  0.1                  0.1

  RealMeasuredPoints
                 364

        Bias        Current     Resistance
0.0000e+00   7.8698e-08   0.0000e+00
2.0000e-01   1.3594e-05   1.4712e+04
4.0000e-01   2.7200e-05   1.4706e+04
6.0000e-01   4.0820e-05   1.4699e+04
8.0000e-01   5.4530e-05   1.4671e+04
1.0000e+00   6.8264e-05   1.4649e+04
1.2000e+00   8.2124e-05   1.4612e+04
1.4000e+00   9.5976e-05   1.4587e+04
1.6000e+00   1.0994e-04   1.4553e+04
1.8000e+00   1.2400e-04   1.4516e+04
2.0000e+00   1.3812e-04   1.4480e+04
2.2000e+00   1.5228e-04   1.4447e+04
2.4000e+00   1.6654e-04   1.4411e+04
2.6000e+00   1.8082e-04   1.4379e+04
2.8000e+00   1.9526e-04   1.4340e+04
3.0000e+00   2.0970e-04   1.4306e+04
3.2000e+00   2.2412e-04   1.4278e+04
3.4000e+00   2.3882e-04   1.4237e+04
3.6000e+00   2.5350e-04   1.4201e+04
3.8000e+00   2.6820e-04   1.4169e+04
4.0000e+00   2.8296e-04   1.4136e+04
4.2000e+00   2.9802e-04   1.4093e+04
4.4000e+00   3.1298e-04   1.4058e+04
4.6000e+00   3.2794e-04   1.4027e+04
4.8000e+00   3.4310e-04   1.3990e+04
5.0000e+00   3.5832e-04   1.3954e+04
5.2000e+00   3.7352e-04   1.3922e+04
5.4000e+00   3.8902e-04   1.3881e+04
5.6000e+00   4.0452e-04   1.3844e+04
5.8000e+00   4.2082e-04   1.3783e+04
6.0000e+00   4.3648e-04   1.3746e+04
6.2000e+00   4.5226e-04   1.3709e+04
6.4000e+00   4.6836e-04   1.3665e+04
6.6000e+00   4.8444e-04   1.3624e+04
6.8000e+00   5.0056e-04   1.3585e+04
7.0000e+00   5.1678e-04   1.3545e+04
7.2000e+00   5.3354e-04   1.3495e+04
7.4000e+00   5.5002e-04   1.3454e+04
7.6000e+00   5.6676e-04   1.3410e+04
7.8000e+00   5.8384e-04   1.3360e+04
8.0000e+00   6.0070e-04   1.3318e+04
8.2000e+00   6.1832e-04   1.3262e+04
8.4000e+00   6.3586e-04   1.3210e+04
8.6000e+00   6.5426e-04   1.3145e+04
8.8000e+00   7.0640e-04   1.2458e+04
9.0000e+00   7.2486e-04   1.2416e+04
9.2000e+00   7.4314e-04   1.2380e+04
9.4000e+00   7.6174e-04   1.2340e+04
9.6000e+00   7.8500e-04   1.2229e+04
9.8000e+00   8.0358e-04   1.2195e+04
1.0000e+01   8.2264e-04   1.2156e+04
1.0200e+01   8.4418e-04   1.2083e+04
1.0400e+01   8.6348e-04   1.2044e+04
1.0600e+01   8.8310e-04   1.2003e+04
1.0800e+01   9.0312e-04   1.1959e+04
1.1000e+01   9.2328e-04   1.1914e+04
1.1200e+01   9.4296e-04   1.1877e+04
1.1400e+01   9.6326e-04   1.1835e+04
1.1600e+01   9.8318e-04   1.1798e+04
1.1800e+01   1.0025e-03   1.1771e+04
1.2000e+01   1.0227e-03   1.1734e+04
1.2200e+01   1.0432e-03   1.1695e+04
1.2400e+01   1.0639e-03   1.1655e+04
1.2600e+01   1.0851e-03   1.1612e+04
1.2800e+01   1.1061e-03   1.1573e+04
1.3000e+01   1.1270e-03   1.1535e+04
1.3200e+01   1.1483e-03   1.1495e+04
1.3400e+01   1.1712e-03   1.1441e+04
1.3600e+01   1.1924e-03   1.1406e+04
1.3800e+01   1.2140e-03   1.1367e+04
1.4000e+01   1.2360e-03   1.1327e+04
1.4200e+01   1.2580e-03   1.1288e+04
1.4400e+01   1.2862e-03   1.1196e+04
1.4600e+01   1.3090e-03   1.1154e+04
1.4800e+01   1.3314e-03   1.1116e+04
1.5000e+01   1.3558e-03   1.1064e+04
1.5200e+01   1.3792e-03   1.1021e+04
1.5400e+01   1.4030e-03   1.0976e+04
1.5600e+01   1.4272e-03   1.0930e+04
1.5800e+01   1.4518e-03   1.0883e+04
1.6000e+01   1.4774e-03   1.0830e+04
1.6200e+01   1.5022e-03   1.0784e+04
