  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739599.795681                    0

         MeasureMode                Bias1                Bias2
                   2                    6                   -6

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                 244

        Bias        Current     Resistance
0.0000e+00   1.0236e-07   0.0000e+00
1.0000e-01   8.6130e-06   1.1610e+04
2.0000e-01   1.7130e-05   1.1675e+04
3.0000e-01   2.5724e-05   1.1662e+04
4.0000e-01   3.4272e-05   1.1671e+04
5.0000e-01   4.2906e-05   1.1653e+04
6.0000e-01   5.1484e-05   1.1654e+04
7.0000e-01   6.0152e-05   1.1637e+04
8.0000e-01   6.8784e-05   1.1631e+04
9.0000e-01   7.7424e-05   1.1624e+04
1.0000e+00   8.6158e-05   1.1607e+04
1.1000e+00   9.4866e-05   1.1595e+04
1.2000e+00   1.0367e-04   1.1575e+04
1.3000e+00   1.1237e-04   1.1569e+04
1.4000e+00   1.2132e-04   1.1540e+04
1.5000e+00   1.3018e-04   1.1523e+04
1.6000e+00   1.3896e-04   1.1514e+04
1.7000e+00   1.4788e-04   1.1496e+04
1.8000e+00   1.5680e-04   1.1480e+04
1.9000e+00   1.6574e-04   1.1464e+04
2.0000e+00   1.7462e-04   1.1453e+04
2.1000e+00   1.8358e-04   1.1439e+04
2.2000e+00   1.9266e-04   1.1419e+04
2.3000e+00   2.0162e-04   1.1408e+04
2.4000e+00   2.1070e-04   1.1391e+04
2.5000e+00   2.1976e-04   1.1376e+04
2.6000e+00   2.2880e-04   1.1364e+04
2.7000e+00   2.3800e-04   1.1345e+04
2.8000e+00   2.4706e-04   1.1333e+04
2.9000e+00   2.5632e-04   1.1314e+04
3.0000e+00   2.6558e-04   1.1296e+04
3.1000e+00   2.7482e-04   1.1280e+04
3.2000e+00   2.8404e-04   1.1266e+04
3.3000e+00   2.9334e-04   1.1250e+04
3.4000e+00   3.0266e-04   1.1234e+04
3.5000e+00   3.1204e-04   1.1217e+04
3.6000e+00   3.2136e-04   1.1202e+04
3.7000e+00   3.3080e-04   1.1185e+04
3.8000e+00   3.4016e-04   1.1171e+04
3.9000e+00   3.4972e-04   1.1152e+04
4.0000e+00   3.5912e-04   1.1138e+04
4.1000e+00   3.6868e-04   1.1121e+04
4.2000e+00   3.7830e-04   1.1102e+04
4.3000e+00   3.8782e-04   1.1088e+04
4.4000e+00   3.9746e-04   1.1070e+04
4.5000e+00   4.0724e-04   1.1050e+04
4.6000e+00   4.1694e-04   1.1033e+04
4.7000e+00   4.2668e-04   1.1015e+04
4.8000e+00   4.3650e-04   1.0997e+04
4.9000e+00   4.4654e-04   1.0973e+04
5.0000e+00   4.5686e-04   1.0944e+04
5.1000e+00   4.8626e-04   1.0488e+04
5.2000e+00   4.9676e-04   1.0468e+04
5.3000e+00   5.0748e-04   1.0444e+04
5.4000e+00   5.1816e-04   1.0421e+04
5.5000e+00   5.2892e-04   1.0399e+04
5.6000e+00   5.3954e-04   1.0379e+04
5.7000e+00   5.5040e-04   1.0356e+04
5.8000e+00   5.6124e-04   1.0334e+04
5.9000e+00   5.7180e-04   1.0318e+04
6.0000e+00   5.8272e-04   1.0297e+04
6.0000e+00   5.8280e-04   1.0295e+04
5.9000e+00   5.7220e-04   1.0311e+04
5.8000e+00   5.6134e-04   1.0332e+04
5.7000e+00   5.5048e-04   1.0355e+04
5.6000e+00   5.3952e-04   1.0380e+04
5.5000e+00   5.2874e-04   1.0402e+04
5.4000e+00   5.1780e-04   1.0429e+04
5.3000e+00   5.0748e-04   1.0444e+04
5.2000e+00   4.9608e-04   1.0482e+04
5.1000e+00   4.8538e-04   1.0507e+04
5.0000e+00   4.7498e-04   1.0527e+04
4.9000e+00   4.6478e-04   1.0543e+04
4.8000e+00   4.5436e-04   1.0564e+04
4.7000e+00   4.4374e-04   1.0592e+04
4.6000e+00   4.3336e-04   1.0615e+04
4.5000e+00   4.2314e-04   1.0635e+04
4.4000e+00   4.1276e-04   1.0660e+04
4.3000e+00   4.0250e-04   1.0683e+04
4.2000e+00   3.9224e-04   1.0708e+04
4.1000e+00   3.8204e-04   1.0732e+04
4.0000e+00   3.7160e-04   1.0764e+04
3.9000e+00   3.6164e-04   1.0784e+04
3.8000e+00   3.5172e-04   1.0804e+04
3.7000e+00   3.4166e-04   1.0829e+04
3.6000e+00   3.3154e-04   1.0858e+04
3.5000e+00   3.2096e-04   1.0905e+04
3.4000e+00   3.1044e-04   1.0952e+04
3.3000e+00   2.9336e-04   1.1249e+04
3.2000e+00   2.8402e-04   1.1267e+04
3.1000e+00   2.7476e-04   1.1283e+04
3.0000e+00   2.6546e-04   1.1301e+04
2.9000e+00   2.5634e-04   1.1313e+04
2.8000e+00   2.4708e-04   1.1332e+04
2.7000e+00   2.3798e-04   1.1345e+04
2.6000e+00   2.2880e-04   1.1364e+04
2.5000e+00   2.1970e-04   1.1379e+04
2.4000e+00   2.1060e-04   1.1396e+04
2.3000e+00   2.0156e-04   1.1411e+04
2.2000e+00   1.9260e-04   1.1423e+04
2.1000e+00   1.8356e-04   1.1440e+04
2.0000e+00   1.7464e-04   1.1452e+04
1.9000e+00   1.6570e-04   1.1467e+04
1.8000e+00   1.5676e-04   1.1483e+04
1.7000e+00   1.4786e-04   1.1497e+04
1.6000e+00   1.3896e-04   1.1514e+04
1.5000e+00   1.3016e-04   1.1524e+04
1.4000e+00   1.2130e-04   1.1542e+04
1.3000e+00   1.1254e-04   1.1551e+04
1.2000e+00   1.0374e-04   1.1567e+04
1.1000e+00   9.4846e-05   1.1598e+04
1.0000e+00   8.6152e-05   1.1607e+04
9.0000e-01   7.7386e-05   1.1630e+04
8.0000e-01   6.8764e-05   1.1634e+04
7.0000e-01   6.0154e-05   1.1637e+04
6.0000e-01   5.1486e-05   1.1654e+04
5.0000e-01   4.2888e-05   1.1658e+04
4.0000e-01   3.4270e-05   1.1672e+04
3.0000e-01   2.5724e-05   1.1662e+04
2.0000e-01   1.7130e-05   1.1675e+04
1.0000e-01   8.6117e-06   1.1612e+04
0.0000e+00   9.9408e-08   0.0000e+00
0.0000e+00   9.9006e-08   0.0000e+00
-1.0000e-01   -8.4790e-06   1.1794e+04
-2.0000e-01   -1.6988e-05   1.1773e+04
-3.0000e-01   -2.5570e-05   1.1732e+04
-4.0000e-01   -3.4102e-05   1.1730e+04
-5.0000e-01   -4.2728e-05   1.1702e+04
-6.0000e-01   -5.1284e-05   1.1700e+04
-7.0000e-01   -5.9942e-05   1.1678e+04
-8.0000e-01   -6.8554e-05   1.1670e+04
-9.0000e-01   -7.7266e-05   1.1648e+04
-1.0000e+00   -8.5916e-05   1.1639e+04
-1.1000e+00   -9.4670e-05   1.1619e+04
-1.2000e+00   -1.0344e-04   1.1600e+04
-1.3000e+00   -1.1216e-04   1.1590e+04
-1.4000e+00   -1.2082e-04   1.1587e+04
-1.5000e+00   -1.2962e-04   1.1572e+04
-1.6000e+00   -1.3848e-04   1.1554e+04
-1.7000e+00   -1.4732e-04   1.1540e+04
-1.8000e+00   -1.5616e-04   1.1527e+04
-1.9000e+00   -1.6504e-04   1.1512e+04
-2.0000e+00   -1.7408e-04   1.1489e+04
-2.1000e+00   -1.8298e-04   1.1477e+04
-2.2000e+00   -1.9196e-04   1.1461e+04
-2.3000e+00   -2.0098e-04   1.1444e+04
-2.4000e+00   -2.1008e-04   1.1424e+04
-2.5000e+00   -2.1910e-04   1.1410e+04
-2.6000e+00   -2.2824e-04   1.1392e+04
-2.7000e+00   -2.3730e-04   1.1378e+04
-2.8000e+00   -2.4648e-04   1.1360e+04
-2.9000e+00   -2.5556e-04   1.1348e+04
-3.0000e+00   -2.6480e-04   1.1329e+04
-3.1000e+00   -2.7396e-04   1.1316e+04
-3.2000e+00   -2.8332e-04   1.1295e+04
-3.3000e+00   -2.9252e-04   1.1281e+04
-3.4000e+00   -3.0178e-04   1.1266e+04
-3.5000e+00   -3.1108e-04   1.1251e+04
-3.6000e+00   -3.2048e-04   1.1233e+04
-3.7000e+00   -3.2992e-04   1.1215e+04
-3.8000e+00   -3.3916e-04   1.1204e+04
-3.9000e+00   -3.4864e-04   1.1186e+04
-4.0000e+00   -3.5820e-04   1.1167e+04
-4.1000e+00   -3.6780e-04   1.1147e+04
-4.2000e+00   -3.7722e-04   1.1134e+04
-4.3000e+00   -3.8672e-04   1.1119e+04
-4.4000e+00   -3.9634e-04   1.1102e+04
-4.5000e+00   -4.0590e-04   1.1086e+04
-4.6000e+00   -4.1556e-04   1.1069e+04
-4.7000e+00   -4.2526e-04   1.1052e+04
-4.8000e+00   -4.3522e-04   1.1029e+04
-4.9000e+00   -4.4516e-04   1.1007e+04
-5.0000e+00   -4.5524e-04   1.0983e+04
-5.1000e+00   -4.8444e-04   1.0528e+04
-5.2000e+00   -4.9520e-04   1.0501e+04
-5.3000e+00   -5.0590e-04   1.0476e+04
-5.4000e+00   -5.1640e-04   1.0457e+04
-5.5000e+00   -5.2716e-04   1.0433e+04
-5.6000e+00   -5.3804e-04   1.0408e+04
-5.7000e+00   -5.4894e-04   1.0384e+04
-5.8000e+00   -5.5964e-04   1.0364e+04
-5.9000e+00   -5.7030e-04   1.0345e+04
-6.0000e+00   -5.8126e-04   1.0322e+04
-6.0000e+00   -5.8138e-04   1.0320e+04
-5.9000e+00   -5.7038e-04   1.0344e+04
-5.8000e+00   -5.5948e-04   1.0367e+04
-5.7000e+00   -5.4880e-04   1.0386e+04
-5.6000e+00   -5.3792e-04   1.0410e+04
-5.5000e+00   -5.2716e-04   1.0433e+04
