  Measurement Number     Measurement type
                 128                DC IV

      Measurement ID             SeriesID
       739681.652555                    0

         MeasureMode                Bias1                Bias2
                   1                    0                    7

                Step  Positive compliance  Negative compliance
                 0.2               0.0001               0.0001

  RealMeasuredPoints
                  72

        Bias        Current     Resistance
0.0000e+00   -1.7900e-12   -0.0000e+00
2.0000e-01   3.5830e-11   5.5819e+09
4.0000e-01   1.3810e-10   2.8965e+09
6.0000e-01   2.0252e-09   2.9627e+08
8.0000e-01   1.9504e-08   4.1017e+07
1.0000e+00   2.8416e-08   3.5191e+07
1.2000e+00   4.4031e-08   2.7253e+07
1.4000e+00   6.1435e-08   2.2788e+07
1.6000e+00   6.4840e-08   2.4676e+07
1.8000e+00   9.2862e-08   1.9384e+07
2.0000e+00   2.7138e-07   7.3697e+06
2.2000e+00   4.2620e-09   5.1619e+08
2.4000e+00   3.0782e-08   7.7968e+07
2.6000e+00   4.8035e-08   5.4127e+07
2.8000e+00   1.3176e-07   2.1251e+07
3.0000e+00   2.7874e-07   1.0763e+07
3.2000e+00   7.9464e-07   4.0270e+06
3.4000e+00   1.8332e-06   1.8547e+06
3.6000e+00   1.4530e-07   2.4776e+07
3.8000e+00   1.6368e-07   2.3216e+07
4.0000e+00   1.1706e-07   3.4171e+07
4.2000e+00   1.7666e-07   2.3774e+07
4.4000e+00   2.3218e-07   1.8951e+07
4.6000e+00   1.1532e-07   3.9889e+07
4.8000e+00   1.0396e-07   4.6172e+07
5.0000e+00   2.3962e-07   2.0866e+07
5.2000e+00   2.0030e-07   2.5961e+07
5.4000e+00   3.8234e-07   1.4124e+07
5.6000e+00   4.0632e-07   1.3782e+07
5.8000e+00   3.8034e-07   1.5250e+07
6.0000e+00   5.2784e-07   1.1367e+07
6.2000e+00   8.2760e-07   7.4915e+06
6.4000e+00   8.3592e-07   7.6562e+06
6.6000e+00   5.9858e-07   1.1026e+07
6.8000e+00   6.7090e-07   1.0136e+07
7.0000e+00   4.2524e-07   1.6461e+07
7.0000e+00   5.3548e-07   1.3072e+07
6.8000e+00   4.1614e-07   1.6341e+07
6.6000e+00   3.5732e-07   1.8471e+07
6.4000e+00   3.2428e-07   1.9736e+07
6.2000e+00   2.8416e-07   2.1819e+07
6.0000e+00   4.3980e-07   1.3643e+07
5.8000e+00   1.9584e-07   2.9616e+07
5.6000e+00   1.6598e-07   3.3739e+07
5.4000e+00   1.9176e-07   2.8160e+07
5.2000e+00   1.8170e-07   2.8619e+07
5.0000e+00   2.0500e-07   2.4390e+07
4.8000e+00   1.9680e-07   2.4390e+07
4.6000e+00   1.8792e-07   2.4479e+07
4.4000e+00   1.0728e-07   4.1014e+07
4.2000e+00   8.7080e-08   4.8232e+07
4.0000e+00   8.4680e-08   4.7237e+07
3.8000e+00   5.4320e-08   6.9956e+07
3.6000e+00   4.3580e-08   8.2607e+07
3.4000e+00   3.8775e-08   8.7685e+07
3.2000e+00   4.5751e-08   6.9944e+07
3.0000e+00   2.3980e-08   1.2510e+08
2.8000e+00   2.0090e-08   1.3938e+08
2.6000e+00   1.7289e-08   1.5039e+08
2.4000e+00   1.3826e-08   1.7358e+08
2.2000e+00   1.0403e-08   2.1147e+08
2.0000e+00   7.2697e-09   2.7511e+08
1.8000e+00   4.4508e-09   4.0442e+08
1.6000e+00   2.9045e-09   5.5087e+08
1.4000e+00   1.9780e-09   7.0779e+08
1.2000e+00   1.3228e-09   9.0717e+08
1.0000e+00   6.6473e-10   1.5044e+09
8.0000e-01   2.6820e-10   2.9828e+09
6.0000e-01   4.4790e-11   1.3396e+10
4.0000e-01   -3.4360e-11   -1.1641e+10
2.0000e-01   -9.7170e-11   -2.0582e+09
0.0000e+00   -1.1255e-10   -0.0000e+00
