  Measurement Number     Measurement type
                 110                DC IV

      Measurement ID             SeriesID
       739681.693233                   80

         MeasureMode                Bias1                Bias2
                   2                    5                   -5

                Step  Positive compliance  Negative compliance
                 0.1                0.001                  0.1

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   4.1400e-12   0.0000e+00
1.0000e-01   2.4550e-11   4.0733e+09
2.0000e-01   4.3210e-11   4.6286e+09
3.0000e-01   6.6050e-11   4.5420e+09
4.0000e-01   9.8770e-11   4.0498e+09
5.0000e-01   1.4353e-10   3.4836e+09
6.0000e-01   1.8477e-10   3.2473e+09
7.0000e-01   2.2729e-10   3.0798e+09
8.0000e-01   2.8130e-10   2.8439e+09
9.0000e-01   3.4568e-10   2.6036e+09
1.0000e+00   5.7442e-10   1.7409e+09
1.1000e+00   7.5002e-10   1.4666e+09
1.2000e+00   2.1200e-09   5.6604e+08
1.3000e+00   1.0921e-08   1.1904e+08
1.4000e+00   9.6280e-09   1.4541e+08
1.5000e+00   2.6095e-08   5.7482e+07
1.6000e+00   7.7900e-08   2.0539e+07
1.7000e+00   9.8200e-08   1.7312e+07
1.8000e+00   1.8118e-07   9.9349e+06
1.9000e+00   2.0534e-07   9.2529e+06
2.0000e+00   1.3916e-07   1.4372e+07
2.1000e+00   6.7760e-08   3.0992e+07
2.2000e+00   1.5478e-07   1.4214e+07
2.3000e+00   2.0750e-07   1.1084e+07
2.4000e+00   1.8475e-06   1.2991e+06
2.5000e+00   1.7304e-06   1.4448e+06
2.6000e+00   2.0984e-07   1.2390e+07
2.7000e+00   2.4588e-07   1.0981e+07
2.8000e+00   8.9280e-08   3.1362e+07
2.9000e+00   2.7966e-07   1.0370e+07
3.0000e+00   1.2658e-07   2.3700e+07
3.1000e+00   5.5646e-07   5.5709e+06
3.2000e+00   2.1280e-07   1.5038e+07
3.3000e+00   3.2950e-07   1.0015e+07
3.4000e+00   4.2924e-07   7.9210e+06
3.5000e+00   6.1026e-07   5.7353e+06
3.6000e+00   1.5912e-07   2.2624e+07
3.7000e+00   2.5210e-07   1.4677e+07
3.8000e+00   5.4196e-07   7.0116e+06
3.9000e+00   4.7128e-07   8.2753e+06
4.0000e+00   4.6688e-07   8.5675e+06
4.1000e+00   7.2434e-07   5.6603e+06
4.2000e+00   3.1442e-07   1.3358e+07
4.3000e+00   3.5888e-07   1.1982e+07
4.4000e+00   3.4474e-07   1.2763e+07
4.5000e+00   3.0256e-07   1.4873e+07
4.6000e+00   4.5012e-07   1.0219e+07
4.7000e+00   6.2628e-07   7.5046e+06
4.8000e+00   8.9636e-07   5.3550e+06
4.9000e+00   4.9138e-07   9.9719e+06
5.0000e+00   3.0550e-07   1.6367e+07
5.0000e+00   3.4910e-07   1.4323e+07
4.9000e+00   1.8050e-07   2.7147e+07
4.8000e+00   5.3544e-07   8.9646e+06
4.7000e+00   2.9390e-07   1.5992e+07
4.6000e+00   3.1294e-07   1.4699e+07
4.5000e+00   1.5824e-07   2.8438e+07
4.4000e+00   8.7940e-08   5.0034e+07
4.3000e+00   1.5272e-07   2.8156e+07
4.2000e+00   2.0762e-07   2.0229e+07
4.1000e+00   1.5800e-07   2.5949e+07
4.0000e+00   1.7242e-07   2.3199e+07
3.9000e+00   1.3116e-07   2.9735e+07
3.8000e+00   1.5664e-07   2.4259e+07
3.7000e+00   1.8622e-07   1.9869e+07
3.6000e+00   1.8446e-07   1.9516e+07
3.5000e+00   1.6588e-07   2.1100e+07
3.4000e+00   2.8496e-07   1.1931e+07
3.3000e+00   2.8294e-07   1.1663e+07
3.2000e+00   4.9950e-07   6.4064e+06
3.1000e+00   8.3066e-07   3.7320e+06
3.0000e+00   7.9246e-07   3.7857e+06
2.9000e+00   1.6993e-06   1.7066e+06
2.8000e+00   3.1975e-06   8.7568e+05
2.7000e+00   1.6953e-06   1.5926e+06
2.6000e+00   2.3226e-06   1.1194e+06
2.5000e+00   1.8371e-06   1.3608e+06
2.4000e+00   1.9102e-06   1.2564e+06
2.3000e+00   2.4014e-06   9.5777e+05
2.2000e+00   1.8687e-06   1.1773e+06
2.1000e+00   2.0214e-06   1.0389e+06
2.0000e+00   2.4665e-06   8.1087e+05
1.9000e+00   2.4022e-06   7.9094e+05
1.8000e+00   2.1192e-06   8.4938e+05
1.7000e+00   1.6057e-06   1.0587e+06
1.6000e+00   1.6847e-06   9.4972e+05
1.5000e+00   1.3039e-06   1.1504e+06
1.4000e+00   1.0526e-06   1.3300e+06
1.3000e+00   8.4160e-07   1.5447e+06
1.2000e+00   6.9024e-07   1.7385e+06
1.1000e+00   5.7276e-07   1.9205e+06
1.0000e+00   4.5628e-07   2.1916e+06
9.0000e-01   3.0686e-07   2.9329e+06
8.0000e-01   2.7514e-07   2.9076e+06
7.0000e-01   2.3790e-07   2.9424e+06
6.0000e-01   1.3456e-07   4.4590e+06
5.0000e-01   9.1203e-08   5.4823e+06
4.0000e-01   6.8707e-08   5.8218e+06
3.0000e-01   3.5925e-08   8.3508e+06
2.0000e-01   1.4869e-08   1.3451e+07
1.0000e-01   8.7807e-09   1.1389e+07
0.0000e+00   -1.5901e-10   -0.0000e+00
0.0000e+00   -2.3600e-12   -0.0000e+00
-1.0000e-01   -3.5087e-09   2.8501e+07
-2.0000e-01   -5.7998e-09   3.4484e+07
-3.0000e-01   -1.0594e-08   2.8317e+07
-4.0000e-01   -1.5956e-08   2.5069e+07
-5.0000e-01   -2.5630e-08   1.9508e+07
-6.0000e-01   -2.4985e-08   2.4015e+07
-7.0000e-01   -5.7738e-05   1.2124e+04
-8.0000e-01   -2.7792e-05   2.8785e+04
-9.0000e-01   -3.8146e-05   2.3594e+04
-1.0000e+00   -2.5850e-06   3.8685e+05
-1.1000e+00   -3.2037e-06   3.4335e+05
-1.2000e+00   -7.3680e-06   1.6287e+05
-1.3000e+00   -4.4256e-05   2.9375e+04
-1.4000e+00   -2.5686e-05   5.4504e+04
-1.5000e+00   -1.1356e-05   1.3209e+05
-1.6000e+00   -3.3132e-06   4.8292e+05
-1.7000e+00   -1.9318e-06   8.8001e+05
-1.8000e+00   -6.0620e-04   2.9693e+03
-1.9000e+00   -6.4574e-04   2.9424e+03
-2.0000e+00   -6.8126e-04   2.9357e+03
-2.1000e+00   -7.1706e-04   2.9286e+03
-2.2000e+00   -7.5398e-04   2.9178e+03
-2.3000e+00   -7.8968e-04   2.9126e+03
-2.4000e+00   -8.2886e-04   2.8955e+03
-2.5000e+00   -8.1096e-04   3.0828e+03
-2.6000e+00   -9.0146e-04   2.8842e+03
-2.7000e+00   -9.4666e-04   2.8521e+03
-2.8000e+00   -9.8398e-04   2.8456e+03
-2.9000e+00   -1.0040e-03   2.8886e+03
-3.0000e+00   -1.0778e-03   2.7835e+03
-3.1000e+00   -1.1182e-03   2.7722e+03
-3.2000e+00   -4.9946e-07   6.4069e+06
-3.3000e+00   -2.2364e-07   1.4756e+07
-3.4000e+00   -2.4658e-07   1.3789e+07
-3.5000e+00   -3.0604e-07   1.1436e+07
-3.6000e+00   -3.3998e-07   1.0589e+07
-3.7000e+00   -2.6938e-07   1.3735e+07
-3.8000e+00   -5.5256e-07   6.8771e+06
-3.9000e+00   -9.2836e-07   4.2010e+06
-4.0000e+00   -3.3590e-07   1.1908e+07
-4.1000e+00   -1.8464e-07   2.2205e+07
-4.2000e+00   -1.2990e-07   3.2333e+07
-4.3000e+00   -2.4532e-07   1.7528e+07
-4.4000e+00   -1.3110e-07   3.3562e+07
-4.5000e+00   -1.9368e-07   2.3234e+07
-4.6000e+00   -3.9776e-07   1.1565e+07
-4.7000e+00   -2.8676e-07   1.6390e+07
-4.8000e+00   -3.1978e-07   1.5010e+07
-4.9000e+00   -2.8960e-07   1.6920e+07
-5.0000e+00   -4.2188e-07   1.1852e+07
-5.0000e+00   -2.9274e-07   1.7080e+07
-4.9000e+00   -2.3610e-07   2.0754e+07
-4.8000e+00   -2.1572e-07   2.2251e+07
-4.7000e+00   -3.2764e-07   1.4345e+07
-4.6000e+00   -2.0696e-07   2.2227e+07
-4.5000e+00   -2.7190e-07   1.6550e+07
-4.4000e+00   -2.9800e-07   1.4765e+07
-4.3000e+00   -1.9232e-07   2.2359e+07
-4.2000e+00   -2.9892e-07   1.4051e+07
-4.1000e+00   -3.0058e-07   1.3640e+07
-4.0000e+00   -2.1800e-07   1.8349e+07
-3.9000e+00   -1.9562e-07   1.9937e+07
-3.8000e+00   -3.4828e-07   1.0911e+07
-3.7000e+00   -3.5222e-07   1.0505e+07
-3.6000e+00   -4.0820e-07   8.8192e+06
-3.5000e+00   -3.1210e-07   1.1214e+07
-3.4000e+00   -2.1066e-07   1.6140e+07
-3.3000e+00   -2.1598e-07   1.5279e+07
-3.2000e+00   -4.4342e-07   7.2166e+06
-3.1000e+00   -1.5204e-07   2.0389e+07
-3.0000e+00   -1.4608e-07   2.0537e+07
-2.9000e+00   -1.6014e-07   1.8109e+07
-2.8000e+00   -1.4240e-07   1.9663e+07
-2.7000e+00   -5.4525e-08   4.9519e+07
-2.6000e+00   -5.8736e-08   4.4266e+07
-2.5000e+00   -5.0620e-08   4.9387e+07
-2.4000e+00   -3.8642e-08   6.2108e+07
-2.3000e+00   -4.4074e-08   5.2185e+07
-2.2000e+00   -4.2460e-08   5.1813e+07
-2.1000e+00   -3.6206e-08   5.8002e+07
-2.0000e+00   -3.6701e-08   5.4494e+07
-1.9000e+00   -2.8582e-08   6.6475e+07
-1.8000e+00   -2.6643e-08   6.7560e+07
-1.7000e+00   -2.4997e-08   6.8008e+07
-1.6000e+00   -1.9980e-08   8.0080e+07
-1.5000e+00   -1.5860e-08   9.4580e+07
-1.4000e+00   -1.1914e-08   1.1751e+08
-1.3000e+00   -7.6104e-09   1.7082e+08
-1.2000e+00   -6.1828e-09   1.9409e+08
-1.1000e+00   -4.5678e-09   2.4082e+08
-1.0000e+00   -3.6080e-09   2.7716e+08
-9.0000e-01   -2.2710e-09   3.9630e+08
-8.0000e-01   -1.7922e-09   4.4638e+08
