  Measurement Number     Measurement type
                  31                DC IV

      Measurement ID             SeriesID
       739681.675932                    0

         MeasureMode                Bias1                Bias2
                   1                    0                    7

                Step  Positive compliance  Negative compliance
                 0.2                5e-06                1e-06

  RealMeasuredPoints
                  72

        Bias        Current     Resistance
0.0000e+00   7.1000e-13   0.0000e+00
2.0000e-01   1.6530e-11   1.2099e+10
4.0000e-01   3.1240e-11   1.2804e+10
6.0000e-01   5.8560e-11   1.0246e+10
8.0000e-01   9.1060e-11   8.7854e+09
1.0000e+00   1.5676e-10   6.3792e+09
1.2000e+00   2.1125e-10   5.6805e+09
1.4000e+00   3.3806e-10   4.1413e+09
1.6000e+00   3.4733e-10   4.6066e+09
1.8000e+00   4.3728e-10   4.1164e+09
2.0000e+00   5.9113e-10   3.3834e+09
2.2000e+00   8.6262e-10   2.5504e+09
2.4000e+00   1.0959e-09   2.1900e+09
2.6000e+00   1.8083e-09   1.4378e+09
2.8000e+00   3.5676e-09   7.8484e+08
3.0000e+00   3.5293e-09   8.5003e+08
3.2000e+00   6.4820e-09   4.9367e+08
3.4000e+00   6.1721e-09   5.5087e+08
3.6000e+00   1.5036e-08   2.3942e+08
3.8000e+00   3.3266e-08   1.1423e+08
4.0000e+00   3.6636e-08   1.0918e+08
4.2000e+00   1.2080e-07   3.4768e+07
4.4000e+00   1.8376e-07   2.3944e+07
4.6000e+00   1.2210e-07   3.7674e+07
4.8000e+00   2.3252e-07   2.0643e+07
5.0000e+00   2.5024e-07   1.9981e+07
5.2000e+00   5.6766e-07   9.1604e+06
5.4000e+00   1.1344e-07   4.7602e+07
5.6000e+00   5.7244e-08   9.7828e+07
5.8000e+00   4.6900e-08   1.2367e+08
6.0000e+00   5.0349e-08   1.1917e+08
6.2000e+00   1.3996e-07   4.4298e+07
6.4000e+00   1.6238e-07   3.9414e+07
6.6000e+00   1.5488e-07   4.2614e+07
6.8000e+00   3.2786e-07   2.0741e+07
7.0000e+00   1.1122e-07   6.2938e+07
7.0000e+00   2.4476e-07   2.8599e+07
6.8000e+00   7.0580e-08   9.6345e+07
6.6000e+00   5.2611e-08   1.2545e+08
6.4000e+00   3.8438e-08   1.6650e+08
6.2000e+00   4.7438e-08   1.3070e+08
6.0000e+00   5.3200e-08   1.1278e+08
5.8000e+00   3.5259e-08   1.6450e+08
5.6000e+00   3.2385e-08   1.7292e+08
5.4000e+00   2.4574e-08   2.1974e+08
5.2000e+00   3.3939e-08   1.5322e+08
5.0000e+00   2.8347e-08   1.7638e+08
4.8000e+00   2.8251e-08   1.6990e+08
4.6000e+00   2.5648e-08   1.7935e+08
4.4000e+00   2.2886e-08   1.9225e+08
4.2000e+00   2.1664e-08   1.9387e+08
4.0000e+00   1.9522e-08   2.0490e+08
3.8000e+00   1.6742e-08   2.2697e+08
3.6000e+00   1.5147e-08   2.3766e+08
3.4000e+00   1.3225e-08   2.5708e+08
3.2000e+00   1.0786e-08   2.9668e+08
3.0000e+00   9.6622e-09   3.1049e+08
2.8000e+00   7.6570e-09   3.6568e+08
2.6000e+00   4.8329e-09   5.3798e+08
2.4000e+00   4.2279e-09   5.6766e+08
2.2000e+00   2.5204e-09   8.7288e+08
2.0000e+00   2.6134e-09   7.6529e+08
1.8000e+00   2.1930e-09   8.2079e+08
1.6000e+00   1.1989e-09   1.3346e+09
1.4000e+00   7.4624e-10   1.8761e+09
1.2000e+00   4.7286e-10   2.5377e+09
1.0000e+00   2.5101e-10   3.9839e+09
8.0000e-01   8.9800e-12   8.9087e+10
6.0000e-01   -1.6420e-11   -3.6541e+10
4.0000e-01   -1.2489e-10   -3.2028e+09
2.0000e-01   -1.3251e-10   -1.5093e+09
0.0000e+00   -1.3523e-10   -0.0000e+00
