  Measurement Number     Measurement type
                  44                DC IV

      Measurement ID             SeriesID
       739681.609385                   13

         MeasureMode                Bias1                Bias2
                   2                 -2.5                    2

                Step  Positive compliance  Negative compliance
                 0.1                0.001               0.0001

  RealMeasuredPoints
                  94

        Bias        Current     Resistance
0.0000e+00   1.5828e-10   0.0000e+00
-1.0000e-01   -1.1014e-07   9.0794e+05
-2.0000e-01   -2.8748e-07   6.9570e+05
-3.0000e-01   -5.5438e-07   5.4115e+05
-4.0000e-01   -9.0110e-07   4.4390e+05
-5.0000e-01   -1.2863e-06   3.8871e+05
-6.0000e-01   -1.8246e-06   3.2884e+05
-7.0000e-01   -2.4257e-06   2.8858e+05
-8.0000e-01   -3.1572e-06   2.5339e+05
-9.0000e-01   -4.0042e-06   2.2476e+05
-1.0000e+00   -4.9471e-06   2.0214e+05
-1.1000e+00   -5.9358e-06   1.8532e+05
-1.2000e+00   -8.0160e-06   1.4970e+05
-1.3000e+00   -9.4450e-06   1.3764e+05
-1.4000e+00   -1.1061e-05   1.2657e+05
-1.5000e+00   -1.5156e-05   9.8971e+04
-1.6000e+00   -1.8616e-05   8.5948e+04
-1.7000e+00   -1.8830e-05   9.0281e+04
-1.8000e+00   -2.1410e-05   8.4073e+04
-1.9000e+00   -2.4682e-05   7.6979e+04
-2.0000e+00   -2.9152e-05   6.8606e+04
-2.1000e+00   -3.6268e-05   5.7902e+04
-2.2000e+00   -3.3708e-05   6.5266e+04
-2.3000e+00   -4.2218e-05   5.4479e+04
-2.4000e+00   -4.4774e-05   5.3603e+04
-2.5000e+00   -5.2102e-05   4.7983e+04
-2.5000e+00   -5.3832e-05   4.6441e+04
-2.4000e+00   -5.4092e-05   4.4369e+04
-2.3000e+00   -4.9864e-05   4.6125e+04
-2.2000e+00   -4.4078e-05   4.9912e+04
-2.1000e+00   -4.0848e-05   5.1410e+04
-2.0000e+00   -3.7822e-05   5.2879e+04
-1.9000e+00   -3.3760e-05   5.6280e+04
-1.8000e+00   -3.0082e-05   5.9836e+04
-1.7000e+00   -2.7388e-05   6.2071e+04
-1.6000e+00   -2.4174e-05   6.6187e+04
-1.5000e+00   -2.1144e-05   7.0942e+04
-1.4000e+00   -1.8842e-05   7.4302e+04
-1.3000e+00   -2.0958e-05   6.2029e+04
-1.2000e+00   -1.7980e-05   6.6741e+04
-1.1000e+00   -1.5232e-05   7.2216e+04
-1.0000e+00   -9.1727e-06   1.0902e+05
-9.0000e-01   -7.5079e-06   1.1987e+05
-8.0000e-01   -6.0675e-06   1.3185e+05
-7.0000e-01   -4.7099e-06   1.4862e+05
-6.0000e-01   -3.6232e-06   1.6560e+05
-5.0000e-01   -2.5172e-06   1.9863e+05
-4.0000e-01   -1.7395e-06   2.2995e+05
-3.0000e-01   -1.0677e-06   2.8098e+05
-2.0000e-01   -5.6344e-07   3.5496e+05
-1.0000e-01   -2.2110e-07   4.5228e+05
0.0000e+00   3.9831e-10   0.0000e+00
0.0000e+00   3.6430e-11   0.0000e+00
1.0000e-01   1.4888e-07   6.7168e+05
2.0000e-01   3.8610e-07   5.1800e+05
3.0000e-01   7.3442e-07   4.0849e+05
4.0000e-01   1.4527e-06   2.7535e+05
5.0000e-01   2.1661e-06   2.3083e+05
6.0000e-01   2.6077e-06   2.3009e+05
7.0000e-01   3.6007e-06   1.9441e+05
8.0000e-01   4.7121e-06   1.6978e+05
9.0000e-01   5.8666e-06   1.5341e+05
1.0000e+00   7.3167e-06   1.3667e+05
1.1000e+00   9.1227e-06   1.2058e+05
1.2000e+00   1.0540e-05   1.1385e+05
1.3000e+00   1.0338e-05   1.2575e+05
1.4000e+00   1.1656e-05   1.2011e+05
1.5000e+00   1.2202e-05   1.2293e+05
1.6000e+00   1.3830e-05   1.1569e+05
1.7000e+00   1.7296e-05   9.8289e+04
1.8000e+00   2.2578e-05   7.9724e+04
1.9000e+00   2.9000e-05   6.5517e+04
2.0000e+00   3.1276e-05   6.3947e+04
2.0000e+00   3.0072e-05   6.6507e+04
1.9000e+00   2.6564e-05   7.1525e+04
1.8000e+00   2.3108e-05   7.7895e+04
1.7000e+00   1.9564e-05   8.6894e+04
1.6000e+00   1.6680e-05   9.5923e+04
1.5000e+00   1.4282e-05   1.0503e+05
1.4000e+00   1.2104e-05   1.1566e+05
1.3000e+00   1.0154e-05   1.2803e+05
1.2000e+00   8.3862e-06   1.4309e+05
1.1000e+00   6.8929e-06   1.5958e+05
1.0000e+00   5.5301e-06   1.8083e+05
9.0000e-01   4.3583e-06   2.0650e+05
8.0000e-01   3.3954e-06   2.3561e+05
7.0000e-01   2.5807e-06   2.7124e+05
6.0000e-01   1.8503e-06   3.2427e+05
5.0000e-01   1.2983e-06   3.8512e+05
4.0000e-01   8.5290e-07   4.6899e+05
3.0000e-01   5.1902e-07   5.7801e+05
2.0000e-01   2.6844e-07   7.4505e+05
1.0000e-01   1.0214e-07   9.7905e+05
0.0000e+00   1.6880e-11   0.0000e+00
