  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739681.604997                    0

         MeasureMode                Bias1                Bias2
                   2                  1.5                 -1.5

                Step  Positive compliance  Negative compliance
                0.05                2e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.3900e-12   0.0000e+00
5.0000e-02   9.9080e-10   5.0464e+07
1.0000e-01   2.2520e-09   4.4405e+07
1.5000e-01   4.5916e-09   3.2668e+07
2.0000e-01   7.5055e-09   2.6647e+07
2.5000e-01   1.2370e-08   2.0211e+07
3.0000e-01   2.0203e-08   1.4849e+07
3.5000e-01   2.9721e-08   1.1776e+07
4.0000e-01   4.2725e-08   9.3622e+06
4.5000e-01   5.7809e-08   7.7842e+06
5.0000e-01   7.8048e-08   6.4063e+06
5.5000e-01   1.0038e-07   5.4793e+06
6.0000e-01   1.2856e-07   4.6671e+06
6.5000e-01   1.5990e-07   4.0650e+06
7.0000e-01   1.8634e-07   3.7566e+06
7.5000e-01   2.4536e-07   3.0567e+06
8.0000e-01   2.8402e-07   2.8167e+06
8.5000e-01   3.3598e-07   2.5299e+06
9.0000e-01   4.0206e-07   2.2385e+06
9.5000e-01   4.8280e-07   1.9677e+06
1.0000e+00   5.6628e-07   1.7659e+06
1.0500e+00   6.6984e-07   1.5675e+06
1.1000e+00   7.8804e-07   1.3959e+06
1.1500e+00   9.0352e-07   1.2728e+06
1.2000e+00   1.0457e-06   1.1476e+06
1.2500e+00   1.2216e-06   1.0232e+06
1.3000e+00   1.3925e-06   9.3357e+05
1.3500e+00   1.5704e-06   8.5965e+05
1.4000e+00   1.8185e-06   7.6987e+05
1.4500e+00   2.0001e-06   7.2496e+05
1.5000e+00   2.0002e-06   7.4993e+05
1.5000e+00   2.0003e-06   7.4989e+05
1.4500e+00   2.0002e-06   7.2493e+05
1.4000e+00   1.7939e-06   7.8042e+05
1.3500e+00   1.6040e-06   8.4165e+05
1.3000e+00   1.3955e-06   9.3157e+05
1.2500e+00   1.2313e-06   1.0152e+06
1.2000e+00   1.0793e-06   1.1118e+06
1.1500e+00   9.3308e-07   1.2325e+06
1.1000e+00   8.2502e-07   1.3333e+06
1.0500e+00   7.2330e-07   1.4517e+06
1.0000e+00   6.2220e-07   1.6072e+06
9.5000e-01   5.1876e-07   1.8313e+06
9.0000e-01   4.4290e-07   2.0321e+06
8.5000e-01   3.6924e-07   2.3020e+06
8.0000e-01   3.1690e-07   2.5245e+06
7.5000e-01   2.6660e-07   2.8132e+06
7.0000e-01   2.1192e-07   3.3031e+06
6.5000e-01   1.8046e-07   3.6019e+06
6.0000e-01   1.3848e-07   4.3328e+06
5.5000e-01   1.1262e-07   4.8837e+06
5.0000e-01   8.5347e-08   5.8584e+06
4.5000e-01   6.4573e-08   6.9688e+06
4.0000e-01   4.7921e-08   8.3470e+06
3.5000e-01   3.2603e-08   1.0735e+07
3.0000e-01   2.3258e-08   1.2899e+07
2.5000e-01   1.4397e-08   1.7364e+07
2.0000e-01   9.1291e-09   2.1908e+07
1.5000e-01   4.8615e-09   3.0855e+07
1.0000e-01   2.5696e-09   3.8917e+07
5.0000e-02   1.1146e-09   4.4859e+07
0.0000e+00   -2.0900e-12   -0.0000e+00
0.0000e+00   2.9200e-12   0.0000e+00
-5.0000e-02   -7.9990e-10   6.2508e+07
