  Measurement Number     Measurement type
                 100                DC IV

      Measurement ID             SeriesID
       739681.728777                    0

         MeasureMode                Bias1                Bias2
                   2                  -15                    6

                Step  Positive compliance  Negative compliance
                 0.2                  0.1                1e-05

  RealMeasuredPoints
                 214

        Bias        Current     Resistance
0.0000e+00   1.3240e-11   0.0000e+00
-2.0000e-01   -3.0191e-09   6.6245e+07
-4.0000e-01   -7.2072e-09   5.5500e+07
-6.0000e-01   -1.2739e-08   4.7099e+07
-8.0000e-01   -2.8942e-08   2.7641e+07
-1.0000e+00   -3.1612e-07   3.1634e+06
-1.2000e+00   -3.8634e-07   3.1061e+06
-1.4000e+00   -7.9080e-07   1.7704e+06
-1.6000e+00   -5.8804e-07   2.7209e+06
-1.8000e+00   -3.8032e-07   4.7329e+06
-2.0000e+00   -9.2542e-07   2.1612e+06
-2.2000e+00   -1.6071e-06   1.3689e+06
-2.4000e+00   -7.9234e-07   3.0290e+06
-2.6000e+00   -1.6211e-06   1.6038e+06
-2.8000e+00   -1.6902e-06   1.6566e+06
-3.0000e+00   -3.4036e-06   8.8142e+05
-3.2000e+00   -3.1506e-06   1.0157e+06
-3.4000e+00   -4.1120e-06   8.2685e+05
-3.6000e+00   -3.8934e-06   9.2464e+05
-3.8000e+00   -4.5772e-06   8.3020e+05
-4.0000e+00   -3.6514e-06   1.0955e+06
-4.2000e+00   -4.4245e-06   9.4926e+05
-4.4000e+00   -3.3956e-06   1.2958e+06
-4.6000e+00   -2.9070e-06   1.5824e+06
-4.8000e+00   -3.3531e-06   1.4315e+06
-5.0000e+00   -3.6066e-06   1.3863e+06
-5.2000e+00   -4.2945e-06   1.2109e+06
-5.4000e+00   -4.0532e-06   1.3323e+06
-5.6000e+00   -4.1926e-06   1.3357e+06
-5.8000e+00   -3.5987e-06   1.6117e+06
-6.0000e+00   -3.1068e-06   1.9312e+06
-6.2000e+00   -3.4415e-06   1.8015e+06
-6.4000e+00   -2.7753e-06   2.3061e+06
-6.6000e+00   -2.4099e-06   2.7387e+06
-6.8000e+00   -2.0968e-06   3.2430e+06
-7.0000e+00   -2.2928e-06   3.0530e+06
-7.2000e+00   -2.4720e-06   2.9126e+06
-7.4000e+00   -2.6204e-06   2.8240e+06
-7.6000e+00   -2.3674e-06   3.2103e+06
-7.8000e+00   -2.9729e-06   2.6237e+06
-8.0000e+00   -3.0280e-06   2.6420e+06
-8.2000e+00   -3.3850e-06   2.4225e+06
-8.4000e+00   -3.8261e-06   2.1954e+06
-8.6000e+00   -3.5784e-06   2.4033e+06
-8.8000e+00   -4.4159e-06   1.9928e+06
-9.0000e+00   -5.6174e-06   1.6022e+06
-9.2000e+00   -6.5577e-06   1.4029e+06
-9.4000e+00   -8.9563e-06   1.0495e+06
-9.6000e+00   -9.9997e-06   9.6003e+05
-9.8000e+00   -9.9963e-06   9.8036e+05
-1.0000e+01   -1.0002e-05   9.9980e+05
-1.0200e+01   -1.0000e-05   1.0200e+06
-1.0400e+01   -9.9961e-06   1.0404e+06
-1.0600e+01   -1.0001e-05   1.0599e+06
-1.0800e+01   -9.9985e-06   1.0802e+06
-1.1000e+01   -9.9957e-06   1.1005e+06
-1.1200e+01   -9.9972e-06   1.1203e+06
-1.1400e+01   -9.9932e-06   1.1408e+06
-1.1600e+01   -1.0002e-05   1.1597e+06
-1.1800e+01   -1.0002e-05   1.1798e+06
-1.2000e+01   -1.0001e-05   1.1998e+06
-1.2200e+01   -9.9990e-06   1.2201e+06
-1.2400e+01   -9.9955e-06   1.2406e+06
-1.2600e+01   -9.9927e-06   1.2609e+06
-1.2800e+01   -9.9963e-06   1.2805e+06
-1.3000e+01   -9.9996e-06   1.3001e+06
-1.3200e+01   -9.9961e-06   1.3205e+06
-1.3400e+01   -1.0004e-05   1.3395e+06
