  Measurement Number     Measurement type
                  30                DC IV

      Measurement ID             SeriesID
       739681.624545                   55

         MeasureMode                Bias1                Bias2
                   1                    0                   -5

                Step  Positive compliance  Negative compliance
                 0.2                1e-06                1e-06

  RealMeasuredPoints
                  52

        Bias        Current     Resistance
0.0000e+00   7.9455e-10   0.0000e+00
-2.0000e-01   -6.1906e-07   3.2307e+05
-4.0000e-01   -9.9992e-07   4.0003e+05
-6.0000e-01   -5.4623e-08   1.0984e+07
-8.0000e-01   -2.8559e-08   2.8012e+07
-1.0000e+00   -3.9754e-08   2.5155e+07
-1.2000e+00   -4.5455e-08   2.6400e+07
-1.4000e+00   -5.5423e-08   2.5260e+07
-1.6000e+00   -4.9413e-08   3.2380e+07
-1.8000e+00   -2.0628e-07   8.7260e+06
-2.0000e+00   -9.9990e-07   2.0002e+06
-2.2000e+00   -1.0000e-06   2.1999e+06
-2.4000e+00   -1.0000e-06   2.4000e+06
-2.6000e+00   -9.9992e-07   2.6002e+06
-2.8000e+00   -9.9996e-07   2.8001e+06
-3.0000e+00   -9.9998e-07   3.0001e+06
-3.2000e+00   -1.0000e-06   3.1999e+06
-3.4000e+00   -9.9992e-07   3.4003e+06
-3.6000e+00   -9.9992e-07   3.6003e+06
-3.8000e+00   -9.9992e-07   3.8003e+06
-4.0000e+00   -9.9996e-07   4.0002e+06
-4.2000e+00   -9.9996e-07   4.2002e+06
-4.4000e+00   -9.9988e-07   4.4005e+06
-4.6000e+00   -9.9998e-07   4.6001e+06
-4.8000e+00   -9.9996e-07   4.8002e+06
-5.0000e+00   -9.9992e-07   5.0004e+06
-5.0000e+00   -9.9990e-07   5.0005e+06
-4.8000e+00   -9.9990e-07   4.8005e+06
-4.6000e+00   -1.0000e-06   4.5999e+06
-4.4000e+00   -9.9992e-07   4.4004e+06
-4.2000e+00   -1.0000e-06   4.2000e+06
-4.0000e+00   -9.9996e-07   4.0002e+06
-3.8000e+00   -9.9996e-07   3.8002e+06
-3.6000e+00   -9.9998e-07   3.6001e+06
-3.4000e+00   -9.9992e-07   3.4003e+06
-3.2000e+00   -9.9996e-07   3.2001e+06
-3.0000e+00   -1.0000e-06   2.9999e+06
-2.8000e+00   -9.9996e-07   2.8001e+06
-2.6000e+00   -9.9994e-07   2.6002e+06
-2.4000e+00   -9.9990e-07   2.4002e+06
-2.2000e+00   -9.9996e-07   2.2001e+06
-2.0000e+00   -9.9996e-07   2.0001e+06
-1.8000e+00   -8.8754e-07   2.0281e+06
-1.6000e+00   -7.4970e-07   2.1342e+06
-1.4000e+00   -3.7786e-07   3.7051e+06
-1.2000e+00   -1.7318e-07   6.9292e+06
-1.0000e+00   -8.9074e-08   1.1227e+07
-8.0000e-01   -3.3829e-08   2.3648e+07
-6.0000e-01   -1.6125e-08   3.7210e+07
-4.0000e-01   -3.4784e-09   1.1500e+08
-2.0000e-01   -5.0667e-10   3.9473e+08
0.0000e+00   3.6560e-11   0.0000e+00
