  Measurement Number     Measurement type
                   7                DC IV

      Measurement ID             SeriesID
       739681.620893                    0

         MeasureMode                Bias1                Bias2
                   2                    5                    5

                Step  Positive compliance  Negative compliance
                 0.1                1e-06                1e-06

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   3.7000e-12   0.0000e+00
1.0000e-01   4.8600e-12   2.0576e+10
2.0000e-01   5.4100e-12   3.6969e+10
3.0000e-01   1.3060e-11   2.2971e+10
4.0000e-01   1.6500e-11   2.4242e+10
5.0000e-01   1.8830e-11   2.6553e+10
6.0000e-01   2.0340e-11   2.9499e+10
7.0000e-01   2.0350e-11   3.4398e+10
8.0000e-01   2.5810e-11   3.0996e+10
9.0000e-01   3.0290e-11   2.9713e+10
1.0000e+00   3.0320e-11   3.2982e+10
1.1000e+00   3.0220e-11   3.6400e+10
1.2000e+00   3.7630e-11   3.1889e+10
1.3000e+00   4.0930e-11   3.1762e+10
1.4000e+00   4.2610e-11   3.2856e+10
1.5000e+00   4.1560e-11   3.6092e+10
1.6000e+00   4.7500e-11   3.3684e+10
1.7000e+00   5.0230e-11   3.3844e+10
1.8000e+00   5.0520e-11   3.5629e+10
1.9000e+00   5.0640e-11   3.7520e+10
2.0000e+00   5.1900e-11   3.8536e+10
2.1000e+00   5.5460e-11   3.7865e+10
2.2000e+00   5.5250e-11   3.9819e+10
2.3000e+00   5.7140e-11   4.0252e+10
2.4000e+00   5.4950e-11   4.3676e+10
2.5000e+00   5.4940e-11   4.5504e+10
2.6000e+00   5.8060e-11   4.4781e+10
2.7000e+00   6.0510e-11   4.4621e+10
2.8000e+00   5.5960e-11   5.0036e+10
2.9000e+00   5.5560e-11   5.2196e+10
3.0000e+00   6.0420e-11   4.9652e+10
3.1000e+00   6.1430e-11   5.0464e+10
3.2000e+00   6.1800e-11   5.1780e+10
3.3000e+00   6.1780e-11   5.3415e+10
3.4000e+00   6.3100e-11   5.3883e+10
3.5000e+00   6.6970e-11   5.2262e+10
3.6000e+00   6.2040e-11   5.8027e+10
3.7000e+00   6.1390e-11   6.0270e+10
3.8000e+00   6.2900e-11   6.0413e+10
3.9000e+00   6.5900e-11   5.9181e+10
4.0000e+00   6.6690e-11   5.9979e+10
4.1000e+00   6.4840e-11   6.3233e+10
4.2000e+00   6.2640e-11   6.7050e+10
4.3000e+00   6.5780e-11   6.5369e+10
4.4000e+00   6.7620e-11   6.5070e+10
4.5000e+00   6.7870e-11   6.6303e+10
4.6000e+00   7.1020e-11   6.4770e+10
4.7000e+00   6.6880e-11   7.0275e+10
4.8000e+00   7.2760e-11   6.5970e+10
4.9000e+00   7.9710e-11   6.1473e+10
5.0000e+00   7.9800e-11   6.2657e+10
5.0000e+00   7.8110e-11   6.4012e+10
4.9000e+00   6.2860e-11   7.7951e+10
4.8000e+00   4.7750e-11   1.0052e+11
4.7000e+00   3.7310e-11   1.2597e+11
4.6000e+00   2.9660e-11   1.5509e+11
4.5000e+00   2.4770e-11   1.8167e+11
4.4000e+00   1.9450e-11   2.2622e+11
4.3000e+00   9.0200e-12   4.7672e+11
4.2000e+00   8.4800e-12   4.9528e+11
4.1000e+00   5.9100e-12   6.9374e+11
4.0000e+00   3.5800e-12   1.1173e+12
3.9000e+00   -2.0800e-12   -1.8750e+12
3.8000e+00   -7.5300e-12   -5.0465e+11
3.7000e+00   -1.2770e-11   -2.8974e+11
3.6000e+00   -1.6240e-11   -2.2167e+11
3.5000e+00   -2.4350e-11   -1.4374e+11
3.4000e+00   -3.0060e-11   -1.1311e+11
3.3000e+00   -3.9740e-11   -8.3040e+10
3.2000e+00   -3.9460e-11   -8.1095e+10
3.1000e+00   -4.2310e-11   -7.3269e+10
3.0000e+00   -4.8830e-11   -6.1438e+10
2.9000e+00   -5.2420e-11   -5.5322e+10
2.8000e+00   -5.0130e-11   -5.5855e+10
2.7000e+00   -5.0540e-11   -5.3423e+10
2.6000e+00   -4.9230e-11   -5.2813e+10
2.5000e+00   -5.4340e-11   -4.6007e+10
2.4000e+00   -5.6660e-11   -4.2358e+10
2.3000e+00   -5.5160e-11   -4.1697e+10
2.2000e+00   -5.2420e-11   -4.1969e+10
2.1000e+00   -5.5200e-11   -3.8043e+10
2.0000e+00   -5.7650e-11   -3.4692e+10
1.9000e+00   -5.6860e-11   -3.3415e+10
1.8000e+00   -5.3950e-11   -3.3364e+10
1.7000e+00   -5.3890e-11   -3.1546e+10
1.6000e+00   -5.4770e-11   -2.9213e+10
1.5000e+00   -5.4750e-11   -2.7397e+10
1.4000e+00   -5.5720e-11   -2.5126e+10
1.3000e+00   -5.8960e-11   -2.2049e+10
1.2000e+00   -6.0880e-11   -1.9711e+10
1.1000e+00   -5.6770e-11   -1.9376e+10
1.0000e+00   -5.4740e-11   -1.8268e+10
9.0000e-01   -5.8560e-11   -1.5369e+10
8.0000e-01   -5.8660e-11   -1.3638e+10
7.0000e-01   -5.6480e-11   -1.2394e+10
6.0000e-01   -5.6730e-11   -1.0576e+10
5.0000e-01   -5.9150e-11   -8.4531e+09
4.0000e-01   -5.8980e-11   -6.7820e+09
3.0000e-01   -6.0150e-11   -4.9875e+09
2.0000e-01   -5.6200e-11   -3.5587e+09
1.0000e-01   -5.4190e-11   -1.8454e+09
0.0000e+00   -5.7110e-11   -0.0000e+00
0.0000e+00   -1.5900e-11   -0.0000e+00
1.0000e-01   -6.8800e-12   -1.4535e+10
2.0000e-01   -1.5300e-12   -1.3072e+11
3.0000e-01   -6.0000e-14   -5.0000e+12
4.0000e-01   1.2200e-12   3.2787e+11
5.0000e-01   5.8600e-12   8.5324e+10
6.0000e-01   9.0900e-12   6.6007e+10
7.0000e-01   1.2550e-11   5.5777e+10
8.0000e-01   1.1030e-11   7.2529e+10
9.0000e-01   1.4130e-11   6.3694e+10
1.0000e+00   2.0750e-11   4.8193e+10
1.1000e+00   2.4600e-11   4.4715e+10
1.2000e+00   2.8890e-11   4.1537e+10
1.3000e+00   2.7000e-11   4.8148e+10
1.4000e+00   3.4250e-11   4.0876e+10
1.5000e+00   3.7760e-11   3.9725e+10
1.6000e+00   3.7840e-11   4.2283e+10
1.7000e+00   3.6350e-11   4.6768e+10
1.8000e+00   3.6300e-11   4.9587e+10
1.9000e+00   4.1550e-11   4.5728e+10
2.0000e+00   4.7080e-11   4.2481e+10
2.1000e+00   4.7580e-11   4.4136e+10
2.2000e+00   4.8140e-11   4.5700e+10
2.3000e+00   5.0800e-11   4.5276e+10
2.4000e+00   5.3170e-11   4.5138e+10
2.5000e+00   5.5240e-11   4.5257e+10
2.6000e+00   5.3940e-11   4.8202e+10
2.7000e+00   5.3310e-11   5.0647e+10
2.8000e+00   5.9280e-11   4.7233e+10
2.9000e+00   6.1360e-11   4.7262e+10
3.0000e+00   5.8950e-11   5.0891e+10
3.1000e+00   5.7840e-11   5.3596e+10
3.2000e+00   6.0510e-11   5.2884e+10
3.3000e+00   6.3220e-11   5.2199e+10
3.4000e+00   6.1970e-11   5.4865e+10
3.5000e+00   5.9350e-11   5.8972e+10
3.6000e+00   5.7050e-11   6.3103e+10
3.7000e+00   5.8260e-11   6.3508e+10
3.8000e+00   6.4730e-11   5.8705e+10
3.9000e+00   6.3070e-11   6.1836e+10
4.0000e+00   6.1510e-11   6.5030e+10
4.1000e+00   6.6160e-11   6.1971e+10
4.2000e+00   6.8640e-11   6.1189e+10
4.3000e+00   6.8310e-11   6.2948e+10
4.4000e+00   7.0540e-11   6.2376e+10
4.5000e+00   6.8540e-11   6.5655e+10
4.6000e+00   7.4990e-11   6.1342e+10
4.7000e+00   7.5200e-11   6.2500e+10
4.8000e+00   7.1740e-11   6.6908e+10
4.9000e+00   7.2100e-11   6.7961e+10
5.0000e+00   7.5930e-11   6.5850e+10
5.0000e+00   7.1130e-11   7.0294e+10
4.9000e+00   5.6480e-11   8.6756e+10
4.8000e+00   5.0250e-11   9.5522e+10
4.7000e+00   3.8430e-11   1.2230e+11
4.6000e+00   3.0130e-11   1.5267e+11
4.5000e+00   2.0330e-11   2.2135e+11
4.4000e+00   1.7540e-11   2.5086e+11
4.3000e+00   1.6730e-11   2.5702e+11
4.2000e+00   6.7100e-12   6.2593e+11
4.1000e+00   -6.1000e-13   -6.7213e+12
4.0000e+00   8.0000e-13   5.0000e+12
3.9000e+00   -2.7200e-12   -1.4338e+12
3.8000e+00   -9.3100e-12   -4.0816e+11
3.7000e+00   -1.8360e-11   -2.0153e+11
3.6000e+00   -2.1250e-11   -1.6941e+11
3.5000e+00   -2.4630e-11   -1.4210e+11
3.4000e+00   -3.3360e-11   -1.0192e+11
3.3000e+00   -4.0380e-11   -8.1724e+10
3.2000e+00   -4.3170e-11   -7.4126e+10
3.1000e+00   -4.4850e-11   -6.9119e+10
3.0000e+00   -4.9480e-11   -6.0631e+10
2.9000e+00   -5.1030e-11   -5.6829e+10
2.8000e+00   -5.2210e-11   -5.3630e+10
2.7000e+00   -4.8530e-11   -5.5636e+10
2.6000e+00   -5.0110e-11   -5.1886e+10
2.5000e+00   -5.6200e-11   -4.4484e+10
2.4000e+00   -5.4060e-11   -4.4395e+10
2.3000e+00   -5.2020e-11   -4.4214e+10
2.2000e+00   -5.2500e-11   -4.1905e+10
2.1000e+00   -5.4730e-11   -3.8370e+10
2.0000e+00   -5.8870e-11   -3.3973e+10
1.9000e+00   -5.4490e-11   -3.4869e+10
1.8000e+00   -5.5530e-11   -3.2415e+10
1.7000e+00   -5.5970e-11   -3.0373e+10
1.6000e+00   -5.6720e-11   -2.8209e+10
1.5000e+00   -5.4920e-11   -2.7312e+10
1.4000e+00   -5.1880e-11   -2.6985e+10
1.3000e+00   -5.6380e-11   -2.3058e+10
1.2000e+00   -5.9340e-11   -2.0222e+10
1.1000e+00   -5.8360e-11   -1.8849e+10
1.0000e+00   -5.5840e-11   -1.7908e+10
9.0000e-01   -5.9080e-11   -1.5234e+10
8.0000e-01   -6.0620e-11   -1.3197e+10
7.0000e-01   -5.7810e-11   -1.2109e+10
6.0000e-01   -5.4920e-11   -1.0925e+10
