  Measurement Number     Measurement type
                  72                DC IV

      Measurement ID             SeriesID
       739681.627747                    0

         MeasureMode                Bias1                Bias2
                   1                    0                   -5

                Step  Positive compliance  Negative compliance
                 0.2                1e-05                1e-06

  RealMeasuredPoints
                  52

        Bias        Current     Resistance
0.0000e+00   1.2700e-12   0.0000e+00
-2.0000e-01   -6.1952e-10   3.2283e+08
-4.0000e-01   -1.8083e-09   2.2120e+08
-6.0000e-01   -3.8260e-09   1.5682e+08
-8.0000e-01   -2.1402e-07   3.7380e+06
-1.0000e+00   -1.7652e-07   5.6651e+06
-1.2000e+00   -9.9994e-07   1.2001e+06
-1.4000e+00   -1.0000e-06   1.4000e+06
-1.6000e+00   -9.9996e-07   1.6001e+06
-1.8000e+00   -9.9996e-07   1.8001e+06
-2.0000e+00   -9.9994e-07   2.0001e+06
-2.2000e+00   -9.9996e-07   2.2001e+06
-2.4000e+00   -9.9996e-07   2.4001e+06
-2.6000e+00   -1.0000e-06   2.6000e+06
-2.8000e+00   -9.9998e-07   2.8001e+06
-3.0000e+00   -9.9996e-07   3.0001e+06
-3.2000e+00   -9.9996e-07   3.2001e+06
-3.4000e+00   -9.9992e-07   3.4003e+06
-3.6000e+00   -1.0000e-06   3.6000e+06
-3.8000e+00   -1.0000e-06   3.8000e+06
-4.0000e+00   -9.9996e-07   4.0002e+06
-4.2000e+00   -9.9992e-07   4.2003e+06
-4.4000e+00   -9.9998e-07   4.4001e+06
-4.6000e+00   -9.9994e-07   4.6003e+06
-4.8000e+00   -9.9996e-07   4.8002e+06
-5.0000e+00   -9.9996e-07   5.0002e+06
-5.0000e+00   -9.9998e-07   5.0001e+06
-4.8000e+00   -9.9996e-07   4.8002e+06
-4.6000e+00   -9.9994e-07   4.6003e+06
-4.4000e+00   -9.9998e-07   4.4001e+06
-4.2000e+00   -9.9996e-07   4.2002e+06
-4.0000e+00   -9.9996e-07   4.0002e+06
-3.8000e+00   -9.9998e-07   3.8001e+06
-3.6000e+00   -9.9996e-07   3.6001e+06
-3.4000e+00   -9.9996e-07   3.4001e+06
-3.2000e+00   -9.9996e-07   3.2001e+06
-3.0000e+00   -9.9994e-07   3.0002e+06
-2.8000e+00   -9.9996e-07   2.8001e+06
-2.6000e+00   -9.9996e-07   2.6001e+06
-2.4000e+00   -9.9994e-07   2.4001e+06
-2.2000e+00   -9.9992e-07   2.2002e+06
-2.0000e+00   -9.9996e-07   2.0001e+06
-1.8000e+00   -9.9998e-07   1.8000e+06
-1.6000e+00   -9.9998e-07   1.6000e+06
-1.4000e+00   -9.9996e-07   1.4001e+06
-1.2000e+00   -9.9998e-07   1.2000e+06
-1.0000e+00   -9.9994e-07   1.0001e+06
-8.0000e-01   -9.9996e-07   8.0003e+05
-6.0000e-01   -9.9996e-07   6.0002e+05
-4.0000e-01   -9.9994e-07   4.0002e+05
-2.0000e-01   -4.5762e-07   4.3704e+05
0.0000e+00   2.8388e-10   0.0000e+00
