  Measurement Number     Measurement type
                  14                DC IV

      Measurement ID             SeriesID
       739654.739689                    0

         MeasureMode                Bias1                Bias2
                   2                    4                   -4

                Step  Positive compliance  Negative compliance
                 0.2                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   6.3900e-12   0.0000e+00
2.0000e-01   5.8570e-11   3.4147e+09
4.0000e-01   1.4508e-10   2.7571e+09
6.0000e-01   2.8328e-10   2.1180e+09
8.0000e-01   5.4591e-10   1.4654e+09
1.0000e+00   1.0593e-09   9.4402e+08
1.2000e+00   1.4169e-09   8.4692e+08
1.4000e+00   3.0583e-09   4.5777e+08
1.6000e+00   7.2310e-09   2.2127e+08
1.8000e+00   9.6810e-09   1.8593e+08
2.0000e+00   1.9882e-08   1.0059e+08
2.2000e+00   2.2061e-08   9.9723e+07
2.4000e+00   3.1492e-08   7.6209e+07
2.6000e+00   5.0717e-08   5.1265e+07
2.8000e+00   9.0902e-08   3.0803e+07
3.0000e+00   1.7398e-07   1.7243e+07
3.2000e+00   3.7124e-07   8.6198e+06
3.4000e+00   1.0000e-06   3.4000e+06
3.6000e+00   1.0000e-06   3.6000e+06
3.8000e+00   1.0000e-06   3.7999e+06
4.0000e+00   1.0000e-06   4.0000e+06
4.0000e+00   1.0000e-06   4.0000e+06
3.8000e+00   9.9998e-07   3.8001e+06
3.6000e+00   1.0000e-06   3.6000e+06
3.4000e+00   1.0000e-06   3.3999e+06
3.2000e+00   1.0000e-06   3.2000e+06
3.0000e+00   6.5598e-07   4.5733e+06
2.8000e+00   4.1616e-07   6.7282e+06
2.6000e+00   2.7522e-07   9.4470e+06
2.4000e+00   1.8874e-07   1.2716e+07
2.2000e+00   1.2136e-07   1.8128e+07
2.0000e+00   5.9258e-08   3.3751e+07
1.8000e+00   3.0936e-08   5.8184e+07
1.6000e+00   1.4609e-08   1.0952e+08
1.4000e+00   6.9033e-09   2.0280e+08
1.2000e+00   2.4038e-09   4.9921e+08
1.0000e+00   9.8450e-10   1.0157e+09
8.0000e-01   2.2401e-10   3.5713e+09
6.0000e-01   -1.1021e-10   -5.4442e+09
4.0000e-01   -2.1774e-10   -1.8371e+09
2.0000e-01   -2.6910e-10   -7.4322e+08
0.0000e+00   -3.3126e-10   -0.0000e+00
0.0000e+00   -3.0520e-11   -0.0000e+00
-2.0000e-01   -2.0189e-10   9.9064e+08
-4.0000e-01   -3.8424e-10   1.0410e+09
-6.0000e-01   -5.6491e-10   1.0621e+09
-8.0000e-01   -9.7540e-10   8.2018e+08
-1.0000e+00   -1.1892e-09   8.4090e+08
-1.2000e+00   -1.4920e-09   8.0429e+08
-1.4000e+00   -1.7415e-09   8.0390e+08
-1.6000e+00   -4.2504e-09   3.7644e+08
-1.8000e+00   -6.6346e-09   2.7130e+08
-2.0000e+00   -1.2139e-08   1.6476e+08
-2.2000e+00   -2.1969e-08   1.0014e+08
-2.4000e+00   -4.3853e-08   5.4728e+07
-2.6000e+00   -7.5908e-08   3.4252e+07
-2.8000e+00   -1.2352e-07   2.2668e+07
-3.0000e+00   -2.1592e-07   1.3894e+07
-3.2000e+00   -2.5566e-07   1.2517e+07
-3.4000e+00   -6.8436e-07   4.9681e+06
-3.6000e+00   -9.9998e-07   3.6001e+06
-3.8000e+00   -1.0000e-06   3.8000e+06
-4.0000e+00   -1.0000e-06   4.0000e+06
-4.0000e+00   -9.9990e-07   4.0004e+06
-3.8000e+00   -9.9998e-07   3.8001e+06
-3.6000e+00   -1.0000e-06   3.6000e+06
-3.4000e+00   -1.0000e-06   3.3999e+06
-3.2000e+00   -9.9998e-07   3.2001e+06
-3.0000e+00   -9.9998e-07   3.0001e+06
-2.8000e+00   -9.9998e-07   2.8001e+06
-2.6000e+00   -7.0046e-07   3.7118e+06
-2.4000e+00   -4.6930e-07   5.1140e+06
-2.2000e+00   -4.6240e-07   4.7578e+06
-2.0000e+00   -2.8390e-07   7.0447e+06
-1.8000e+00   -1.7634e-07   1.0208e+07
-1.6000e+00   -9.0293e-08   1.7720e+07
-1.4000e+00   -4.8568e-08   2.8826e+07
-1.2000e+00   -2.3680e-08   5.0676e+07
-1.0000e+00   -1.1294e-08   8.8544e+07
-8.0000e-01   -5.5427e-09   1.4433e+08
-6.0000e-01   -9.9630e-10   6.0223e+08
-4.0000e-01   -2.1460e-11   1.8639e+10
-2.0000e-01   1.8382e-10   -1.0880e+09
0.0000e+00   2.3109e-10   0.0000e+00
