  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739654.737370                    0

         MeasureMode                Bias1                Bias2
                   2                    3                   -3

                Step  Positive compliance  Negative compliance
                 0.1                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   7.6000e-12   0.0000e+00
1.0000e-01   2.1060e-11   4.7483e+09
2.0000e-01   4.3250e-11   4.6243e+09
3.0000e-01   6.9130e-11   4.3396e+09
4.0000e-01   1.0978e-10   3.6437e+09
5.0000e-01   1.3441e-10   3.7200e+09
6.0000e-01   1.6551e-10   3.6252e+09
7.0000e-01   2.0712e-10   3.3797e+09
8.0000e-01   2.7233e-10   2.9376e+09
9.0000e-01   3.4660e-10   2.5967e+09
1.0000e+00   4.2652e-10   2.3446e+09
1.1000e+00   5.5397e-10   1.9857e+09
1.2000e+00   7.1734e-10   1.6728e+09
1.3000e+00   1.0130e-09   1.2833e+09
1.4000e+00   1.2444e-09   1.1250e+09
1.5000e+00   1.6628e-09   9.0209e+08
1.6000e+00   2.1940e-09   7.2926e+08
1.7000e+00   2.9426e-09   5.7772e+08
1.8000e+00   4.0417e-09   4.4536e+08
1.9000e+00   5.1424e-09   3.6948e+08
2.0000e+00   6.6832e-09   2.9926e+08
2.1000e+00   8.8513e-09   2.3725e+08
2.2000e+00   1.2216e-08   1.8009e+08
2.3000e+00   1.7581e-08   1.3082e+08
2.4000e+00   2.3527e-08   1.0201e+08
2.5000e+00   3.0712e-08   8.1400e+07
2.6000e+00   3.5856e-08   7.2513e+07
2.7000e+00   4.5470e-08   5.9380e+07
2.8000e+00   5.9348e-08   4.7179e+07
2.9000e+00   7.7565e-08   3.7388e+07
3.0000e+00   1.0001e-07   2.9997e+07
3.0000e+00   9.8023e-08   3.0605e+07
2.9000e+00   7.7751e-08   3.7299e+07
2.8000e+00   6.0338e-08   4.6405e+07
2.7000e+00   4.6707e-08   5.7807e+07
2.6000e+00   3.6219e-08   7.1785e+07
2.5000e+00   2.7698e-08   9.0259e+07
2.4000e+00   2.1218e-08   1.1311e+08
2.3000e+00   1.6163e-08   1.4230e+08
2.2000e+00   1.2169e-08   1.8078e+08
2.1000e+00   9.0532e-09   2.3196e+08
2.0000e+00   6.8243e-09   2.9307e+08
1.9000e+00   4.9627e-09   3.8286e+08
1.8000e+00   3.5643e-09   5.0501e+08
1.7000e+00   2.5560e-09   6.6510e+08
1.6000e+00   1.8490e-09   8.6533e+08
1.5000e+00   1.2379e-09   1.2117e+09
1.4000e+00   7.8925e-10   1.7738e+09
1.3000e+00   5.4094e-10   2.4032e+09
1.2000e+00   3.9399e-10   3.0458e+09
1.1000e+00   2.0747e-10   5.3020e+09
1.0000e+00   9.2650e-11   1.0793e+10
9.0000e-01   3.9770e-11   2.2630e+10
8.0000e-01   -1.2660e-11   -6.3191e+10
7.0000e-01   -5.9600e-11   -1.1745e+10
6.0000e-01   -7.5940e-11   -7.9010e+09
5.0000e-01   -7.9960e-11   -6.2531e+09
4.0000e-01   -9.0480e-11   -4.4209e+09
3.0000e-01   -1.1485e-10   -2.6121e+09
2.0000e-01   -1.3351e-10   -1.4980e+09
1.0000e-01   -1.3884e-10   -7.2025e+08
0.0000e+00   -1.6438e-10   -0.0000e+00
0.0000e+00   -2.3170e-11   -0.0000e+00
-1.0000e-01   -9.2260e-11   1.0839e+09
-2.0000e-01   -1.6065e-10   1.2449e+09
-3.0000e-01   -2.1354e-10   1.4049e+09
-4.0000e-01   -2.6304e-10   1.5207e+09
-5.0000e-01   -3.4194e-10   1.4622e+09
-6.0000e-01   -4.0288e-10   1.4893e+09
-7.0000e-01   -4.4701e-10   1.5660e+09
-8.0000e-01   -4.9087e-10   1.6298e+09
-9.0000e-01   -4.9829e-10   1.8062e+09
-1.0000e+00   -4.7666e-10   2.0979e+09
-1.1000e+00   -4.8620e-10   2.2624e+09
-1.2000e+00   -5.2322e-10   2.2935e+09
-1.3000e+00   -6.6057e-10   1.9680e+09
-1.4000e+00   -1.0006e-09   1.3992e+09
-1.5000e+00   -1.1866e-09   1.2641e+09
-1.6000e+00   -1.4292e-09   1.1195e+09
-1.7000e+00   -1.9450e-09   8.7404e+08
-1.8000e+00   -2.6302e-09   6.8436e+08
-1.9000e+00   -3.6712e-09   5.1754e+08
-2.0000e+00   -4.9002e-09   4.0815e+08
-2.1000e+00   -6.4484e-09   3.2566e+08
-2.2000e+00   -8.3204e-09   2.6441e+08
-2.3000e+00   -1.0955e-08   2.0996e+08
-2.4000e+00   -1.6271e-08   1.4750e+08
-2.5000e+00   -2.2063e-08   1.1331e+08
-2.6000e+00   -2.8938e-08   8.9847e+07
-2.7000e+00   -3.8488e-08   7.0151e+07
-2.8000e+00   -4.7241e-08   5.9270e+07
