  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739654.729995                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                 0.1                1e-05                1e-05

  RealMeasuredPoints
                  44

        Bias        Current     Resistance
0.0000e+00   1.2700e-12   0.0000e+00
1.0000e-01   2.8310e-11   3.5323e+09
2.0000e-01   9.1560e-11   2.1844e+09
3.0000e-01   2.4435e-10   1.2277e+09
4.0000e-01   5.7339e-10   6.9761e+08
5.0000e-01   1.2764e-09   3.9173e+08
6.0000e-01   2.5879e-09   2.3185e+08
7.0000e-01   4.9555e-09   1.4126e+08
8.0000e-01   8.9650e-09   8.9236e+07
9.0000e-01   1.5739e-08   5.7184e+07
1.0000e+00   2.6531e-08   3.7691e+07
1.0000e+00   2.6548e-08   3.7668e+07
9.0000e-01   1.5886e-08   5.6653e+07
8.0000e-01   9.0839e-09   8.8068e+07
7.0000e-01   4.9962e-09   1.4011e+08
6.0000e-01   2.6026e-09   2.3054e+08
5.0000e-01   1.2876e-09   3.8832e+08
4.0000e-01   5.7864e-10   6.9128e+08
3.0000e-01   2.4011e-10   1.2494e+09
2.0000e-01   8.4600e-11   2.3641e+09
1.0000e-01   1.8130e-11   5.5157e+09
0.0000e+00   -6.4200e-12   -0.0000e+00
0.0000e+00   -7.0000e-13   -0.0000e+00
-1.0000e-01   -2.7560e-11   3.6284e+09
-2.0000e-01   -9.3980e-11   2.1281e+09
-3.0000e-01   -2.2850e-10   1.3129e+09
-4.0000e-01   -4.9112e-10   8.1446e+08
-5.0000e-01   -9.7736e-10   5.1158e+08
-6.0000e-01   -1.7968e-09   3.3393e+08
-7.0000e-01   -3.1887e-09   2.1953e+08
-8.0000e-01   -5.4949e-09   1.4559e+08
-9.0000e-01   -9.1375e-09   9.8495e+07
-1.0000e+00   -1.4914e-08   6.7050e+07
-1.0000e+00   -1.4940e-08   6.6936e+07
-9.0000e-01   -9.0700e-09   9.9228e+07
-8.0000e-01   -5.3584e-09   1.4930e+08
-7.0000e-01   -3.1468e-09   2.2245e+08
-6.0000e-01   -1.7030e-09   3.5232e+08
-5.0000e-01   -9.0906e-10   5.5002e+08
-4.0000e-01   -4.4918e-10   8.9051e+08
-3.0000e-01   -2.0667e-10   1.4516e+09
-2.0000e-01   -7.2030e-11   2.7766e+09
-1.0000e-01   -1.6810e-11   5.9488e+09
0.0000e+00   9.0400e-12   0.0000e+00
