  Measurement Number     Measurement type
                  16                DC IV

      Measurement ID             SeriesID
       739654.729259                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                 0.1                0.001                0.001

  RealMeasuredPoints
                  44

        Bias        Current     Resistance
0.0000e+00   1.0336e-06   0.0000e+00
1.0000e-01   2.9462e-05   3.3942e+03
2.0000e-01   5.8766e-05   3.4033e+03
3.0000e-01   8.9218e-05   3.3626e+03
4.0000e-01   1.2052e-04   3.3190e+03
5.0000e-01   1.5332e-04   3.2612e+03
6.0000e-01   1.8620e-04   3.2223e+03
7.0000e-01   2.2062e-04   3.1729e+03
8.0000e-01   2.5512e-04   3.1358e+03
9.0000e-01   3.0298e-04   2.9705e+03
1.0000e+00   3.6888e-04   2.7109e+03
1.0000e+00   3.8400e-04   2.6042e+03
9.0000e-01   3.5172e-04   2.5589e+03
8.0000e-01   3.0844e-04   2.5937e+03
7.0000e-01   2.6554e-04   2.6361e+03
6.0000e-01   2.2508e-04   2.6657e+03
5.0000e-01   1.8476e-04   2.7062e+03
4.0000e-01   1.4574e-04   2.7446e+03
3.0000e-01   1.0774e-04   2.7845e+03
2.0000e-01   7.0996e-05   2.8171e+03
1.0000e-01   3.5656e-05   2.8046e+03
0.0000e+00   1.2550e-06   0.0000e+00
0.0000e+00   1.2430e-06   0.0000e+00
-1.0000e-01   -3.3110e-05   3.0202e+03
-2.0000e-01   -6.8458e-05   2.9215e+03
-3.0000e-01   -1.0523e-04   2.8509e+03
-4.0000e-01   -1.4308e-04   2.7956e+03
-5.0000e-01   -1.8208e-04   2.7460e+03
-6.0000e-01   -2.2168e-04   2.7066e+03
-7.0000e-01   -2.6342e-04   2.6574e+03
-8.0000e-01   -3.0340e-04   2.6368e+03
-9.0000e-01   -3.4414e-04   2.6152e+03
-1.0000e+00   -3.7938e-04   2.6359e+03
-1.0000e+00   -3.7128e-04   2.6934e+03
-9.0000e-01   -3.3118e-04   2.7176e+03
-8.0000e-01   -2.9512e-04   2.7108e+03
-7.0000e-01   -2.5538e-04   2.7410e+03
-6.0000e-01   -2.1606e-04   2.7770e+03
-5.0000e-01   -1.7692e-04   2.8261e+03
-4.0000e-01   -1.3890e-04   2.8798e+03
-3.0000e-01   -1.0188e-04   2.9446e+03
-2.0000e-01   -6.6328e-05   3.0153e+03
-1.0000e-01   -3.2084e-05   3.1168e+03
0.0000e+00   1.2154e-06   0.0000e+00
