  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739654.723266                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   4.1700e-12   0.0000e+00
5.0000e-02   3.3670e-11   1.4850e+09
1.0000e-01   6.8900e-11   1.4514e+09
1.5000e-01   1.4199e-10   1.0564e+09
2.0000e-01   2.6112e-10   7.6593e+08
2.5000e-01   4.2805e-10   5.8404e+08
3.0000e-01   6.7687e-10   4.4322e+08
3.5000e-01   1.0538e-09   3.3213e+08
4.0000e-01   1.6089e-09   2.4862e+08
4.5000e-01   2.3913e-09   1.8818e+08
5.0000e-01   3.4753e-09   1.4387e+08
5.5000e-01   4.9929e-09   1.1016e+08
6.0000e-01   7.0545e-09   8.5052e+07
6.5000e-01   9.8260e-09   6.6151e+07
7.0000e-01   1.3531e-08   5.1735e+07
7.5000e-01   1.8440e-08   4.0673e+07
8.0000e-01   2.4788e-08   3.2273e+07
8.5000e-01   3.3023e-08   2.5739e+07
9.0000e-01   4.3581e-08   2.0651e+07
9.5000e-01   5.6915e-08   1.6692e+07
1.0000e+00   7.3583e-08   1.3590e+07
1.0000e+00   7.3506e-08   1.3604e+07
9.5000e-01   5.6593e-08   1.6786e+07
9.0000e-01   4.3390e-08   2.0742e+07
8.5000e-01   3.2891e-08   2.5843e+07
8.0000e-01   2.4702e-08   3.2387e+07
7.5000e-01   1.8356e-08   4.0859e+07
7.0000e-01   1.3488e-08   5.1896e+07
6.5000e-01   9.8094e-09   6.6263e+07
6.0000e-01   7.0226e-09   8.5438e+07
5.5000e-01   4.9827e-09   1.1038e+08
5.0000e-01   3.4694e-09   1.4412e+08
4.5000e-01   2.3774e-09   1.8928e+08
4.0000e-01   1.5815e-09   2.5292e+08
3.5000e-01   1.0323e-09   3.3905e+08
3.0000e-01   6.5501e-10   4.5801e+08
2.5000e-01   3.9417e-10   6.3424e+08
2.0000e-01   2.3540e-10   8.4962e+08
1.5000e-01   1.2555e-10   1.1947e+09
1.0000e-01   5.5330e-11   1.8073e+09
5.0000e-02   9.6400e-12   5.1867e+09
0.0000e+00   -1.3160e-11   -0.0000e+00
0.0000e+00   2.1400e-12   0.0000e+00
-5.0000e-02   -3.3070e-11   1.5119e+09
-1.0000e-01   -8.0400e-11   1.2438e+09
-1.5000e-01   -1.3441e-10   1.1160e+09
-2.0000e-01   -2.1743e-10   9.1984e+08
-2.5000e-01   -3.6009e-10   6.9427e+08
-3.0000e-01   -5.6656e-10   5.2951e+08
-3.5000e-01   -8.4191e-10   4.1572e+08
-4.0000e-01   -1.2390e-09   3.2284e+08
-4.5000e-01   -1.7746e-09   2.5358e+08
-5.0000e-01   -2.5170e-09   1.9865e+08
-5.5000e-01   -3.4873e-09   1.5772e+08
-6.0000e-01   -4.7892e-09   1.2528e+08
-6.5000e-01   -6.4825e-09   1.0027e+08
-7.0000e-01   -8.7053e-09   8.0411e+07
-7.5000e-01   -1.1617e-08   6.4559e+07
-8.0000e-01   -1.5389e-08   5.1986e+07
-8.5000e-01   -2.0075e-08   4.2342e+07
-9.0000e-01   -2.6001e-08   3.4614e+07
-9.5000e-01   -3.3344e-08   2.8491e+07
-1.0000e+00   -4.2391e-08   2.3590e+07
-1.0000e+00   -4.2133e-08   2.3734e+07
-9.5000e-01   -3.2747e-08   2.9010e+07
-9.0000e-01   -2.5304e-08   3.5568e+07
-8.5000e-01   -1.9496e-08   4.3600e+07
-8.0000e-01   -1.4896e-08   5.3707e+07
-7.5000e-01   -1.1261e-08   6.6604e+07
-7.0000e-01   -8.5182e-09   8.2177e+07
-6.5000e-01   -6.3373e-09   1.0257e+08
-6.0000e-01   -4.6552e-09   1.2889e+08
-5.5000e-01   -3.3655e-09   1.6342e+08
-5.0000e-01   -2.4028e-09   2.0809e+08
-4.5000e-01   -1.6898e-09   2.6630e+08
-4.0000e-01   -1.1536e-09   3.4674e+08
-3.5000e-01   -7.6679e-10   4.5645e+08
-3.0000e-01   -5.0377e-10   5.9551e+08
-2.5000e-01   -3.2152e-10   7.7756e+08
-2.0000e-01   -1.8907e-10   1.0578e+09
-1.5000e-01   -9.8130e-11   1.5286e+09
-1.0000e-01   -3.4020e-11   2.9394e+09
-5.0000e-02   -7.9800e-12   6.2657e+09
0.0000e+00   1.7160e-11   0.0000e+00
