  Measurement Number     Measurement type
                  11                DC IV

      Measurement ID             SeriesID
       739665.532053                   64

         MeasureMode                Bias1                Bias2
                   2                    4                   -4

                Step  Positive compliance  Negative compliance
                 0.2                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   3.1500e-11   0.0000e+00
2.0000e-01   1.1498e-10   1.7394e+09
4.0000e-01   2.4884e-10   1.6075e+09
6.0000e-01   2.7055e-10   2.2177e+09
8.0000e-01   5.4776e-10   1.4605e+09
1.0000e+00   5.9880e-10   1.6700e+09
1.2000e+00   5.4798e-10   2.1899e+09
1.4000e+00   9.6181e-10   1.4556e+09
1.6000e+00   7.8948e-10   2.0267e+09
1.8000e+00   9.8750e-10   1.8228e+09
2.0000e+00   1.3180e-09   1.5175e+09
2.2000e+00   1.5615e-09   1.4089e+09
2.4000e+00   1.7789e-09   1.3491e+09
2.6000e+00   1.5019e-09   1.7311e+09
2.8000e+00   1.9001e-09   1.4736e+09
3.0000e+00   2.3415e-09   1.2812e+09
3.2000e+00   2.7990e-09   1.1433e+09
3.4000e+00   4.2904e-09   7.9247e+08
3.6000e+00   4.7252e-09   7.6187e+08
3.8000e+00   1.4736e-08   2.5786e+08
4.0000e+00   1.6256e-08   2.4606e+08
4.0000e+00   1.2984e-08   3.0807e+08
3.8000e+00   1.4186e-08   2.6788e+08
3.6000e+00   5.3459e-09   6.7341e+08
3.4000e+00   6.6974e-09   5.0766e+08
3.2000e+00   4.6555e-09   6.8736e+08
3.0000e+00   2.7853e-09   1.0771e+09
2.8000e+00   2.4419e-09   1.1466e+09
2.6000e+00   2.0277e-09   1.2822e+09
2.4000e+00   1.6096e-09   1.4911e+09
2.2000e+00   1.1122e-09   1.9781e+09
2.0000e+00   9.5270e-10   2.0993e+09
1.8000e+00   7.2385e-10   2.4867e+09
1.6000e+00   3.7503e-10   4.2663e+09
1.4000e+00   2.5549e-10   5.4797e+09
1.2000e+00   1.0356e-10   1.1587e+10
1.0000e+00   9.4000e-13   1.0638e+12
8.0000e-01   -9.9550e-11   -8.0362e+09
6.0000e-01   -1.8188e-10   -3.2989e+09
4.0000e-01   -2.5922e-10   -1.5431e+09
2.0000e-01   -3.8735e-10   -5.1633e+08
0.0000e+00   -5.8261e-10   -0.0000e+00
0.0000e+00   -6.1600e-11   -0.0000e+00
-2.0000e-01   -2.0390e-10   9.8087e+08
-4.0000e-01   -4.0549e-10   9.8646e+08
-6.0000e-01   -5.3803e-10   1.1152e+09
-8.0000e-01   -5.6102e-10   1.4260e+09
-1.0000e+00   -6.4167e-10   1.5584e+09
-1.2000e+00   -7.5821e-10   1.5827e+09
-1.4000e+00   -8.3150e-10   1.6837e+09
-1.6000e+00   -8.5938e-10   1.8618e+09
-1.8000e+00   -1.2038e-09   1.4953e+09
-2.0000e+00   -1.3619e-09   1.4685e+09
-2.2000e+00   -1.1796e-09   1.8650e+09
-2.4000e+00   -1.3129e-09   1.8280e+09
-2.6000e+00   -1.4082e-09   1.8463e+09
-2.8000e+00   -1.7010e-09   1.6461e+09
-3.0000e+00   -1.8263e-09   1.6427e+09
-3.2000e+00   -3.6080e-09   8.8692e+08
-3.4000e+00   -5.0167e-09   6.7774e+08
-3.6000e+00   -2.8098e-09   1.2812e+09
-3.8000e+00   -4.0803e-09   9.3130e+08
-4.0000e+00   -4.0416e-09   9.8971e+08
-4.0000e+00   -3.2269e-09   1.2396e+09
-3.8000e+00   -3.4338e-09   1.1066e+09
-3.6000e+00   -2.8022e-09   1.2847e+09
-3.4000e+00   -2.5394e-09   1.3389e+09
-3.2000e+00   -1.7650e-09   1.8130e+09
-3.0000e+00   -1.4713e-09   2.0390e+09
-2.8000e+00   -9.9070e-10   2.8263e+09
-2.6000e+00   -7.4702e-10   3.4805e+09
-2.4000e+00   -4.9875e-10   4.8120e+09
-2.2000e+00   -2.6964e-10   8.1590e+09
-2.0000e+00   -1.7490e-10   1.1435e+10
-1.8000e+00   -2.8140e-11   6.3966e+10
-1.6000e+00   1.4800e-12   -1.0811e+12
-1.4000e+00   2.6010e-11   -5.3825e+10
-1.2000e+00   6.5800e-11   -1.8237e+10
-1.0000e+00   2.7072e-10   -3.6939e+09
-8.0000e-01   1.9409e-10   -4.1218e+09
-6.0000e-01   3.4852e-10   -1.7216e+09
-4.0000e-01   4.0307e-10   -9.9238e+08
-2.0000e-01   4.9890e-10   -4.0088e+08
0.0000e+00   6.7795e-10   0.0000e+00
