  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739665.537110                    0

         MeasureMode                Bias1                Bias2
                   2                    4                   -4

                Step  Positive compliance  Negative compliance
                 0.2                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -7.8000e-13   -0.0000e+00
2.0000e-01   2.3800e-12   8.4034e+10
4.0000e-01   4.3500e-12   9.1954e+10
6.0000e-01   2.5100e-12   2.3904e+11
8.0000e-01   1.1100e-12   7.2072e+11
1.0000e+00   1.4900e-12   6.7114e+11
1.2000e+00   1.1200e-12   1.0714e+12
1.4000e+00   2.7100e-12   5.1661e+11
1.6000e+00   4.0300e-12   3.9702e+11
1.8000e+00   3.8500e-12   4.6753e+11
2.0000e+00   4.6600e-12   4.2918e+11
2.2000e+00   5.1700e-12   4.2553e+11
2.4000e+00   2.9800e-12   8.0537e+11
2.6000e+00   4.4800e-12   5.8036e+11
2.8000e+00   1.0390e-11   2.6949e+11
3.0000e+00   1.7070e-11   1.7575e+11
3.2000e+00   2.7010e-11   1.1847e+11
3.4000e+00   3.4080e-11   9.9765e+10
3.6000e+00   2.5900e-11   1.3900e+11
3.8000e+00   4.8730e-11   7.7981e+10
4.0000e+00   3.5150e-11   1.1380e+11
4.0000e+00   6.2290e-11   6.4216e+10
3.8000e+00   1.0300e-11   3.6893e+11
3.6000e+00   3.4800e-12   1.0345e+12
3.4000e+00   9.0000e-14   3.7778e+13
3.2000e+00   -1.3100e-12   -2.4427e+12
3.0000e+00   -2.1200e-12   -1.4151e+12
2.8000e+00   -1.6400e-12   -1.7073e+12
2.6000e+00   -2.3800e-12   -1.0924e+12
2.4000e+00   -2.9400e-12   -8.1633e+11
2.2000e+00   -1.9400e-12   -1.1340e+12
2.0000e+00   -2.9300e-12   -6.8259e+11
1.8000e+00   -4.5500e-12   -3.9560e+11
1.6000e+00   -3.5200e-12   -4.5455e+11
1.4000e+00   -4.9600e-12   -2.8226e+11
1.2000e+00   -2.3700e-12   -5.0633e+11
1.0000e+00   -1.9800e-12   -5.0505e+11
8.0000e-01   -3.1900e-12   -2.5078e+11
6.0000e-01   -1.7900e-12   -3.3520e+11
4.0000e-01   -4.0200e-12   -9.9502e+10
2.0000e-01   -6.1200e-12   -3.2680e+10
0.0000e+00   -3.6900e-12   -0.0000e+00
0.0000e+00   9.9000e-13   0.0000e+00
-2.0000e-01   -3.0600e-12   6.5359e+10
-4.0000e-01   -4.7000e-12   8.5106e+10
-6.0000e-01   -6.1500e-12   9.7561e+10
-8.0000e-01   -5.1600e-12   1.5504e+11
-1.0000e+00   -5.4400e-12   1.8382e+11
-1.2000e+00   -6.3200e-12   1.8987e+11
-1.4000e+00   -1.7700e-12   7.9096e+11
-1.6000e+00   -2.1200e-12   7.5472e+11
-1.8000e+00   -4.5100e-12   3.9911e+11
-2.0000e+00   -7.4200e-12   2.6954e+11
-2.2000e+00   -7.2600e-12   3.0303e+11
-2.4000e+00   -1.1660e-11   2.0583e+11
-2.6000e+00   -1.5640e-11   1.6624e+11
-2.8000e+00   -1.0740e-11   2.6071e+11
-3.0000e+00   -1.3080e-11   2.2936e+11
-3.2000e+00   -1.5800e-11   2.0253e+11
-3.4000e+00   -2.4260e-11   1.4015e+11
-3.6000e+00   -5.2390e-11   6.8715e+10
-3.8000e+00   -2.5010e-11   1.5194e+11
-4.0000e+00   -1.0157e-10   3.9382e+10
-4.0000e+00   -6.4800e-11   6.1728e+10
-3.8000e+00   -1.3820e-11   2.7496e+11
-3.6000e+00   -6.2700e-12   5.7416e+11
-3.4000e+00   -9.2600e-12   3.6717e+11
-3.2000e+00   -3.1900e-12   1.0031e+12
-3.0000e+00   -3.0900e-12   9.7087e+11
-2.8000e+00   -2.3500e-12   1.1915e+12
-2.6000e+00   0.0000e+00   -Inf
-2.4000e+00   -2.5200e-12   9.5238e+11
-2.2000e+00   -2.4000e-13   9.1667e+12
-2.0000e+00   1.9100e-12   -1.0471e+12
-1.8000e+00   4.4800e-12   -4.0179e+11
-1.6000e+00   2.8700e-12   -5.5749e+11
-1.4000e+00   3.5100e-12   -3.9886e+11
-1.2000e+00   5.7800e-12   -2.0761e+11
-1.0000e+00   4.5600e-12   -2.1930e+11
-8.0000e-01   4.4000e-12   -1.8182e+11
-6.0000e-01   2.6100e-12   -2.2989e+11
-4.0000e-01   2.2800e-12   -1.7544e+11
-2.0000e-01   2.3600e-12   -8.4746e+10
0.0000e+00   4.6900e-12   0.0000e+00
