  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739665.533866                   10

         MeasureMode                Bias1                Bias2
                   2                    4                   -4

                Step  Positive compliance  Negative compliance
                 0.2                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   8.9600e-12   0.0000e+00
2.0000e-01   9.2260e-11   2.1678e+09
4.0000e-01   1.6135e-10   2.4791e+09
6.0000e-01   2.3088e-10   2.5988e+09
8.0000e-01   2.9961e-10   2.6701e+09
1.0000e+00   3.6295e-10   2.7552e+09
1.2000e+00   5.0768e-10   2.3637e+09
1.4000e+00   6.3433e-10   2.2071e+09
1.6000e+00   9.9900e-10   1.6016e+09
1.8000e+00   1.5809e-09   1.1386e+09
2.0000e+00   3.8817e-09   5.1524e+08
2.2000e+00   9.8874e-09   2.2251e+08
2.4000e+00   1.3575e-08   1.7680e+08
2.6000e+00   1.9028e-08   1.3664e+08
2.8000e+00   2.3740e-08   1.1794e+08
3.0000e+00   3.6147e-08   8.2994e+07
3.2000e+00   3.4602e-08   9.2479e+07
3.4000e+00   4.8383e-08   7.0273e+07
3.6000e+00   1.4992e-07   2.4013e+07
3.8000e+00   3.2374e-07   1.1738e+07
4.0000e+00   2.1854e-07   1.8303e+07
4.0000e+00   2.1116e-07   1.8943e+07
3.8000e+00   1.7886e-07   2.1246e+07
3.6000e+00   1.5318e-07   2.3502e+07
3.4000e+00   1.3398e-07   2.5377e+07
3.2000e+00   1.2622e-07   2.5353e+07
3.0000e+00   7.1350e-08   4.2046e+07
2.8000e+00   7.2049e-08   3.8863e+07
2.6000e+00   4.3451e-08   5.9838e+07
2.4000e+00   3.9419e-08   6.0884e+07
2.2000e+00   3.1009e-08   7.0947e+07
2.0000e+00   2.4826e-08   8.0559e+07
1.8000e+00   1.5375e-08   1.1708e+08
1.6000e+00   1.0493e-08   1.5248e+08
1.4000e+00   7.5525e-09   1.8537e+08
1.2000e+00   6.8726e-09   1.7461e+08
1.0000e+00   2.9018e-09   3.4461e+08
8.0000e-01   1.7634e-09   4.5367e+08
6.0000e-01   4.2037e-10   1.4273e+09
4.0000e-01   2.5487e-10   1.5694e+09
2.0000e-01   -9.7920e-11   -2.0425e+09
0.0000e+00   -1.4625e-10   -0.0000e+00
0.0000e+00   -1.0350e-11   -0.0000e+00
-2.0000e-01   -1.1520e-10   1.7361e+09
-4.0000e-01   -1.9985e-10   2.0015e+09
-6.0000e-01   -4.4424e-10   1.3506e+09
-8.0000e-01   -8.1090e-10   9.8656e+08
-1.0000e+00   -1.0491e-09   9.5320e+08
-1.2000e+00   -1.8057e-09   6.6456e+08
-1.4000e+00   -4.5545e-10   3.0739e+09
-1.6000e+00   -5.9695e-10   2.6803e+09
-1.8000e+00   -1.0676e-09   1.6860e+09
-2.0000e+00   -1.4464e-09   1.3827e+09
-2.2000e+00   -1.9955e-09   1.1025e+09
-2.4000e+00   -2.9811e-09   8.0507e+08
-2.6000e+00   -4.4465e-09   5.8473e+08
-2.8000e+00   -5.6321e-09   4.9715e+08
-3.0000e+00   -7.8765e-09   3.8088e+08
-3.2000e+00   -1.0839e-08   2.9522e+08
-3.4000e+00   -1.5160e-08   2.2428e+08
-3.6000e+00   -2.0394e-08   1.7652e+08
-3.8000e+00   -2.5212e-08   1.5072e+08
-4.0000e+00   -3.0412e-08   1.3153e+08
-4.0000e+00   -3.0118e-08   1.3281e+08
-3.8000e+00   -2.4114e-08   1.5758e+08
-3.6000e+00   -1.9013e-08   1.8935e+08
-3.4000e+00   -1.4553e-08   2.3364e+08
-3.2000e+00   -1.0288e-08   3.1105e+08
-3.0000e+00   -7.5228e-09   3.9879e+08
-2.8000e+00   -5.2144e-09   5.3697e+08
-2.6000e+00   -3.3845e-09   7.6821e+08
-2.4000e+00   -2.0611e-09   1.1644e+09
-2.2000e+00   -1.1437e-09   1.9236e+09
-2.0000e+00   -6.6553e-10   3.0051e+09
-1.8000e+00   -2.8386e-10   6.3412e+09
-1.6000e+00   -9.6470e-11   1.6585e+10
-1.4000e+00   1.1500e-12   -1.2174e+12
-1.2000e+00   5.6870e-11   -2.1101e+10
-1.0000e+00   8.8970e-11   -1.1240e+10
-8.0000e-01   1.0641e-10   -7.5181e+09
-6.0000e-01   1.2734e-10   -4.7118e+09
-4.0000e-01   1.4230e-10   -2.8110e+09
-2.0000e-01   1.7325e-10   -1.1544e+09
0.0000e+00   1.8107e-10   0.0000e+00
