  Measurement Number     Measurement type
                  11                DC IV

      Measurement ID             SeriesID
       739665.541872                   98

         MeasureMode                Bias1                Bias2
                   2                    4                   -4

                Step  Positive compliance  Negative compliance
                 0.2                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.3280e-11   0.0000e+00
2.0000e-01   1.8507e-10   1.0807e+09
4.0000e-01   3.2940e-10   1.2143e+09
6.0000e-01   4.4480e-10   1.3489e+09
8.0000e-01   7.9790e-10   1.0026e+09
1.0000e+00   5.7153e-10   1.7497e+09
1.2000e+00   1.1532e-09   1.0406e+09
1.4000e+00   1.3161e-09   1.0637e+09
1.6000e+00   1.8503e-09   8.6472e+08
1.8000e+00   2.8505e-09   6.3147e+08
2.0000e+00   4.4238e-09   4.5210e+08
2.2000e+00   6.9149e-09   3.1815e+08
2.4000e+00   1.0043e-08   2.3897e+08
2.6000e+00   1.4275e-08   1.8214e+08
2.8000e+00   1.8671e-08   1.4997e+08
3.0000e+00   2.3823e-08   1.2593e+08
3.2000e+00   2.9645e-08   1.0795e+08
3.4000e+00   3.4803e-08   9.7694e+07
3.6000e+00   4.2652e-08   8.4404e+07
3.8000e+00   4.7772e-08   7.9544e+07
4.0000e+00   5.8750e-08   6.8085e+07
4.0000e+00   5.5755e-08   7.1742e+07
3.8000e+00   5.1565e-08   7.3693e+07
3.6000e+00   4.2233e-08   8.5241e+07
3.4000e+00   3.8841e-08   8.7537e+07
3.2000e+00   3.0010e-08   1.0663e+08
3.0000e+00   2.6942e-08   1.1135e+08
2.8000e+00   2.0506e-08   1.3654e+08
2.6000e+00   1.6439e-08   1.5816e+08
2.4000e+00   1.2070e-08   1.9884e+08
2.2000e+00   9.8664e-09   2.2298e+08
2.0000e+00   6.8168e-09   2.9339e+08
1.8000e+00   4.5976e-09   3.9151e+08
1.6000e+00   2.7459e-09   5.8269e+08
1.4000e+00   1.5304e-09   9.1479e+08
1.2000e+00   7.5241e-10   1.5949e+09
1.0000e+00   2.9913e-10   3.3430e+09
8.0000e-01   4.2650e-11   1.8757e+10
6.0000e-01   -1.2677e-10   -4.7330e+09
4.0000e-01   -2.5011e-10   -1.5993e+09
2.0000e-01   -2.9861e-10   -6.6977e+08
0.0000e+00   -3.4387e-10   -0.0000e+00
0.0000e+00   -2.0480e-11   -0.0000e+00
-2.0000e-01   -2.3669e-10   8.4499e+08
-4.0000e-01   -3.7776e-10   1.0589e+09
-6.0000e-01   -4.0906e-10   1.4668e+09
-8.0000e-01   -7.6680e-10   1.0433e+09
-1.0000e+00   -8.8130e-10   1.1347e+09
-1.2000e+00   -1.0598e-09   1.1323e+09
-1.4000e+00   -1.2639e-09   1.1077e+09
-1.6000e+00   -1.6566e-09   9.6583e+08
-1.8000e+00   -2.0901e-09   8.6120e+08
-2.0000e+00   -2.6561e-09   7.5298e+08
-2.2000e+00   -3.4528e-09   6.3716e+08
-2.4000e+00   -4.6869e-09   5.1207e+08
-2.6000e+00   -6.2313e-09   4.1725e+08
-2.8000e+00   -8.5235e-09   3.2850e+08
-3.0000e+00   -1.0736e-08   2.7944e+08
-3.2000e+00   -1.4146e-08   2.2621e+08
-3.4000e+00   -1.7548e-08   1.9375e+08
-3.6000e+00   -2.1308e-08   1.6895e+08
-3.8000e+00   -2.5986e-08   1.4623e+08
-4.0000e+00   -3.1614e-08   1.2653e+08
-4.0000e+00   -3.1485e-08   1.2704e+08
-3.8000e+00   -2.4952e-08   1.5229e+08
-3.6000e+00   -2.0459e-08   1.7597e+08
-3.4000e+00   -1.6326e-08   2.0825e+08
-3.2000e+00   -1.2997e-08   2.4621e+08
-3.0000e+00   -1.0195e-08   2.9427e+08
-2.8000e+00   -7.4972e-09   3.7347e+08
-2.6000e+00   -5.3554e-09   4.8549e+08
-2.4000e+00   -3.7014e-09   6.4840e+08
-2.2000e+00   -2.4174e-09   9.1007e+08
-2.0000e+00   -1.3666e-09   1.4635e+09
-1.8000e+00   -7.8241e-10   2.3006e+09
-1.6000e+00   -3.7704e-10   4.2436e+09
-1.4000e+00   -1.3086e-10   1.0698e+10
-1.2000e+00   2.2220e-11   -5.4005e+10
-1.0000e+00   1.1846e-10   -8.4417e+09
-8.0000e-01   1.9487e-10   -4.1053e+09
-6.0000e-01   2.3177e-10   -2.5888e+09
-4.0000e-01   2.6823e-10   -1.4913e+09
-2.0000e-01   2.9314e-10   -6.8227e+08
0.0000e+00   3.2401e-10   0.0000e+00
