  Measurement Number     Measurement type
                   3                DC IV

      Measurement ID             SeriesID
       739665.541338                    0

         MeasureMode                Bias1                Bias2
                   2                    4                   -4

                Step  Positive compliance  Negative compliance
                 0.2                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   5.1000e-13   0.0000e+00
2.0000e-01   3.0004e-10   6.6658e+08
4.0000e-01   3.3929e-10   1.1789e+09
6.0000e-01   3.7297e-10   1.6087e+09
8.0000e-01   3.7955e-10   2.1078e+09
1.0000e+00   4.0176e-10   2.4890e+09
1.2000e+00   4.6836e-10   2.5621e+09
1.4000e+00   9.3629e-10   1.4953e+09
1.6000e+00   1.3576e-09   1.1786e+09
1.8000e+00   3.4307e-09   5.2467e+08
2.0000e+00   5.0883e-09   3.9306e+08
2.2000e+00   1.3588e-08   1.6191e+08
2.4000e+00   1.2886e-08   1.8625e+08
2.6000e+00   1.5149e-08   1.7162e+08
2.8000e+00   1.6600e-08   1.6868e+08
3.0000e+00   2.0215e-08   1.4840e+08
3.2000e+00   2.3728e-08   1.3486e+08
3.4000e+00   4.3944e-08   7.7371e+07
3.6000e+00   6.5767e-08   5.4739e+07
3.8000e+00   7.5380e-08   5.0411e+07
4.0000e+00   1.0185e-07   3.9273e+07
4.0000e+00   9.9307e-08   4.0279e+07
3.8000e+00   9.7068e-08   3.9148e+07
3.6000e+00   8.6522e-08   4.1608e+07
3.4000e+00   8.3599e-08   4.0670e+07
3.2000e+00   6.5167e-08   4.9104e+07
3.0000e+00   5.2093e-08   5.7590e+07
2.8000e+00   4.9214e-08   5.6894e+07
2.6000e+00   3.6876e-08   7.0507e+07
2.4000e+00   1.3962e-08   1.7190e+08
2.2000e+00   1.0668e-08   2.0622e+08
2.0000e+00   8.9530e-09   2.2339e+08
1.8000e+00   7.2368e-09   2.4873e+08
1.6000e+00   4.6618e-09   3.4322e+08
1.4000e+00   2.9891e-09   4.6837e+08
1.2000e+00   2.2405e-09   5.3559e+08
1.0000e+00   1.5088e-09   6.6278e+08
8.0000e-01   7.5288e-10   1.0626e+09
6.0000e-01   2.8836e-10   2.0807e+09
4.0000e-01   -9.3700e-11   -4.2689e+09
2.0000e-01   -3.3278e-10   -6.0100e+08
0.0000e+00   -5.0694e-10   -0.0000e+00
0.0000e+00   -1.7350e-11   -0.0000e+00
-2.0000e-01   -3.2304e-10   6.1912e+08
-4.0000e-01   -5.1287e-10   7.7992e+08
-6.0000e-01   -5.6222e-10   1.0672e+09
-8.0000e-01   -5.6528e-10   1.4152e+09
-1.0000e+00   -5.8765e-10   1.7017e+09
-1.2000e+00   -5.9830e-10   2.0057e+09
-1.4000e+00   -7.1870e-10   1.9480e+09
-1.6000e+00   -1.0372e-09   1.5426e+09
-1.8000e+00   -1.2846e-09   1.4012e+09
-2.0000e+00   -1.7168e-09   1.1650e+09
-2.2000e+00   -1.9628e-09   1.1208e+09
-2.4000e+00   -1.8585e-09   1.2914e+09
-2.6000e+00   -3.2061e-09   8.1095e+08
-2.8000e+00   -3.8496e-09   7.2735e+08
-3.0000e+00   -1.5962e-08   1.8795e+08
-3.2000e+00   -2.9034e-08   1.1021e+08
-3.4000e+00   -2.9940e-08   1.1356e+08
-3.6000e+00   -3.1624e-08   1.1384e+08
-3.8000e+00   -3.3498e-08   1.1344e+08
-4.0000e+00   -6.9036e-08   5.7940e+07
-4.0000e+00   -4.5519e-08   8.7875e+07
-3.8000e+00   -5.1128e-08   7.4324e+07
-3.6000e+00   -3.1019e-08   1.1606e+08
-3.4000e+00   -3.0551e-08   1.1129e+08
-3.2000e+00   -1.5484e-08   2.0667e+08
-3.0000e+00   -1.5197e-08   1.9741e+08
-2.8000e+00   -1.0757e-08   2.6030e+08
-2.6000e+00   -5.4621e-09   4.7601e+08
-2.4000e+00   -4.3856e-09   5.4725e+08
-2.2000e+00   -2.4795e-09   8.8728e+08
-2.0000e+00   -1.0313e-09   1.9393e+09
-1.8000e+00   -4.6051e-10   3.9087e+09
-1.6000e+00   -1.5269e-10   1.0479e+10
-1.4000e+00   1.4000e-11   -1.0000e+11
-1.2000e+00   7.7860e-11   -1.5412e+10
-1.0000e+00   1.2715e-10   -7.8647e+09
-8.0000e-01   1.8417e-10   -4.3438e+09
-6.0000e-01   2.0298e-10   -2.9560e+09
-4.0000e-01   2.5785e-10   -1.5513e+09
-2.0000e-01   2.7866e-10   -7.1772e+08
0.0000e+00   3.5377e-10   0.0000e+00
