  Measurement Number     Measurement type
                   7                DC IV

      Measurement ID             SeriesID
       739665.541631                   98

         MeasureMode                Bias1                Bias2
                   2                    4                   -4

                Step  Positive compliance  Negative compliance
                 0.2                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.7820e-11   0.0000e+00
2.0000e-01   2.0728e-10   9.6488e+08
4.0000e-01   3.4191e-10   1.1699e+09
6.0000e-01   4.3780e-10   1.3705e+09
8.0000e-01   8.6140e-10   9.2872e+08
1.0000e+00   9.0980e-10   1.0991e+09
1.2000e+00   1.0534e-09   1.1392e+09
1.4000e+00   1.4667e-09   9.5452e+08
1.6000e+00   1.9084e-09   8.3840e+08
1.8000e+00   3.0716e-09   5.8601e+08
2.0000e+00   5.0777e-09   3.9388e+08
2.2000e+00   7.7920e-09   2.8234e+08
2.4000e+00   1.0502e-08   2.2852e+08
2.6000e+00   1.5981e-08   1.6269e+08
2.8000e+00   2.0195e-08   1.3865e+08
3.0000e+00   2.6295e-08   1.1409e+08
3.2000e+00   3.1234e-08   1.0245e+08
3.4000e+00   3.9869e-08   8.5278e+07
3.6000e+00   4.4741e-08   8.0463e+07
3.8000e+00   5.7945e-08   6.5579e+07
4.0000e+00   6.6839e-08   5.9845e+07
4.0000e+00   6.5958e-08   6.0644e+07
3.8000e+00   5.7494e-08   6.6093e+07
3.6000e+00   4.7254e-08   7.6184e+07
3.4000e+00   4.3213e-08   7.8680e+07
3.2000e+00   3.6809e-08   8.6935e+07
3.0000e+00   2.8509e-08   1.0523e+08
2.8000e+00   2.3668e-08   1.1831e+08
2.6000e+00   1.8724e-08   1.3886e+08
2.4000e+00   1.3641e-08   1.7594e+08
2.2000e+00   1.0401e-08   2.1151e+08
2.0000e+00   8.0358e-09   2.4889e+08
1.8000e+00   5.0928e-09   3.5344e+08
1.6000e+00   2.7820e-09   5.7513e+08
1.4000e+00   1.5088e-09   9.2789e+08
1.2000e+00   6.2352e-10   1.9246e+09
1.0000e+00   2.9778e-10   3.3582e+09
8.0000e-01   2.0360e-11   3.9293e+10
6.0000e-01   -1.2006e-10   -4.9975e+09
4.0000e-01   -2.3167e-10   -1.7266e+09
2.0000e-01   -2.6452e-10   -7.5609e+08
0.0000e+00   -3.2517e-10   -0.0000e+00
0.0000e+00   -2.0200e-11   -0.0000e+00
-2.0000e-01   -2.1649e-10   9.2383e+08
-4.0000e-01   -3.5057e-10   1.1410e+09
-6.0000e-01   -4.4028e-10   1.3628e+09
-8.0000e-01   -8.5410e-10   9.3666e+08
-1.0000e+00   -9.7760e-10   1.0229e+09
-1.2000e+00   -1.2504e-09   9.5969e+08
-1.4000e+00   -1.7888e-09   7.8265e+08
-1.6000e+00   -2.4252e-09   6.5974e+08
-1.8000e+00   -3.0983e-09   5.8096e+08
-2.0000e+00   -3.6775e-09   5.4385e+08
-2.2000e+00   -4.5392e-09   4.8467e+08
-2.4000e+00   -5.9639e-09   4.0242e+08
-2.6000e+00   -7.1867e-09   3.6178e+08
-2.8000e+00   -9.9260e-09   2.8209e+08
-3.0000e+00   -1.3728e-08   2.1853e+08
-3.2000e+00   -1.6648e-08   1.9221e+08
-3.4000e+00   -2.1185e-08   1.6049e+08
-3.6000e+00   -2.5948e-08   1.3874e+08
-3.8000e+00   -3.1805e-08   1.1948e+08
-4.0000e+00   -4.1102e-08   9.7319e+07
-4.0000e+00   -4.1229e-08   9.7018e+07
-3.8000e+00   -3.1135e-08   1.2205e+08
-3.6000e+00   -2.3169e-08   1.5538e+08
-3.4000e+00   -1.8898e-08   1.7992e+08
-3.2000e+00   -1.4596e-08   2.1924e+08
-3.0000e+00   -1.1337e-08   2.6462e+08
-2.8000e+00   -9.0774e-09   3.0846e+08
-2.6000e+00   -5.9682e-09   4.3564e+08
-2.4000e+00   -4.2494e-09   5.6479e+08
-2.2000e+00   -2.6638e-09   8.2589e+08
-2.0000e+00   -1.6548e-09   1.2086e+09
-1.8000e+00   -7.9573e-10   2.2621e+09
-1.6000e+00   -3.1395e-10   5.0964e+09
-1.4000e+00   -6.0010e-11   2.3329e+10
-1.2000e+00   6.6600e-11   -1.8018e+10
-1.0000e+00   1.2955e-10   -7.7190e+09
-8.0000e-01   1.9130e-10   -4.1819e+09
-6.0000e-01   2.2170e-10   -2.7064e+09
-4.0000e-01   2.6046e-10   -1.5357e+09
-2.0000e-01   2.8895e-10   -6.9216e+08
0.0000e+00   3.2864e-10   0.0000e+00
