  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739665.528663                   92

         MeasureMode                Bias1                Bias2
                   2                    4                   -4

                Step  Positive compliance  Negative compliance
                 0.2                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.0100e-12   -0.0000e+00
2.0000e-01   3.5500e-12   5.6338e+10
4.0000e-01   5.5000e-12   7.2727e+10
6.0000e-01   6.0100e-12   9.9834e+10
8.0000e-01   7.8500e-12   1.0191e+11
1.0000e+00   8.2600e-12   1.2107e+11
1.2000e+00   1.1460e-11   1.0471e+11
1.4000e+00   1.3800e-11   1.0145e+11
1.6000e+00   2.3790e-11   6.7255e+10
1.8000e+00   4.7240e-11   3.8103e+10
2.0000e+00   7.4510e-11   2.6842e+10
2.2000e+00   1.1426e-10   1.9254e+10
2.4000e+00   2.5214e-10   9.5185e+09
2.6000e+00   3.2731e-10   7.9435e+09
2.8000e+00   7.5654e-10   3.7011e+09
3.0000e+00   9.4845e-10   3.1631e+09
3.2000e+00   1.5008e-09   2.1322e+09
3.4000e+00   1.8747e-09   1.8136e+09
3.6000e+00   3.1245e-09   1.1522e+09
3.8000e+00   2.8951e-09   1.3126e+09
4.0000e+00   7.1689e-09   5.5797e+08
4.0000e+00   7.4492e-09   5.3697e+08
3.8000e+00   6.9524e-09   5.4657e+08
3.6000e+00   5.2481e-09   6.8596e+08
3.4000e+00   4.3988e-09   7.7294e+08
3.2000e+00   3.2578e-09   9.8226e+08
3.0000e+00   2.5180e-09   1.1914e+09
2.8000e+00   1.7943e-09   1.5605e+09
2.6000e+00   9.8640e-10   2.6358e+09
2.4000e+00   6.8260e-10   3.5160e+09
2.2000e+00   4.5087e-10   4.8795e+09
2.0000e+00   2.1446e-10   9.3257e+09
1.8000e+00   1.4243e-10   1.2638e+10
1.6000e+00   9.5720e-11   1.6715e+10
1.4000e+00   3.7410e-11   3.7423e+10
1.2000e+00   2.0290e-11   5.9142e+10
1.0000e+00   1.1400e-11   8.7719e+10
8.0000e-01   -4.2000e-13   -1.9048e+12
6.0000e-01   -3.3000e-12   -1.8182e+11
4.0000e-01   -3.9100e-12   -1.0230e+11
2.0000e-01   -4.8700e-12   -4.1068e+10
0.0000e+00   -5.5500e-12   -0.0000e+00
0.0000e+00   9.9000e-13   0.0000e+00
-2.0000e-01   -3.9600e-12   5.0505e+10
-4.0000e-01   -6.3200e-12   6.3291e+10
-6.0000e-01   -9.1500e-12   6.5574e+10
-8.0000e-01   -9.8500e-12   8.1218e+10
-1.0000e+00   -1.1080e-11   9.0253e+10
-1.2000e+00   -1.1580e-11   1.0363e+11
-1.4000e+00   -1.1320e-11   1.2367e+11
-1.6000e+00   -1.1580e-11   1.3817e+11
-1.8000e+00   -2.3870e-11   7.5408e+10
-2.0000e+00   -5.7760e-11   3.4626e+10
-2.2000e+00   -6.4310e-11   3.4209e+10
-2.4000e+00   -8.4220e-11   2.8497e+10
-2.6000e+00   -1.2561e-10   2.0699e+10
-2.8000e+00   -1.9829e-10   1.4121e+10
-3.0000e+00   -3.1334e-10   9.5743e+09
-3.2000e+00   -5.1001e-10   6.2744e+09
-3.4000e+00   -1.0200e-09   3.3333e+09
-3.6000e+00   -1.9898e-09   1.8092e+09
-3.8000e+00   -3.7256e-09   1.0200e+09
-4.0000e+00   -6.2072e-09   6.4441e+08
-4.0000e+00   -5.8639e-09   6.8214e+08
-3.8000e+00   -3.8611e-09   9.8418e+08
-3.6000e+00   -3.3225e-09   1.0835e+09
-3.4000e+00   -1.6439e-09   2.0683e+09
-3.2000e+00   -9.8170e-10   3.2597e+09
-3.0000e+00   -7.6852e-10   3.9036e+09
-2.8000e+00   -4.3951e-10   6.3707e+09
-2.6000e+00   -2.4030e-10   1.0820e+10
-2.4000e+00   -1.4485e-10   1.6569e+10
-2.2000e+00   -6.3410e-11   3.4695e+10
-2.0000e+00   -4.4270e-11   4.5177e+10
-1.8000e+00   -1.5940e-11   1.1292e+11
-1.6000e+00   -3.0400e-12   5.2632e+11
-1.4000e+00   1.1100e-12   -1.2613e+12
-1.2000e+00   1.7200e-12   -6.9767e+11
-1.0000e+00   1.8800e-12   -5.3191e+11
-8.0000e-01   2.1400e-12   -3.7383e+11
-6.0000e-01   1.3400e-12   -4.4776e+11
-4.0000e-01   4.6400e-12   -8.6207e+10
-2.0000e-01   4.9200e-12   -4.0650e+10
0.0000e+00   7.4400e-12   0.0000e+00
