  Measurement Number     Measurement type
                  15                DC IV

      Measurement ID             SeriesID
       739665.520896                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   7.3000e-13   0.0000e+00
5.0000e-02   6.1540e-11   8.1248e+08
1.0000e-01   9.7510e-11   1.0255e+09
1.5000e-01   1.1511e-10   1.3031e+09
2.0000e-01   1.2141e-10   1.6473e+09
2.5000e-01   1.2224e-10   2.0452e+09
3.0000e-01   1.2970e-10   2.3130e+09
3.5000e-01   1.3189e-10   2.6537e+09
4.0000e-01   1.3053e-10   3.0644e+09
4.5000e-01   1.3827e-10   3.2545e+09
5.0000e-01   1.3833e-10   3.6145e+09
5.5000e-01   1.4048e-10   3.9151e+09
6.0000e-01   1.4639e-10   4.0986e+09
6.5000e-01   1.4569e-10   4.4615e+09
7.0000e-01   1.4454e-10   4.8430e+09
7.5000e-01   1.5518e-10   4.8331e+09
8.0000e-01   1.5589e-10   5.1318e+09
8.5000e-01   1.6448e-10   5.1678e+09
9.0000e-01   1.6535e-10   5.4430e+09
9.5000e-01   1.6452e-10   5.7744e+09
1.0000e+00   1.7130e-10   5.8377e+09
1.0000e+00   1.5811e-10   6.3247e+09
9.5000e-01   3.2190e-11   2.9512e+10
9.0000e-01   -3.5160e-11   -2.5597e+10
8.5000e-01   -7.4310e-11   -1.1439e+10
8.0000e-01   -9.5890e-11   -8.3429e+09
7.5000e-01   -1.1063e-10   -6.7794e+09
7.0000e-01   -1.0907e-10   -6.4179e+09
6.5000e-01   -1.1979e-10   -5.4262e+09
6.0000e-01   -1.1760e-10   -5.1020e+09
5.5000e-01   -1.1876e-10   -4.6312e+09
5.0000e-01   -1.2271e-10   -4.0746e+09
4.5000e-01   -1.2364e-10   -3.6396e+09
4.0000e-01   -1.2474e-10   -3.2067e+09
3.5000e-01   -1.2818e-10   -2.7305e+09
3.0000e-01   -1.2605e-10   -2.3800e+09
2.5000e-01   -1.2657e-10   -1.9752e+09
2.0000e-01   -1.3088e-10   -1.5281e+09
1.5000e-01   -1.2595e-10   -1.1909e+09
1.0000e-01   -1.3073e-10   -7.6494e+08
5.0000e-02   -1.2337e-10   -4.0528e+08
0.0000e+00   -1.2710e-10   -0.0000e+00
0.0000e+00   -5.8400e-12   -0.0000e+00
-5.0000e-02   -7.0930e-11   7.0492e+08
-1.0000e-01   -1.0256e-10   9.7504e+08
-1.5000e-01   -1.1370e-10   1.3193e+09
-2.0000e-01   -1.2137e-10   1.6479e+09
-2.5000e-01   -1.2994e-10   1.9240e+09
-3.0000e-01   -1.3127e-10   2.2854e+09
-3.5000e-01   -1.3902e-10   2.5176e+09
-4.0000e-01   -1.3062e-10   3.0623e+09
-4.5000e-01   -1.3806e-10   3.2595e+09
-5.0000e-01   -1.3621e-10   3.6708e+09
-5.5000e-01   -1.3738e-10   4.0035e+09
-6.0000e-01   -1.4177e-10   4.2322e+09
-6.5000e-01   -1.3835e-10   4.6982e+09
-7.0000e-01   -1.3851e-10   5.0538e+09
-7.5000e-01   -1.6099e-10   4.6587e+09
-8.0000e-01   -1.4166e-10   5.6473e+09
-8.5000e-01   -1.5010e-10   5.6629e+09
-9.0000e-01   -1.4830e-10   6.0688e+09
-9.5000e-01   -1.6437e-10   5.7796e+09
-1.0000e+00   -1.5679e-10   6.3780e+09
-1.0000e+00   -1.5509e-10   6.4479e+09
-9.5000e-01   -1.7670e-11   5.3763e+10
-9.0000e-01   5.0260e-11   -1.7907e+10
-8.5000e-01   8.0240e-11   -1.0593e+10
-8.0000e-01   9.9320e-11   -8.0548e+09
-7.5000e-01   1.0438e-10   -7.1853e+09
-7.0000e-01   1.0988e-10   -6.3706e+09
-6.5000e-01   1.1425e-10   -5.6893e+09
-6.0000e-01   1.1768e-10   -5.0986e+09
-5.5000e-01   1.2015e-10   -4.5776e+09
-5.0000e-01   1.1742e-10   -4.2582e+09
-4.5000e-01   1.2179e-10   -3.6949e+09
-4.0000e-01   1.1640e-10   -3.4364e+09
-3.5000e-01   1.2694e-10   -2.7572e+09
-3.0000e-01   1.2351e-10   -2.4290e+09
-2.5000e-01   1.2529e-10   -1.9954e+09
-2.0000e-01   1.2320e-10   -1.6234e+09
-1.5000e-01   1.2176e-10   -1.2319e+09
-1.0000e-01   1.2601e-10   -7.9359e+08
-5.0000e-02   1.3051e-10   -3.8311e+08
0.0000e+00   1.2165e-10   0.0000e+00
