  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739665.523902                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -2

                Step  Positive compliance  Negative compliance
                 0.1                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -3.7000e-13   -0.0000e+00
1.0000e-01   7.0000e-14   1.4286e+12
2.0000e-01   6.4000e-13   3.1250e+11
3.0000e-01   4.1000e-12   7.3171e+10
4.0000e-01   4.9100e-12   8.1466e+10
5.0000e-01   4.9800e-12   1.0040e+11
6.0000e-01   4.6900e-12   1.2793e+11
7.0000e-01   5.1900e-12   1.3487e+11
8.0000e-01   5.2800e-12   1.5152e+11
9.0000e-01   6.6200e-12   1.3595e+11
1.0000e+00   8.2900e-12   1.2063e+11
1.1000e+00   1.0440e-11   1.0536e+11
1.2000e+00   1.2850e-11   9.3385e+10
1.3000e+00   2.4090e-11   5.3964e+10
1.4000e+00   1.9490e-11   7.1832e+10
1.5000e+00   2.9110e-11   5.1529e+10
1.6000e+00   4.0650e-11   3.9360e+10
1.7000e+00   8.4480e-11   2.0123e+10
1.8000e+00   2.6446e-10   6.8063e+09
1.9000e+00   1.7955e-10   1.0582e+10
2.0000e+00   4.7600e-10   4.2017e+09
2.0000e+00   2.9746e-10   6.7236e+09
1.9000e+00   1.6448e-10   1.1552e+10
1.8000e+00   1.5423e-10   1.1671e+10
1.7000e+00   1.0536e-10   1.6135e+10
1.6000e+00   7.6280e-11   2.0975e+10
1.5000e+00   6.5630e-11   2.2855e+10
1.4000e+00   3.5440e-11   3.9503e+10
1.3000e+00   2.5420e-11   5.1141e+10
1.2000e+00   1.8650e-11   6.4343e+10
1.1000e+00   1.2790e-11   8.6005e+10
1.0000e+00   2.8200e-12   3.5461e+11
9.0000e-01   -1.7100e-12   -5.2632e+11
8.0000e-01   -3.8300e-12   -2.0888e+11
7.0000e-01   -2.4700e-12   -2.8340e+11
6.0000e-01   -2.7100e-12   -2.2140e+11
5.0000e-01   -1.2700e-12   -3.9370e+11
4.0000e-01   -1.7000e-12   -2.3529e+11
3.0000e-01   -3.5000e-13   -8.5714e+11
2.0000e-01   -4.6000e-13   -4.3478e+11
1.0000e-01   -2.7900e-12   -3.5842e+10
0.0000e+00   -3.8300e-12   -0.0000e+00
0.0000e+00   3.7000e-13   0.0000e+00
-1.0000e-01   -1.3600e-12   7.3529e+10
-2.0000e-01   -1.1800e-12   1.6949e+11
-3.0000e-01   -4.6200e-12   6.4935e+10
-4.0000e-01   -2.3900e-12   1.6736e+11
-5.0000e-01   -3.8900e-12   1.2853e+11
-6.0000e-01   -2.8600e-12   2.0979e+11
-7.0000e-01   -6.6200e-12   1.0574e+11
-8.0000e-01   -5.4000e-12   1.4815e+11
-9.0000e-01   -5.3700e-12   1.6760e+11
-1.0000e+00   -5.4500e-12   1.8349e+11
-1.1000e+00   -6.6300e-12   1.6591e+11
-1.2000e+00   -9.0100e-12   1.3319e+11
-1.3000e+00   -1.0270e-11   1.2658e+11
-1.4000e+00   -1.3350e-11   1.0487e+11
-1.5000e+00   -2.1910e-11   6.8462e+10
-1.6000e+00   -1.8340e-11   8.7241e+10
-1.7000e+00   -2.4370e-11   6.9758e+10
-1.8000e+00   -2.9500e-11   6.1017e+10
-1.9000e+00   -3.6830e-11   5.1588e+10
-2.0000e+00   -6.9880e-11   2.8620e+10
-2.0000e+00   -6.8610e-11   2.9150e+10
-1.9000e+00   -2.9920e-11   6.3503e+10
-1.8000e+00   -1.9140e-11   9.4044e+10
-1.7000e+00   -1.2550e-11   1.3546e+11
-1.6000e+00   -5.5000e-12   2.9091e+11
-1.5000e+00   -4.2400e-12   3.5377e+11
-1.4000e+00   -2.3000e-13   6.0870e+12
-1.3000e+00   1.0000e-13   -1.3000e+13
-1.2000e+00   -1.3000e-13   9.2308e+12
-1.1000e+00   2.0600e-12   -5.3398e+11
-1.0000e+00   -4.8000e-13   2.0833e+12
-9.0000e-01   -5.5000e-13   1.6364e+12
-8.0000e-01   2.3700e-12   -3.3755e+11
-7.0000e-01   1.5000e-12   -4.6667e+11
-6.0000e-01   4.8600e-12   -1.2346e+11
-5.0000e-01   4.9400e-12   -1.0121e+11
-4.0000e-01   3.0200e-12   -1.3245e+11
-3.0000e-01   1.8500e-12   -1.6216e+11
-2.0000e-01   1.5200e-12   -1.3158e+11
-1.0000e-01   3.1900e-12   -3.1348e+10
0.0000e+00   3.0300e-12   0.0000e+00
