  Measurement Number     Measurement type
                  10                DC IV

      Measurement ID             SeriesID
       739665.527304                   13

         MeasureMode                Bias1                Bias2
                   2                    4                   -4

                Step  Positive compliance  Negative compliance
                 0.2                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   5.6100e-12   0.0000e+00
2.0000e-01   7.0390e-11   2.8413e+09
4.0000e-01   1.1877e-10   3.3679e+09
6.0000e-01   1.1282e-10   5.3182e+09
8.0000e-01   1.7730e-10   4.5121e+09
1.0000e+00   2.2075e-10   4.5300e+09
1.2000e+00   2.3703e-10   5.0627e+09
1.4000e+00   3.2805e-10   4.2676e+09
1.6000e+00   5.0145e-10   3.1907e+09
1.8000e+00   6.9805e-10   2.5786e+09
2.0000e+00   1.3317e-09   1.5018e+09
2.2000e+00   2.0713e-09   1.0621e+09
2.4000e+00   6.0163e-09   3.9892e+08
2.6000e+00   1.0398e-08   2.5004e+08
2.8000e+00   1.4435e-08   1.9398e+08
3.0000e+00   2.0159e-08   1.4881e+08
3.2000e+00   2.9750e-08   1.0756e+08
3.4000e+00   3.6581e-08   9.2944e+07
3.6000e+00   5.0349e-08   7.1501e+07
3.8000e+00   7.3884e-08   5.1432e+07
4.0000e+00   9.2540e-08   4.3225e+07
4.0000e+00   9.7143e-08   4.1177e+07
3.8000e+00   6.9652e-08   5.4557e+07
3.6000e+00   5.4413e-08   6.6161e+07
3.4000e+00   4.3088e-08   7.8908e+07
3.2000e+00   3.5565e-08   8.9977e+07
3.0000e+00   2.7428e-08   1.0938e+08
2.8000e+00   2.3241e-08   1.2048e+08
2.6000e+00   1.6008e-08   1.6242e+08
2.4000e+00   1.0398e-08   2.3082e+08
2.2000e+00   6.8647e-09   3.2048e+08
2.0000e+00   3.9343e-09   5.0835e+08
1.8000e+00   2.3332e-09   7.7147e+08
1.6000e+00   1.3759e-09   1.1629e+09
1.4000e+00   7.3528e-10   1.9040e+09
1.2000e+00   4.1604e-10   2.8843e+09
1.0000e+00   1.9904e-10   5.0241e+09
8.0000e-01   5.3530e-11   1.4945e+10
6.0000e-01   -3.0470e-11   -1.9691e+10
4.0000e-01   -8.2680e-11   -4.8379e+09
2.0000e-01   -6.3970e-11   -3.1265e+09
0.0000e+00   -2.1464e-10   -0.0000e+00
0.0000e+00   -8.8300e-12   -0.0000e+00
-2.0000e-01   -9.1740e-11   2.1801e+09
-4.0000e-01   -1.6072e-10   2.4888e+09
-6.0000e-01   -2.0069e-10   2.9897e+09
-8.0000e-01   -2.2225e-10   3.5996e+09
-1.0000e+00   -2.7206e-10   3.6757e+09
-1.2000e+00   -6.0024e-10   1.9992e+09
-1.4000e+00   -4.8641e-10   2.8782e+09
-1.6000e+00   -5.2845e-10   3.0277e+09
-1.8000e+00   -7.9448e-10   2.2656e+09
-2.0000e+00   -1.5092e-09   1.3252e+09
-2.2000e+00   -1.1129e-09   1.9768e+09
-2.4000e+00   -1.3098e-09   1.8323e+09
-2.6000e+00   -2.0378e-09   1.2759e+09
-2.8000e+00   -3.0516e-09   9.1755e+08
-3.0000e+00   -3.8046e-09   7.8852e+08
-3.2000e+00   -9.5960e-09   3.3347e+08
-3.4000e+00   -1.4057e-08   2.4187e+08
-3.6000e+00   -2.0975e-08   1.7164e+08
-3.8000e+00   -3.0916e-08   1.2291e+08
-4.0000e+00   -4.5036e-08   8.8818e+07
-4.0000e+00   -4.6115e-08   8.6740e+07
-3.8000e+00   -3.4278e-08   1.1086e+08
-3.6000e+00   -2.3514e-08   1.5310e+08
-3.4000e+00   -1.7861e-08   1.9036e+08
-3.2000e+00   -1.2159e-08   2.6318e+08
-3.0000e+00   -7.6119e-09   3.9412e+08
-2.8000e+00   -4.9333e-09   5.6757e+08
-2.6000e+00   -2.3604e-09   1.1015e+09
-2.4000e+00   -1.4030e-09   1.7106e+09
-2.2000e+00   -7.2402e-10   3.0386e+09
-2.0000e+00   -5.7583e-10   3.4732e+09
-1.8000e+00   -1.4937e-10   1.2051e+10
-1.6000e+00   -6.7000e-11   2.3881e+10
-1.4000e+00   6.5000e-12   -2.1538e+11
-1.2000e+00   4.5930e-11   -2.6127e+10
-1.0000e+00   6.5320e-11   -1.5309e+10
-8.0000e-01   5.9420e-11   -1.3463e+10
-6.0000e-01   6.0640e-11   -9.8945e+09
-4.0000e-01   9.2030e-11   -4.3464e+09
-2.0000e-01   9.0970e-11   -2.1985e+09
0.0000e+00   9.6690e-11   0.0000e+00
