  Measurement Number     Measurement type
                  10                DC IV

      Measurement ID             SeriesID
       739672.644295                   82

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                 0.01                 0.01

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.8100e-12   0.0000e+00
5.0000e-02   2.6000e-13   1.9231e+11
1.0000e-01   1.7800e-12   5.6180e+10
1.5000e-01   3.3600e-12   4.4643e+10
2.0000e-01   2.7000e-12   7.4074e+10
2.5000e-01   3.5600e-12   7.0225e+10
3.0000e-01   4.3000e-13   6.9767e+11
3.5000e-01   5.5000e-12   6.3636e+10
4.0000e-01   8.8100e-12   4.5403e+10
4.5000e-01   7.5600e-12   5.9524e+10
5.0000e-01   6.3800e-12   7.8370e+10
5.5000e-01   4.5700e-12   1.2035e+11
6.0000e-01   8.2300e-12   7.2904e+10
6.5000e-01   1.0170e-11   6.3913e+10
7.0000e-01   1.1070e-11   6.3234e+10
7.5000e-01   7.9500e-12   9.4340e+10
8.0000e-01   3.0480e-11   2.6247e+10
8.5000e-01   1.4789e-10   5.7475e+09
9.0000e-01   3.2389e-10   2.7787e+09
9.5000e-01   2.9630e-11   3.2062e+10
1.0000e+00   6.7390e-11   1.4839e+10
1.0500e+00   4.2020e-11   2.4988e+10
1.1000e+00   2.0650e-10   5.3269e+09
1.1500e+00   1.1053e-10   1.0404e+10
1.2000e+00   1.6294e-10   7.3647e+09
1.2500e+00   7.4112e-10   1.6866e+09
1.3000e+00   3.7653e-10   3.4526e+09
1.3500e+00   2.2178e-10   6.0871e+09
1.4000e+00   1.7976e-10   7.7882e+09
1.4500e+00   1.3810e-10   1.0500e+10
1.5000e+00   6.3864e-10   2.3487e+09
1.5500e+00   1.8575e-10   8.3445e+09
1.6000e+00   7.7950e-10   2.0526e+09
1.6500e+00   5.4960e-10   3.0022e+09
1.7000e+00   1.7734e-10   9.5861e+09
1.7500e+00   8.8330e-10   1.9812e+09
1.8000e+00   4.8098e-09   3.7424e+08
1.8500e+00   3.2277e-09   5.7316e+08
1.9000e+00   6.0486e-09   3.1412e+08
1.9500e+00   7.4626e-09   2.6130e+08
2.0000e+00   1.0206e-08   1.9596e+08
2.0000e+00   9.6920e-09   2.0636e+08
1.9500e+00   1.2460e-08   1.5650e+08
1.9000e+00   1.5443e-08   1.2303e+08
1.8500e+00   1.2936e-08   1.4302e+08
1.8000e+00   1.4662e-08   1.2277e+08
1.7500e+00   1.3159e-08   1.3299e+08
1.7000e+00   1.1082e-08   1.5340e+08
1.6500e+00   1.3295e-08   1.2410e+08
