  Measurement Number     Measurement type
                  15                DC IV

      Measurement ID             SeriesID
       739672.652009                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -3

                Step  Positive compliance  Negative compliance
                 0.1                1e-06                1e-06

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   3.0500e-12   0.0000e+00
1.0000e-01   1.2280e-11   8.1433e+09
2.0000e-01   1.4120e-11   1.4164e+10
3.0000e-01   1.4480e-11   2.0718e+10
4.0000e-01   1.1520e-11   3.4722e+10
5.0000e-01   9.9900e-12   5.0050e+10
6.0000e-01   1.1230e-11   5.3428e+10
7.0000e-01   1.2610e-11   5.5511e+10
8.0000e-01   2.4940e-11   3.2077e+10
9.0000e-01   3.1250e-11   2.8800e+10
1.0000e+00   3.4960e-11   2.8604e+10
1.1000e+00   3.9720e-11   2.7694e+10
1.2000e+00   3.8000e-11   3.1579e+10
1.3000e+00   3.6200e-11   3.5912e+10
1.4000e+00   3.4100e-11   4.1056e+10
1.5000e+00   3.7320e-11   4.0193e+10
1.6000e+00   4.7630e-11   3.3592e+10
1.7000e+00   5.9040e-11   2.8794e+10
1.8000e+00   6.7810e-11   2.6545e+10
1.9000e+00   7.1370e-11   2.6622e+10
2.0000e+00   7.1100e-11   2.8129e+10
2.0000e+00   7.3650e-11   2.7155e+10
1.9000e+00   4.1320e-11   4.5983e+10
1.8000e+00   2.7480e-11   6.5502e+10
1.7000e+00   2.3690e-11   7.1760e+10
1.6000e+00   1.6710e-11   9.5751e+10
1.5000e+00   1.0580e-11   1.4178e+11
1.4000e+00   -4.0000e-14   -3.5000e+13
1.3000e+00   -6.8400e-12   -1.9006e+11
1.2000e+00   -9.6500e-12   -1.2435e+11
1.1000e+00   -1.2760e-11   -8.6207e+10
1.0000e+00   -1.1240e-11   -8.8968e+10
9.0000e-01   -9.0200e-12   -9.9778e+10
8.0000e-01   -1.0730e-11   -7.4557e+10
7.0000e-01   -8.3400e-12   -8.3933e+10
6.0000e-01   -1.2870e-11   -4.6620e+10
5.0000e-01   -2.0280e-11   -2.4655e+10
4.0000e-01   -1.5450e-11   -2.5890e+10
3.0000e-01   -2.4070e-11   -1.2464e+10
2.0000e-01   -2.8750e-11   -6.9565e+09
1.0000e-01   -2.6840e-11   -3.7258e+09
0.0000e+00   -2.4660e-11   -0.0000e+00
0.0000e+00   -6.8700e-12   -0.0000e+00
-1.0000e-01   -1.9130e-11   5.2274e+09
-2.0000e-01   -1.5920e-11   1.2563e+10
-3.0000e-01   -1.6430e-11   1.8259e+10
-4.0000e-01   -2.9480e-11   1.3569e+10
-5.0000e-01   -3.4430e-11   1.4522e+10
-6.0000e-01   -3.7730e-11   1.5902e+10
-7.0000e-01   -2.7790e-11   2.5189e+10
-8.0000e-01   -3.7120e-11   2.1552e+10
-9.0000e-01   -4.4360e-11   2.0289e+10
-1.0000e+00   -4.9820e-11   2.0072e+10
-1.1000e+00   -4.8220e-11   2.2812e+10
-1.2000e+00   -4.9250e-11   2.4365e+10
-1.3000e+00   -5.3710e-11   2.4204e+10
-1.4000e+00   -6.2770e-11   2.2304e+10
-1.5000e+00   -5.9110e-11   2.5376e+10
-1.6000e+00   -6.1720e-11   2.5924e+10
-1.7000e+00   -6.1790e-11   2.7513e+10
-1.8000e+00   -7.0570e-11   2.5507e+10
-1.9000e+00   -7.8840e-11   2.4099e+10
-2.0000e+00   -7.9430e-11   2.5179e+10
-2.1000e+00   -1.9224e-10   1.0924e+10
-2.2000e+00   -2.6264e-10   8.3765e+09
-2.3000e+00   -4.3266e-10   5.3160e+09
-2.4000e+00   -7.2283e-10   3.3203e+09
-2.5000e+00   -7.2410e-10   3.4526e+09
-2.6000e+00   -1.2134e-09   2.1427e+09
-2.7000e+00   -2.1008e-09   1.2852e+09
-2.8000e+00   -2.9417e-09   9.5183e+08
-2.9000e+00   -1.0000e-06   2.9000e+06
-3.0000e+00   -1.0000e-06   3.0000e+06
-3.0000e+00   -9.9998e-07   3.0001e+06
-2.9000e+00   -1.0000e-06   2.9000e+06
-2.8000e+00   -1.0000e-06   2.8000e+06
-2.7000e+00   -1.0000e-06   2.6999e+06
-2.6000e+00   -1.0000e-06   2.6000e+06
-2.5000e+00   -1.0000e-06   2.5000e+06
-2.4000e+00   -1.0000e-06   2.4000e+06
-2.3000e+00   -1.0000e-06   2.3000e+06
-2.2000e+00   -1.0000e-06   2.2000e+06
-2.1000e+00   -9.9998e-07   2.1000e+06
-2.0000e+00   -1.0000e-06   2.0000e+06
-1.9000e+00   -1.0000e-06   1.9000e+06
-1.8000e+00   -9.9998e-07   1.8000e+06
-1.7000e+00   -1.0000e-06   1.7000e+06
-1.6000e+00   -9.9998e-07   1.6000e+06
-1.5000e+00   -1.0000e-06   1.5000e+06
-1.4000e+00   -1.0000e-06   1.4000e+06
-1.3000e+00   -1.0000e-06   1.3000e+06
-1.2000e+00   -1.0000e-06   1.2000e+06
-1.1000e+00   -1.0000e-06   1.1000e+06
-1.0000e+00   -1.0000e-06   1.0000e+06
-9.0000e-01   -9.9998e-07   9.0002e+05
-8.0000e-01   -1.0000e-06   7.9998e+05
-7.0000e-01   -1.0000e-06   6.9999e+05
-6.0000e-01   -1.0000e-06   5.9999e+05
-5.0000e-01   -1.0000e-06   5.0000e+05
-4.0000e-01   -9.9998e-07   4.0001e+05
-3.0000e-01   -1.0000e-06   3.0000e+05
-2.0000e-01   -9.9998e-07   2.0000e+05
-1.0000e-01   -1.0000e-06   9.9996e+04
0.0000e+00   -2.6446e-07   -0.0000e+00
