  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739672.651133                   13

         MeasureMode                Bias1                Bias2
                   2                    2                   -2

                Step  Positive compliance  Negative compliance
                 0.1                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -8.6000e-13   -0.0000e+00
1.0000e-01   7.1000e-12   1.4085e+10
2.0000e-01   1.1220e-11   1.7825e+10
3.0000e-01   2.1480e-11   1.3966e+10
4.0000e-01   2.7850e-11   1.4363e+10
5.0000e-01   3.1210e-11   1.6021e+10
6.0000e-01   2.7900e-11   2.1505e+10
7.0000e-01   2.6670e-11   2.6247e+10
8.0000e-01   2.6550e-11   3.0132e+10
9.0000e-01   3.0040e-11   2.9960e+10
1.0000e+00   3.0720e-11   3.2552e+10
1.1000e+00   3.9470e-11   2.7869e+10
1.2000e+00   4.0770e-11   2.9433e+10
1.3000e+00   4.7250e-11   2.7513e+10
1.4000e+00   5.2150e-11   2.6846e+10
1.5000e+00   4.3720e-11   3.4309e+10
1.6000e+00   5.1290e-11   3.1195e+10
1.7000e+00   4.9290e-11   3.4490e+10
1.8000e+00   5.5490e-11   3.2438e+10
1.9000e+00   6.1680e-11   3.0804e+10
2.0000e+00   7.4000e-11   2.7027e+10
2.0000e+00   6.9150e-11   2.8923e+10
1.9000e+00   3.3770e-11   5.6263e+10
1.8000e+00   2.2210e-11   8.1045e+10
1.7000e+00   9.2800e-12   1.8319e+11
1.6000e+00   5.3400e-12   2.9963e+11
1.5000e+00   7.7100e-12   1.9455e+11
1.4000e+00   5.9000e-13   2.3729e+12
1.3000e+00   4.6000e-12   2.8261e+11
1.2000e+00   1.4800e-12   8.1081e+11
1.1000e+00   -7.3100e-12   -1.5048e+11
1.0000e+00   -1.0540e-11   -9.4877e+10
9.0000e-01   -1.6400e-11   -5.4878e+10
8.0000e-01   -1.5060e-11   -5.3121e+10
7.0000e-01   -1.2270e-11   -5.7050e+10
6.0000e-01   -9.8900e-12   -6.0667e+10
5.0000e-01   -7.4100e-12   -6.7476e+10
4.0000e-01   -1.3830e-11   -2.8923e+10
3.0000e-01   -2.2100e-11   -1.3575e+10
2.0000e-01   -2.2130e-11   -9.0375e+09
1.0000e-01   -2.8890e-11   -3.4614e+09
0.0000e+00   -3.2310e-11   -0.0000e+00
0.0000e+00   -9.9300e-12   -0.0000e+00
-1.0000e-01   -1.0080e-11   9.9206e+09
-2.0000e-01   -1.0810e-11   1.8501e+10
-3.0000e-01   -1.3430e-11   2.2338e+10
-4.0000e-01   -2.1750e-11   1.8391e+10
-5.0000e-01   -2.9500e-11   1.6949e+10
-6.0000e-01   -3.9070e-11   1.5357e+10
-7.0000e-01   -4.2780e-11   1.6363e+10
-8.0000e-01   -4.0990e-11   1.9517e+10
-9.0000e-01   -4.1120e-11   2.1887e+10
-1.0000e+00   -4.0910e-11   2.4444e+10
-1.1000e+00   -4.0610e-11   2.7087e+10
-1.2000e+00   -4.3530e-11   2.7567e+10
-1.3000e+00   -4.9910e-11   2.6047e+10
-1.4000e+00   -5.9390e-11   2.3573e+10
-1.5000e+00   -6.2210e-11   2.4112e+10
-1.6000e+00   -6.7890e-11   2.3568e+10
-1.7000e+00   -7.3350e-11   2.3177e+10
-1.8000e+00   -7.4850e-11   2.4048e+10
-1.9000e+00   -8.1480e-11   2.3319e+10
-2.0000e+00   -8.2670e-11   2.4193e+10
-2.0000e+00   -8.8470e-11   2.2607e+10
-1.9000e+00   -3.8270e-11   4.9647e+10
-1.8000e+00   -2.6400e-11   6.8182e+10
-1.7000e+00   -1.6840e-11   1.0095e+11
-1.6000e+00   -6.4000e-12   2.5000e+11
-1.5000e+00   -1.0800e-12   1.3889e+12
-1.4000e+00   9.8500e-12   -1.4213e+11
-1.3000e+00   8.7000e-12   -1.4943e+11
-1.2000e+00   7.0800e-12   -1.6949e+11
-1.1000e+00   4.9900e-12   -2.2044e+11
-1.0000e+00   1.1900e-11   -8.4034e+10
-9.0000e-01   2.0510e-11   -4.3881e+10
-8.0000e-01   2.6260e-11   -3.0465e+10
-7.0000e-01   2.5800e-11   -2.7132e+10
-6.0000e-01   2.5130e-11   -2.3876e+10
-5.0000e-01   2.0930e-11   -2.3889e+10
-4.0000e-01   1.8690e-11   -2.1402e+10
-3.0000e-01   1.8410e-11   -1.6295e+10
-2.0000e-01   2.2290e-11   -8.9726e+09
-1.0000e-01   2.7320e-11   -3.6603e+09
0.0000e+00   3.2540e-11   0.0000e+00
