  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739672.647311                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -1.2700e-12   -0.0000e+00
5.0000e-02   2.3000e-12   2.1739e+10
1.0000e-01   1.9700e-12   5.0761e+10
1.5000e-01   1.3700e-12   1.0949e+11
2.0000e-01   1.1000e-13   1.8182e+12
2.5000e-01   6.7000e-13   3.7313e+11
3.0000e-01   8.0000e-13   3.7500e+11
3.5000e-01   5.5000e-13   6.3636e+11
4.0000e-01   8.9000e-13   4.4944e+11
4.5000e-01   8.9000e-13   5.0562e+11
5.0000e-01   1.4400e-12   3.4722e+11
5.5000e-01   6.0000e-14   9.1667e+12
6.0000e-01   -5.6000e-13   -1.0714e+12
6.5000e-01   9.9000e-13   6.5657e+11
7.0000e-01   4.4600e-12   1.5695e+11
7.5000e-01   4.2900e-12   1.7483e+11
8.0000e-01   2.2100e-12   3.6199e+11
8.5000e-01   1.5400e-12   5.5195e+11
9.0000e-01   2.6300e-12   3.4221e+11
9.5000e-01   1.4800e-12   6.4189e+11
1.0000e+00   1.2300e-12   8.1301e+11
1.0500e+00   1.9400e-12   5.4124e+11
1.1000e+00   2.6300e-12   4.1825e+11
1.1500e+00   1.6600e-12   6.9277e+11
1.2000e+00   2.8200e-12   4.2553e+11
1.2500e+00   1.3600e-12   9.1912e+11
1.3000e+00   -1.4400e-12   -9.0278e+11
1.3500e+00   9.1000e-13   1.4835e+12
1.4000e+00   3.4800e-12   4.0230e+11
1.4500e+00   3.1100e-12   4.6624e+11
1.5000e+00   2.3800e-12   6.3025e+11
1.5500e+00   2.6800e-12   5.7836e+11
1.6000e+00   2.9500e-12   5.4237e+11
1.6500e+00   3.3900e-12   4.8673e+11
1.7000e+00   -3.0000e-13   -5.6667e+12
1.7500e+00   2.3115e-09   7.5708e+08
1.8000e+00   3.0256e-09   5.9492e+08
1.8500e+00   1.3499e-08   1.3705e+08
1.9000e+00   3.1921e-08   5.9522e+07
1.9500e+00   6.1230e-08   3.1847e+07
2.0000e+00   1.0001e-06   1.9998e+06
2.0000e+00   9.9996e-07   2.0001e+06
1.9500e+00   9.9998e-07   1.9500e+06
1.9000e+00   9.9998e-07   1.9000e+06
1.8500e+00   1.0001e-06   1.8499e+06
1.8000e+00   9.9990e-07   1.8002e+06
1.7500e+00   1.0001e-06   1.7498e+06
1.7000e+00   1.0001e-06   1.6998e+06
1.6500e+00   1.0001e-06   1.6499e+06
