  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739672.637787                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                 0.1                1e-06                1e-06

  RealMeasuredPoints
                  64

        Bias        Current     Resistance
0.0000e+00   3.2000e-13   0.0000e+00
1.0000e-01   -4.4000e-13   -2.2727e+11
2.0000e-01   1.2200e-12   1.6393e+11
3.0000e-01   3.1000e-12   9.6774e+10
4.0000e-01   4.3100e-12   9.2807e+10
5.0000e-01   6.2200e-12   8.0386e+10
6.0000e-01   8.2300e-12   7.2904e+10
7.0000e-01   9.4300e-12   7.4231e+10
8.0000e-01   1.2360e-11   6.4725e+10
9.0000e-01   1.0300e-11   8.7379e+10
1.0000e+00   1.0300e-11   9.7087e+10
1.1000e+00   8.5900e-12   1.2806e+11
1.2000e+00   1.0240e-11   1.1719e+11
1.3000e+00   1.3510e-11   9.6225e+10
1.4000e+00   1.4780e-11   9.4723e+10
1.5000e+00   1.7460e-11   8.5911e+10
1.6000e+00   1.9220e-11   8.3247e+10
1.7000e+00   2.0910e-11   8.1301e+10
1.8000e+00   2.2710e-11   7.9260e+10
1.9000e+00   5.0178e-10   3.7865e+09
2.0000e+00   2.6540e-09   7.5358e+08
2.0000e+00   2.4958e-09   8.0135e+08
1.9000e+00   1.6093e-09   1.1806e+09
1.8000e+00   1.1700e-09   1.5385e+09
1.7000e+00   8.2826e-09   2.0525e+08
1.6000e+00   9.5550e-10   1.6745e+09
1.5000e+00   6.2995e-10   2.3811e+09
1.4000e+00   5.8672e-10   2.3861e+09
1.3000e+00   4.0494e-10   3.2104e+09
1.2000e+00   3.0275e-10   3.9637e+09
1.1000e+00   2.5099e-10   4.3826e+09
1.0000e+00   1.4405e-10   6.9420e+09
9.0000e-01   2.3300e-11   3.8627e+10
8.0000e-01   -5.0000e-12   -1.6000e+11
7.0000e-01   -5.8000e-12   -1.2069e+11
6.0000e-01   -6.0000e-12   -1.0000e+11
5.0000e-01   -6.6200e-12   -7.5529e+10
4.0000e-01   -7.4100e-12   -5.3981e+10
3.0000e-01   -8.6700e-12   -3.4602e+10
2.0000e-01   -1.1780e-11   -1.6978e+10
1.0000e-01   -1.2610e-11   -7.9302e+09
0.0000e+00   -1.1050e-11   -0.0000e+00
0.0000e+00   -8.4000e-13   -0.0000e+00
-1.0000e-01   -5.3300e-12   1.8762e+10
-2.0000e-01   -8.0400e-12   2.4876e+10
-3.0000e-01   -8.7500e-12   3.4286e+10
-4.0000e-01   -1.3510e-11   2.9608e+10
-5.0000e-01   -1.3000e-11   3.8462e+10
-6.0000e-01   -1.2300e-11   4.8780e+10
-7.0000e-01   -1.5160e-11   4.6174e+10
-8.0000e-01   -1.2310e-11   6.4988e+10
-9.0000e-01   -1.3190e-11   6.8234e+10
-1.0000e+00   -1.5330e-11   6.5232e+10
-1.0000e+00   -1.9840e-11   5.0403e+10
-9.0000e-01   -1.1210e-11   8.0285e+10
-8.0000e-01   -3.7900e-12   2.1108e+11
-7.0000e-01   -1.5900e-12   4.4025e+11
-6.0000e-01   3.0400e-12   -1.9737e+11
-5.0000e-01   2.5700e-12   -1.9455e+11
-4.0000e-01   5.3600e-12   -7.4627e+10
-3.0000e-01   5.8800e-12   -5.1020e+10
-2.0000e-01   3.3900e-12   -5.8997e+10
-1.0000e-01   5.9600e-12   -1.6779e+10
0.0000e+00   2.0400e-12   0.0000e+00
